W,90,42,31,52,.596,11,21,.524,17,21,.810,9,37,22,8,4,12,17,16,57,.281,1,12,.083,9,18,.500,11,20,6,6,0,11,16
W,83,57,31,58,.534,5,22,.227,16,23,.696,14,40,21,6,3,13,16,21,54,.389,5,15,.333,10,18,.556,10,20,12,3,2,14,20
W,93,70,25,54,.463,9,30,.300,34,42,.810,14,39,17,9,5,14,18,22,62,.355,7,21,.333,19,22,.864,10,20,11,7,0,14,25
W,78,45,26,51,.510,7,19,.368,19,25,.760,10,35,16,10,4,12,18,13,38,.342,1,9,.111,18,27,.667,5,22,8,8,3,15,20
W,82,59,23,49,.469,9,19,.474,27,34,.794,6,24,13,6,2,17,17,25,52,.481,3,13,.231,6,9,.667,5,27,9,7,2,24,29
L,79,87,27,60,.450,10,27,.370,15,21,.714,12,34,12,4,2,19,28,31,57,.544,5,14,.357,20,29,.690,9,30,15,7,4,12,19
W,84,57,30,53,.566,11,26,.423,13,14,.929,9,36,16,5,4,14,26,18,48,.375,2,11,.182,19,29,.655,6,18,11,5,0,13,15
W,83,60,29,52,.558,11,16,.688,14,21,.667,9,30,20,6,2,10,11,22,45,.489,7,20,.350,9,13,.692,2,17,13,3,0,16,19
W,73,62,26,58,.448,8,25,.320,13,18,.722,16,36,16,2,4,15,14,24,50,.480,7,13,.538,7,13,.538,5,19,15,6,0,15,23
L,65,87,21,60,.350,6,22,.273,17,20,.850,7,27,12,5,1,15,26,29,56,.518,5,16,.313,24,31,.774,8,34,8,7,7,10,18
W,63,58,20,48,.417,10,22,.455,13,15,.867,8,18,13,6,4,8,13,25,47,.532,3,6,.500,5,7,.714,10,28,18,2,3,15,13
W,72,62,22,49,.449,4,16,.250,24,30,.800,7,28,13,9,4,10,18,21,66,.318,5,14,.357,15,21,.714,18,36,13,7,5,14,23
W,82,56,26,52,.500,9,22,.409,21,28,.750,6,38,17,3,3,10,16,21,62,.339,5,21,.238,9,15,.600,11,32,11,4,1,13,25
W,76,57,25,45,.556,6,12,.500,20,26,.769,7,40,12,1,4,19,17,23,66,.348,1,17,.059,10,17,.588,11,25,7,6,2,10,21
L,75,76,28,50,.560,6,20,.300,13,24,.542,4,30,9,5,4,19,25,25,59,.424,2,16,.125,24,32,.750,10,31,10,11,2,14,18
W,73,71,21,52,.404,6,17,.353,25,32,.781,9,30,10,4,1,10,23,24,51,.471,4,10,.400,19,26,.731,8,28,16,7,1,12,22
W,67,57,24,49,.490,10,17,.588,9,19,.474,11,40,14,3,3,15,16,23,55,.418,2,12,.167,9,15,.600,6,23,12,4,1,9,20
W,80,69,25,53,.472,4,12,.333,26,31,.839,11,31,15,5,0,14,16,25,48,.521,6,20,.300,13,21,.619,4,19,16,6,6,9,25
L,68,85,24,60,.400,5,15,.333,15,23,.652,7,29,11,5,1,12,24,29,60,.483,7,23,.304,20,31,.645,10,37,16,5,7,14,19
W,65,63,21,57,.368,11,18,.611,12,19,.632,14,39,14,6,1,16,18,25,55,.455,4,20,.200,9,17,.529,6,30,20,7,8,11,19
W,85,74,26,50,.520,6,10,.600,27,36,.750,4,27,15,9,2,17,23,24,58,.414,2,15,.133,24,31,.774,9,31,15,8,2,19,23
W,82,73,30,49,.612,10,19,.526,12,19,.632,5,31,15,3,1,12,19,27,58,.466,6,19,.316,13,25,.520,10,27,14,7,0,8,15
W,78,69,27,51,.529,5,12,.417,19,28,.679,7,30,12,3,2,10,21,26,63,.413,6,25,.240,11,18,.611,14,33,9,3,3,8,24
W (3 OT),107,105,35,74,.473,14,34,.412,23,31,.742,13,43,16,4,1,14,31,34,69,.493,7,12,.583,30,42,.714,7,35,23,9,5,12,25
W,67,52,20,50,.400,9,22,.409,18,21,.857,8,32,16,6,3,10,17,20,53,.377,4,15,.267,8,14,.571,9,26,11,6,9,13,18
W,79,70,25,52,.481,5,17,.294,24,26,.923,9,32,17,5,5,12,15,26,60,.433,7,19,.368,11,15,.733,10,26,12,5,1,12,19
W,87,86,30,67,.448,11,18,.611,16,18,.889,16,35,11,7,5,19,16,34,63,.540,5,16,.313,13,18,.722,6,22,20,8,11,11,17
L,57,65,19,53,.358,6,19,.316,13,18,.722,6,32,2,1,3,10,23,21,50,.420,1,10,.100,22,27,.815,6,33,4,6,3,8,16
L,49,71,17,54,.315,4,19,.211,11,17,.647,5,23,7,2,3,6,17,28,53,.528,2,11,.182,13,17,.765,7,38,18,1,10,8,14
W,70,59,25,52,.481,5,22,.227,15,22,.682,9,23,17,6,1,8,16,24,48,.500,4,14,.286,7,13,.538,10,31,14,3,0,22,20
W,90,82,28,50,.560,11,25,.440,23,28,.821,5,30,20,2,3,10,13,30,58,.517,9,24,.375,13,18,.722,4,22,20,7,0,6,18
W,78,69,29,61,.475,11,21,.524,9,13,.692,11,34,13,9,2,16,17,28,55,.509,7,15,.467,6,16,.375,6,28,13,11,4,16,15
W,67,62,24,55,.436,8,19,.421,11,16,.688,9,27,13,2,1,7,12,26,53,.491,5,18,.278,5,9,.556,9,28,15,6,4,8,17
L (1 OT),75,77,24,56,.429,7,21,.333,20,30,.667,7,27,12,4,2,8,15,30,66,.455,9,25,.360,8,14,.571,13,37,12,5,3,12,25
