W,65,49,18,38,.474,7,15,.467,22,27,.815,3,23,11,17,4,18,19,15,41,.366,7,19,.368,12,15,.800,6,22,10,5,2,22,20
L,60,68,24,72,.333,5,22,.227,7,8,.875,12,33,6,9,3,12,25,22,40,.550,8,12,.667,16,29,.552,3,35,15,2,0,20,13
L,70,72,22,51,.431,6,16,.375,20,24,.833,5,27,9,6,5,13,19,26,59,.441,6,23,.261,14,23,.609,6,27,12,5,4,10,19
W,69,54,27,53,.509,5,13,.385,10,18,.556,12,30,17,13,2,11,19,20,50,.400,4,18,.222,10,16,.625,11,29,12,4,4,18,18
L,63,75,22,50,.440,7,24,.292,12,12,1.000,5,28,14,9,8,18,21,21,49,.429,12,24,.500,21,27,.778,10,26,16,8,2,12,14
W,77,67,29,47,.617,7,15,.467,12,15,.800,5,23,15,10,4,16,14,24,55,.436,7,18,.389,12,18,.667,10,22,9,9,3,16,15
W,80,69,24,54,.444,7,15,.467,25,32,.781,7,32,11,6,8,16,27,21,59,.356,8,22,.364,19,32,.594,14,39,12,6,1,15,21
W,68,62,22,44,.500,9,19,.474,15,17,.882,5,35,18,8,4,25,25,18,62,.290,6,29,.207,20,34,.588,23,40,15,17,1,17,18
L,64,90,25,64,.391,5,17,.294,9,10,.900,17,32,16,2,0,13,17,32,57,.561,12,24,.500,14,17,.824,11,32,19,1,4,9,15
W,76,52,29,50,.580,13,21,.619,5,10,.500,4,24,22,8,4,8,11,20,50,.400,7,18,.389,5,7,.714,8,23,10,6,1,18,11
L,55,71,18,54,.333,5,22,.227,14,19,.737,12,28,9,7,3,13,18,24,49,.490,5,13,.385,18,25,.720,8,32,15,7,5,15,15
W (1 OT),75,67,25,51,.490,7,25,.280,18,28,.643,9,33,21,9,5,15,12,24,63,.381,12,38,.316,7,9,.778,12,27,18,6,0,13,22
W,77,65,26,54,.481,8,18,.444,17,21,.810,6,31,16,12,1,14,14,23,49,.469,9,27,.333,10,16,.625,4,23,11,9,1,17,17
L,54,57,22,44,.500,4,19,.211,6,6,1.000,4,24,14,4,3,13,21,18,49,.367,6,19,.316,15,19,.789,9,27,12,5,0,8,11
W,71,58,25,56,.446,9,23,.391,12,16,.750,14,39,21,9,4,15,15,20,54,.370,4,16,.250,14,22,.636,12,28,8,5,4,15,20
W,64,57,23,42,.548,5,16,.313,13,18,.722,6,32,17,3,5,13,19,21,57,.368,7,21,.333,8,15,.533,8,24,16,2,3,8,18
L,58,63,20,51,.392,8,23,.348,10,13,.769,6,25,15,2,7,21,21,18,44,.409,3,12,.250,24,31,.774,10,29,11,8,3,17,11
W,71,70,24,48,.500,7,15,.467,16,24,.667,11,26,11,8,2,8,15,21,50,.420,13,26,.500,15,19,.789,10,28,17,4,3,12,19
L,69,70,19,47,.404,6,20,.300,25,31,.806,8,26,12,6,1,11,19,23,51,.451,9,20,.450,15,20,.750,9,30,14,6,3,11,20
L,68,74,28,56,.500,7,22,.318,5,7,.714,4,23,16,7,1,8,15,25,45,.556,12,19,.632,12,17,.706,3,27,19,3,0,12,11
W (1 OT),93,86,34,61,.557,6,16,.375,19,27,.704,11,31,17,6,6,10,18,31,56,.554,11,18,.611,13,17,.765,8,27,20,4,4,17,22
W,59,47,16,37,.432,8,19,.421,19,22,.864,5,31,9,4,5,17,24,17,53,.321,1,9,.111,12,18,.667,12,27,8,6,3,7,21
L,63,66,21,56,.375,12,32,.375,9,14,.643,9,33,15,6,3,13,17,23,49,.469,8,16,.500,12,15,.800,5,28,17,6,1,14,14
W,86,71,28,50,.560,10,20,.500,20,25,.800,6,30,26,9,5,16,19,25,58,.431,4,9,.444,17,23,.739,4,22,16,6,0,13,21
L (1 OT),76,78,22,50,.440,6,16,.375,26,33,.788,9,36,14,7,9,20,27,21,63,.333,5,19,.263,31,39,.795,13,34,12,10,4,11,24
L,60,68,20,55,.364,9,27,.333,11,14,.786,12,30,17,6,3,11,25,17,40,.425,6,13,.462,28,37,.757,8,30,12,7,1,12,17
L,53,71,22,61,.361,4,16,.250,5,8,.625,6,26,9,12,1,13,22,22,55,.400,6,19,.316,21,28,.750,15,47,11,6,2,16,14
W,49,43,17,46,.370,5,18,.278,10,17,.588,8,41,11,5,14,13,17,16,63,.254,4,20,.200,7,14,.500,15,38,5,7,0,7,17
W,79,67,28,49,.571,11,18,.611,12,14,.857,3,25,15,6,2,15,19,20,53,.377,6,20,.300,21,25,.840,8,25,8,6,1,12,14
W,83,63,19,46,.413,8,18,.444,37,48,.771,6,41,11,9,6,13,20,20,70,.286,7,24,.292,16,24,.667,15,39,5,5,4,12,32
W,64,56,26,52,.500,6,12,.500,6,14,.429,6,36,14,1,2,10,20,19,66,.288,4,17,.235,14,25,.560,18,42,6,3,1,7,17
