W,79,65,29,58,.500,8,24,.333,13,23,.565,8,38,17,9,8,14,22,22,63,.349,7,20,.350,14,22,.636,11,37,12,7,1,14,21
W,84,45,37,64,.578,5,18,.278,5,6,.833,10,38,21,10,7,14,18,16,45,.356,3,12,.250,10,19,.526,3,19,9,6,0,23,14
W,85,63,32,58,.552,6,13,.462,15,19,.789,7,31,22,6,6,16,17,24,64,.375,5,21,.238,10,14,.714,11,29,9,9,3,18,18
L (1 OT),84,90,28,73,.384,10,29,.345,18,28,.643,13,37,10,4,7,12,29,31,69,.449,3,12,.250,25,44,.568,15,37,15,6,10,10,18
W,80,76,28,60,.467,10,19,.526,14,23,.609,7,26,22,8,3,11,19,29,67,.433,5,18,.278,13,18,.722,15,39,15,5,4,16,22
W,73,47,31,63,.492,4,11,.364,7,14,.500,11,37,17,10,4,16,16,14,49,.286,4,20,.200,15,18,.833,7,28,8,7,1,21,16
W,78,63,33,64,.516,4,13,.308,8,10,.800,15,36,19,5,6,10,14,24,55,.436,7,23,.304,8,11,.727,9,22,13,6,3,14,11
W,79,67,32,63,.508,8,12,.667,7,9,.778,7,31,19,10,2,14,17,27,58,.466,5,15,.333,8,17,.471,9,33,15,6,1,18,15
W,73,61,24,54,.444,12,23,.522,13,16,.813,7,24,14,4,6,6,17,24,59,.407,3,16,.188,10,16,.625,13,35,12,0,1,11,19
W,74,63,25,58,.431,8,18,.444,16,23,.696,12,33,12,6,6,11,18,23,65,.354,5,26,.192,12,16,.750,19,40,7,3,5,15,19
W,86,76,30,62,.484,10,22,.455,16,20,.800,12,29,20,7,4,15,13,25,52,.481,12,24,.500,14,16,.875,9,27,13,6,2,24,20
L,54,57,18,55,.327,4,17,.235,14,19,.737,13,31,15,8,7,15,19,20,44,.455,7,15,.467,10,19,.526,10,34,14,6,5,19,18
L,64,75,27,70,.386,5,18,.278,5,12,.417,18,44,16,2,6,12,21,26,59,.441,4,12,.333,19,26,.731,7,32,18,7,4,10,16
W,87,77,32,48,.667,13,18,.722,10,13,.769,6,27,20,4,3,17,17,30,64,.469,9,24,.375,8,15,.533,13,25,13,7,0,13,16
W,69,61,23,41,.561,6,12,.500,17,22,.773,5,31,14,2,3,12,15,21,60,.350,10,35,.286,9,12,.750,11,24,13,3,2,3,20
W,88,63,31,44,.705,9,14,.643,17,25,.680,2,33,25,4,3,22,13,23,67,.343,9,38,.237,8,10,.800,6,16,12,13,2,9,18
L,55,57,19,46,.413,7,16,.438,10,11,.909,4,27,12,4,6,15,13,18,52,.346,7,24,.292,14,14,1.000,10,33,12,9,3,9,12
L,66,76,16,53,.302,4,16,.250,30,36,.833,14,32,9,3,1,7,30,18,46,.391,6,20,.300,34,41,.829,11,32,7,1,4,7,24
W,71,62,25,47,.532,8,17,.471,13,19,.684,7,28,17,4,1,9,12,24,64,.375,7,26,.269,7,9,.778,17,34,12,4,2,9,22
L,68,73,28,65,.431,4,17,.235,8,10,.800,9,32,17,3,4,9,21,21,53,.396,7,15,.467,24,27,.889,8,29,12,3,4,7,14
L,49,52,19,59,.322,5,20,.250,6,8,.750,13,34,11,6,7,12,14,18,48,.375,5,15,.333,11,11,1.000,8,28,6,5,4,13,13
W,68,51,24,52,.462,6,19,.316,14,18,.778,9,34,21,2,6,7,18,17,51,.333,2,17,.118,15,21,.714,7,27,9,3,0,6,14
L,70,71,25,51,.490,8,14,.571,12,16,.750,5,27,17,7,5,13,20,23,48,.479,9,21,.429,16,22,.727,5,23,16,7,4,10,17
W,71,62,22,56,.393,4,16,.250,23,27,.852,7,33,14,11,4,12,16,24,66,.364,4,15,.267,10,17,.588,15,40,14,7,7,16,18
L,70,81,24,55,.436,5,16,.313,17,22,.773,4,25,11,8,2,14,25,25,60,.417,7,20,.350,24,31,.774,11,37,14,5,3,11,21
W,54,52,23,52,.442,4,18,.222,4,9,.444,7,35,17,1,2,12,12,22,59,.373,2,18,.111,6,10,.600,7,31,15,5,0,4,11
L,57,61,22,59,.373,5,19,.263,8,10,.800,9,25,13,9,6,9,19,21,50,.420,3,15,.200,16,23,.696,11,37,12,3,6,11,12
L,70,89,28,54,.519,11,21,.524,3,3,1.000,9,28,18,1,8,16,14,35,66,.530,7,15,.467,12,15,.800,12,29,11,9,1,3,9
W,81,68,31,56,.554,6,18,.333,13,18,.722,9,30,21,7,2,13,16,24,59,.407,5,17,.294,15,18,.833,11,26,15,5,3,14,13
L,67,75,27,54,.500,5,15,.333,8,11,.727,5,31,18,1,3,13,20,25,58,.431,11,26,.423,14,19,.737,8,30,16,5,4,7,15
W,72,48,28,57,.491,6,17,.353,10,13,.769,7,40,16,5,5,10,13,18,57,.316,3,17,.176,9,11,.818,7,25,6,3,2,10,13
L,55,60,22,52,.423,9,26,.346,2,3,.667,6,26,16,7,5,11,14,20,48,.417,11,24,.458,9,11,.818,6,25,13,7,2,10,15
