W,93,52,31,68,.456,9,22,.409,22,31,.710,16,40,20,15,4,13,18,20,50,.400,5,17,.294,7,13,.538,9,34,12,5,3,30,23
W,67,53,22,57,.386,8,24,.333,15,16,.938,12,36,10,6,1,12,23,16,47,.340,6,23,.261,15,24,.625,10,30,10,7,5,17,18
L,70,93,22,62,.355,7,21,.333,19,22,.864,10,20,11,7,0,14,25,25,54,.463,9,30,.300,34,42,.810,14,39,17,9,5,14,18
L,84,87,28,56,.500,10,26,.385,18,23,.783,8,29,15,8,0,16,26,26,53,.491,11,20,.550,24,34,.706,10,32,15,8,0,17,25
L,61,76,16,47,.340,7,16,.438,22,27,.815,13,35,5,3,2,23,23,21,49,.429,10,22,.455,24,29,.828,9,28,13,9,3,13,24
W,69,45,22,36,.611,11,16,.688,14,17,.824,7,37,14,3,0,23,18,16,54,.296,3,17,.176,10,18,.556,10,17,5,12,2,9,18
W,84,52,29,55,.527,6,11,.545,20,23,.870,7,42,11,8,3,12,19,15,52,.288,5,20,.250,17,24,.708,5,24,10,4,5,12,16
L,76,86,25,52,.481,12,24,.500,14,16,.875,9,27,13,6,2,24,20,30,62,.484,10,22,.455,16,20,.800,12,29,20,7,4,15,13
L,68,71,16,38,.421,7,15,.467,29,33,.879,8,28,8,2,3,14,23,22,44,.500,10,24,.417,17,22,.773,3,15,16,7,6,6,25
L,61,75,21,53,.396,8,23,.348,11,19,.579,7,27,16,5,1,20,27,21,46,.457,6,17,.353,27,39,.692,8,30,15,12,1,14,19
L,75,78,20,50,.400,8,24,.333,27,33,.818,10,24,9,4,2,16,23,25,46,.543,6,16,.375,22,35,.629,8,21,14,7,1,15,25
W,79,66,31,61,.508,6,18,.333,11,19,.579,9,31,17,6,2,10,15,26,54,.481,5,18,.278,9,17,.529,7,26,9,5,4,13,16
W,75,73,23,47,.489,5,12,.417,24,30,.800,9,31,11,6,4,13,20,22,53,.415,13,27,.481,16,26,.615,12,25,14,3,3,12,21
W,63,45,22,52,.423,7,19,.368,12,16,.750,8,33,9,7,1,10,13,15,46,.326,3,12,.250,12,19,.632,10,32,9,5,3,14,17
W,72,58,24,54,.444,8,19,.421,16,24,.667,11,39,11,6,2,19,19,18,52,.346,3,20,.150,19,26,.731,6,25,7,7,3,16,23
W,57,37,21,46,.457,8,18,.444,7,14,.500,4,31,11,6,1,14,14,13,52,.250,2,20,.100,9,16,.563,10,33,4,8,4,15,16
W,77,72,24,47,.511,11,23,.478,18,24,.750,2,23,14,7,3,13,25,21,48,.438,10,25,.400,20,27,.741,9,25,15,7,4,16,23
W,65,46,19,50,.380,9,23,.391,18,25,.720,10,36,13,9,1,9,13,15,44,.341,7,22,.318,9,14,.643,3,25,11,6,1,16,22
L,71,72,24,54,.444,9,19,.474,14,15,.933,7,33,11,3,1,9,19,21,49,.429,11,24,.458,19,25,.760,5,28,11,4,3,8,17
L,54,65,20,60,.333,5,22,.227,9,15,.600,10,38,11,2,5,15,18,23,57,.404,4,15,.267,15,20,.750,9,33,17,6,7,10,20
W,63,53,15,43,.349,5,20,.250,28,33,.848,10,30,10,3,3,16,14,20,56,.357,9,31,.290,4,7,.571,11,23,12,5,2,11,26
W,85,72,32,62,.516,7,23,.304,14,17,.824,18,42,14,5,0,16,15,20,51,.392,13,30,.433,19,20,.950,5,18,14,7,1,16,18
W,86,77,24,54,.444,11,21,.524,27,30,.900,8,33,10,4,1,11,24,21,53,.396,9,21,.429,26,32,.813,6,25,9,8,2,10,26
L,42,55,14,60,.233,3,23,.130,11,13,.846,15,34,4,10,2,9,16,20,44,.455,3,16,.188,12,17,.706,8,35,13,3,6,14,17
W,82,80,28,58,.483,9,25,.360,17,29,.586,15,34,14,5,0,11,25,25,44,.568,9,16,.563,21,32,.656,8,31,18,4,3,15,23
W,87,69,30,63,.476,9,20,.450,18,23,.783,11,34,11,8,4,13,20,23,50,.460,12,26,.462,11,19,.579,7,29,15,5,3,16,16
W,72,71,23,62,.371,9,26,.346,17,25,.680,10,28,14,9,1,10,15,26,52,.500,9,21,.429,10,12,.833,5,37,17,1,2,20,20
W,77,74,20,48,.417,8,21,.381,29,33,.879,6,28,10,5,6,10,20,23,62,.371,6,20,.300,22,28,.786,13,33,10,5,3,8,25
W,84,54,30,65,.462,11,25,.440,13,19,.684,12,39,17,11,3,11,12,21,64,.328,6,27,.222,6,10,.600,13,36,14,4,5,16,14
W,73,70,18,49,.367,5,16,.313,32,35,.914,15,39,8,5,2,21,24,24,58,.414,8,28,.286,14,17,.824,7,21,13,7,4,15,26
W,65,60,18,43,.419,8,20,.400,21,35,.600,6,30,11,5,2,16,16,21,48,.438,6,18,.333,12,19,.632,3,24,9,7,3,12,29
