W,83,75,29,64,.453,3,15,.200,22,30,.733,14,41,19,8,6,14,18,24,60,.400,14,32,.438,13,16,.813,9,29,16,7,6,16,25
W,97,54,37,64,.578,11,21,.524,12,20,.600,16,42,27,5,7,11,13,22,58,.379,3,10,.300,7,9,.778,5,20,9,0,3,11,18
W,95,49,36,80,.450,9,23,.391,14,24,.583,31,56,26,8,6,10,10,21,56,.375,4,13,.308,3,7,.429,9,24,10,4,2,21,21
W,79,70,25,54,.463,3,10,.300,26,37,.703,12,43,12,4,2,16,26,27,56,.482,2,14,.143,14,30,.467,6,25,12,5,6,8,28
W,68,66,24,57,.421,7,14,.500,13,24,.542,13,31,16,5,2,11,23,21,50,.420,6,13,.462,18,26,.692,12,33,11,6,3,17,18
W,74,53,27,59,.458,7,18,.389,13,20,.650,15,47,17,4,3,15,17,21,68,.309,7,17,.412,4,11,.364,15,33,14,5,5,8,18
W,82,58,30,57,.526,6,19,.316,16,19,.842,13,33,19,6,1,7,15,19,43,.442,7,19,.368,13,17,.765,6,18,14,1,3,13,18
W,80,66,30,62,.484,5,20,.250,15,23,.652,19,53,17,4,11,19,24,25,69,.362,8,25,.320,8,21,.381,13,29,14,9,5,10,22
W,87,68,31,58,.534,7,18,.389,18,27,.667,10,33,27,8,1,6,13,27,54,.500,7,21,.333,7,11,.636,7,24,13,2,0,14,20
W,70,42,28,55,.509,5,17,.294,9,13,.692,14,40,20,6,1,6,12,14,43,.326,6,18,.333,8,8,1.000,2,17,9,5,3,8,14
L,76,83,22,54,.407,7,17,.412,25,42,.595,15,28,17,8,2,15,24,27,48,.563,7,11,.636,22,30,.733,10,32,14,5,7,20,32
W,97,64,41,74,.554,9,20,.450,6,11,.545,15,47,33,2,3,8,15,25,63,.397,10,32,.313,4,9,.444,5,19,16,2,1,6,17
W,61,46,22,55,.400,4,13,.308,13,25,.520,14,37,15,4,4,5,11,19,46,.413,5,17,.294,3,4,.750,4,22,14,4,2,11,20
W,78,63,25,48,.521,5,11,.455,23,30,.767,11,32,19,6,5,15,23,19,60,.317,5,21,.238,20,26,.769,15,31,6,8,7,14,26
W,83,79,27,51,.529,10,19,.526,19,25,.760,10,32,18,2,3,22,22,29,65,.446,8,24,.333,13,19,.684,12,27,15,14,2,15,21
W,89,81,30,50,.600,10,18,.556,19,27,.704,9,36,24,2,6,10,22,27,65,.415,7,20,.350,20,27,.741,15,26,16,1,0,2,23
W,72,57,22,49,.449,6,16,.375,22,31,.710,7,31,15,4,1,3,21,19,50,.380,5,20,.250,14,25,.560,9,29,5,2,4,9,26
W,74,53,30,72,.417,7,20,.350,7,13,.538,19,45,20,3,1,9,14,21,51,.412,3,14,.214,8,14,.571,4,26,11,5,11,10,11
W,74,66,27,56,.482,6,15,.400,14,20,.700,9,41,18,3,5,12,13,25,64,.391,8,20,.400,8,15,.533,8,27,13,6,7,7,15
W,80,50,28,59,.475,7,13,.538,17,27,.630,14,46,18,8,1,11,16,19,55,.345,4,14,.286,8,15,.533,6,29,16,6,3,14,21
L,51,56,18,45,.400,6,15,.400,9,16,.563,12,28,9,4,3,8,14,19,39,.487,9,18,.500,9,13,.692,6,21,11,2,4,8,12
W,65,62,16,45,.356,5,16,.313,28,35,.800,10,36,8,4,6,11,18,22,57,.386,5,18,.278,13,18,.722,4,22,11,5,8,6,26
W,71,59,22,47,.468,7,15,.467,20,32,.625,10,34,15,8,5,18,20,21,63,.333,2,13,.154,15,23,.652,22,38,10,8,6,14,25
W,71,66,26,59,.441,1,6,.167,18,26,.692,18,39,12,3,2,10,18,23,52,.442,4,17,.235,16,19,.842,6,25,16,4,5,10,22
W,57,54,18,46,.391,1,10,.100,20,30,.667,7,21,8,7,3,10,20,18,50,.360,3,15,.200,15,20,.750,12,33,6,5,6,12,23
W,67,55,25,54,.463,2,8,.250,15,21,.714,15,35,17,5,1,12,14,20,42,.476,6,13,.462,9,12,.750,2,17,10,5,3,14,21
L,59,60,21,46,.457,7,18,.389,10,18,.556,8,28,14,7,1,16,26,17,40,.425,3,7,.429,23,32,.719,7,27,11,8,2,13,17
W,71,58,27,47,.574,5,14,.357,12,20,.600,7,31,23,3,8,8,23,17,51,.333,7,15,.467,17,23,.739,9,25,11,2,4,9,20
L (1 OT),59,62,22,53,.415,4,14,.286,11,20,.550,8,37,12,5,5,15,17,22,64,.344,8,30,.267,10,13,.769,10,36,18,7,2,9,17
W,66,50,25,51,.490,5,9,.556,11,16,.688,10,35,17,2,1,9,18,19,52,.365,1,9,.111,11,17,.647,10,27,10,2,6,8,14
W,60,50,17,41,.415,3,9,.333,23,26,.885,9,30,12,3,1,12,15,19,51,.373,7,22,.318,5,10,.500,9,22,4,5,5,8,21
L,74,76,27,49,.551,8,11,.727,12,14,.857,8,24,12,3,3,11,19,26,58,.448,3,12,.250,21,25,.840,13,27,7,8,2,6,14
