W,82,65,31,60,.517,5,18,.278,15,25,.600,12,40,13,12,2,21,24,20,66,.303,7,26,.269,18,27,.667,14,33,6,8,1,21,23
L,73,77,28,62,.452,7,19,.368,10,15,.667,14,33,9,8,1,17,28,24,51,.471,5,15,.333,24,33,.727,11,32,15,6,1,16,20
W,71,61,24,55,.436,6,20,.300,17,22,.773,11,33,16,8,3,15,17,24,53,.453,7,24,.292,6,10,.600,8,29,11,5,1,20,21
W,81,70,25,62,.403,10,31,.323,21,27,.778,11,45,11,8,1,19,23,25,64,.391,8,32,.250,12,19,.632,7,33,8,7,2,16,23
W,72,63,25,60,.417,5,21,.238,17,26,.654,9,32,11,8,1,11,15,24,63,.381,7,19,.368,8,14,.571,14,44,11,7,1,17,22
L,75,82,26,70,.371,8,25,.320,15,19,.789,15,33,9,9,3,9,20,25,57,.439,10,21,.476,22,28,.786,13,40,16,7,7,15,17
W,86,81,28,58,.483,11,25,.440,19,29,.655,8,27,19,4,3,8,24,22,58,.379,8,28,.286,29,39,.744,17,41,10,4,1,12,25
W,68,63,25,54,.463,8,17,.471,10,16,.625,8,39,18,5,5,11,21,23,66,.348,3,14,.214,14,20,.700,13,36,14,5,5,7,21
L,73,74,24,57,.421,9,22,.409,16,21,.762,8,36,14,9,2,15,16,22,55,.400,18,39,.462,12,19,.632,5,28,19,7,4,14,17
L,67,92,20,55,.364,6,19,.316,21,27,.778,4,22,11,11,2,13,20,31,60,.517,13,25,.520,17,20,.850,9,39,17,6,6,17,20
L,59,70,19,47,.404,6,20,.300,15,22,.682,6,29,13,7,1,20,20,27,53,.509,4,14,.286,12,24,.500,7,32,11,12,6,13,19
L,63,79,22,54,.407,11,20,.550,8,12,.667,5,20,15,10,4,11,19,28,46,.609,3,11,.273,20,22,.909,4,33,14,8,0,16,18
L,59,62,24,59,.407,6,21,.286,5,9,.556,10,34,11,2,4,12,17,23,55,.418,5,19,.263,11,15,.733,9,32,11,5,2,8,17
W,55,47,21,50,.420,4,15,.267,9,10,.900,7,31,12,8,1,12,15,19,52,.365,2,15,.133,7,13,.538,10,28,12,6,2,12,17
L,59,68,21,46,.457,4,10,.400,13,19,.684,8,23,10,4,3,17,25,23,49,.469,2,11,.182,20,26,.769,10,28,10,6,1,12,23
W,63,58,20,46,.435,6,17,.353,17,25,.680,5,31,12,11,3,21,29,18,56,.321,3,20,.150,19,30,.633,12,34,7,7,4,19,24
W,88,84,28,60,.467,7,19,.368,25,34,.735,12,41,13,5,3,17,25,27,67,.403,10,25,.400,20,32,.625,17,42,14,8,4,14,24
W,71,50,25,62,.403,8,26,.308,13,30,.433,12,40,16,12,2,8,16,20,58,.345,5,23,.217,5,14,.357,11,38,10,5,5,17,24
L,67,88,20,54,.370,5,19,.263,22,33,.667,12,34,17,6,2,16,25,28,49,.571,10,21,.476,22,29,.759,4,30,25,10,3,14,27
W,70,62,23,57,.404,7,25,.280,17,25,.680,11,30,10,10,4,13,10,23,50,.460,11,26,.423,5,7,.714,6,28,11,6,3,21,17
W,70,64,20,59,.339,5,18,.278,25,34,.735,10,36,10,9,0,7,12,24,60,.400,9,29,.310,7,13,.538,10,38,11,3,6,14,22
L,73,79,23,50,.460,6,13,.462,21,24,.875,7,30,10,2,3,13,15,29,60,.483,11,22,.500,10,14,.714,10,31,23,2,5,9,21
L,66,70,21,49,.429,4,20,.200,20,22,.909,9,22,11,4,1,15,20,23,43,.535,4,10,.400,20,21,.952,4,20,14,6,3,17,21
W,65,61,22,63,.349,3,23,.130,18,23,.783,7,40,15,5,2,8,13,22,71,.310,10,32,.313,7,9,.778,15,45,8,2,4,13,22
L,52,54,18,42,.429,5,12,.417,11,15,.733,6,25,12,5,3,17,18,17,43,.395,7,21,.333,13,19,.684,7,24,13,5,0,12,17
W,71,62,22,53,.415,8,19,.421,19,31,.613,9,27,10,11,1,12,22,18,48,.375,5,19,.263,21,25,.840,10,37,7,4,8,25,26
L,80,82,29,56,.518,11,25,.440,11,23,.478,11,29,18,5,4,12,22,27,59,.458,9,23,.391,19,23,.826,10,32,12,4,3,10,24
W,70,58,24,58,.414,9,24,.375,13,16,.813,7,38,15,6,6,17,24,19,59,.322,1,15,.067,19,35,.543,12,38,6,8,1,11,16
W,68,63,21,48,.438,10,22,.455,16,21,.762,10,23,10,7,2,9,18,24,57,.421,8,24,.333,7,14,.500,18,38,15,6,4,14,16
W,97,96,34,58,.586,10,15,.667,19,24,.792,9,28,16,9,1,15,24,31,63,.492,14,27,.519,20,30,.667,15,32,17,4,6,11,17
W,79,70,23,46,.500,9,15,.600,24,33,.727,11,39,11,3,1,13,21,24,69,.348,8,36,.222,14,20,.700,15,29,17,5,5,6,27
W,75,72,25,54,.463,7,19,.368,18,25,.720,9,34,12,6,2,6,10,28,67,.418,8,30,.267,8,11,.727,12,33,9,4,2,8,17
