W,88,47,37,61,.607,9,22,.409,5,6,.833,8,38,22,6,7,9,10,18,55,.327,4,14,.286,7,7,1.000,3,18,6,6,3,12,9
W,59,49,18,46,.391,5,17,.294,18,26,.692,4,33,10,6,8,12,21,18,51,.353,0,10,.000,13,23,.565,8,34,8,4,3,15,23
L,71,74,19,58,.328,7,26,.269,26,34,.765,14,40,9,4,5,13,26,20,55,.364,6,21,.286,28,39,.718,14,39,14,3,3,10,27
W,72,65,22,47,.468,7,18,.389,21,27,.778,9,31,14,5,4,21,20,22,54,.407,3,11,.273,18,27,.667,13,33,8,8,3,22,25
W,92,59,27,66,.409,10,29,.345,28,37,.757,22,60,17,4,5,17,12,23,71,.324,9,29,.310,4,12,.333,8,21,13,7,2,10,23
W,86,73,34,66,.515,9,22,.409,9,12,.750,12,32,20,3,6,12,19,26,55,.473,7,15,.467,14,23,.609,9,28,11,8,2,11,14
W,82,62,30,57,.526,11,23,.478,11,14,.786,8,32,23,7,4,23,14,24,60,.400,4,20,.200,10,16,.625,10,29,14,12,3,21,14
W,85,76,22,44,.500,6,12,.500,35,45,.778,11,38,11,8,3,20,17,25,56,.446,7,23,.304,19,22,.864,5,20,12,8,1,15,32
L (1 OT),82,85,31,59,.525,9,25,.360,11,22,.500,7,36,15,8,10,17,18,31,81,.383,8,23,.348,15,22,.682,17,39,13,8,3,10,21
W,85,52,29,56,.518,13,26,.500,14,24,.583,10,40,16,6,6,9,12,21,67,.313,6,22,.273,4,6,.667,12,35,8,6,2,14,18
W,72,53,20,46,.435,8,23,.348,24,36,.667,7,33,11,8,6,12,19,20,54,.370,5,15,.333,8,14,.571,7,29,7,7,3,15,28
W,77,76,30,63,.476,6,23,.261,11,16,.688,11,32,17,4,6,10,18,32,57,.561,5,14,.357,7,13,.538,6,28,17,6,2,11,16
W,80,52,23,53,.434,6,14,.429,28,34,.824,7,39,14,6,8,9,10,22,75,.293,5,27,.185,3,5,.600,17,42,10,6,3,13,26
L (1 OT),75,83,25,64,.391,7,20,.350,18,24,.750,11,38,14,4,1,10,17,33,75,.440,10,27,.370,7,12,.583,18,44,12,4,12,9,17
W,73,66,21,50,.420,6,17,.353,25,35,.714,8,34,8,8,3,15,16,25,72,.347,5,21,.238,11,15,.733,17,40,14,11,4,13,23
L,64,67,21,51,.412,5,18,.278,17,22,.773,8,35,8,7,9,21,15,26,74,.351,4,19,.211,11,13,.846,16,35,10,12,4,11,21
W,84,74,24,50,.480,8,16,.500,28,34,.824,8,38,15,2,1,15,13,27,67,.403,6,20,.300,14,16,.875,8,23,9,8,6,6,22
W,89,70,26,50,.520,11,22,.500,26,32,.813,12,37,14,5,3,23,18,26,62,.419,6,23,.261,12,15,.800,7,19,16,10,2,13,25
W,81,74,26,62,.419,8,29,.276,21,31,.677,12,37,11,7,6,9,15,26,58,.448,8,27,.296,14,17,.824,7,34,10,5,5,12,22
L,78,89,23,49,.469,7,20,.350,25,26,.962,6,21,12,2,4,8,22,31,54,.574,7,16,.438,20,28,.714,7,26,9,5,2,7,24
L (1 OT),61,65,21,56,.375,6,23,.261,13,18,.722,6,29,8,3,3,9,22,22,60,.367,6,19,.316,15,26,.577,12,42,11,3,3,11,19
W,78,60,27,53,.509,11,20,.550,13,19,.684,14,31,17,5,4,16,13,23,55,.418,6,21,.286,8,15,.533,10,25,11,12,4,15,18
W,81,77,25,49,.510,9,19,.474,22,27,.815,10,26,12,4,1,12,15,30,54,.556,2,15,.133,15,19,.789,11,26,14,7,4,12,20
W,81,77,25,54,.463,11,20,.550,20,23,.870,9,28,15,5,3,10,19,28,60,.467,7,23,.304,14,18,.778,11,29,11,3,6,8,20
W,64,56,21,65,.323,12,25,.480,10,14,.714,22,47,12,5,7,10,8,19,53,.358,9,19,.474,9,10,.900,8,30,15,6,5,9,13
W,77,60,24,50,.480,9,21,.429,20,28,.714,7,29,13,5,6,16,19,22,50,.440,5,12,.417,11,17,.647,8,26,14,10,3,19,22
L,51,60,17,44,.386,3,16,.188,14,19,.737,3,30,11,8,6,16,17,22,57,.386,2,15,.133,14,21,.667,11,35,8,15,1,11,18
W,90,69,31,57,.544,10,22,.455,18,28,.643,10,32,12,7,6,10,14,28,67,.418,5,22,.227,8,14,.571,12,29,15,5,1,11,19
L,66,68,26,58,.448,2,11,.182,12,17,.706,10,33,13,4,3,12,16,25,59,.424,4,10,.400,14,17,.824,11,32,6,6,6,9,14
L,76,86,29,49,.592,6,18,.333,12,18,.667,3,21,11,3,5,10,19,29,59,.492,7,19,.368,21,27,.778,11,30,12,4,2,10,17
W,62,50,20,55,.364,3,22,.136,19,25,.760,10,44,11,3,5,15,18,18,59,.305,3,13,.231,11,14,.786,5,28,10,9,1,8,19
W,87,81,28,56,.500,11,23,.478,20,22,.909,7,24,14,5,3,5,11,32,63,.508,9,19,.474,8,8,1.000,11,30,17,1,1,9,19
L,66,77,23,63,.365,6,33,.182,14,19,.737,12,30,12,7,3,6,13,28,58,.483,11,21,.524,10,14,.714,11,38,13,3,2,11,12
