W,95,71,32,63,.508,12,29,.414,19,24,.792,16,36,20,10,8,13,20,25,65,.385,4,15,.267,17,22,.773,18,35,14,6,2,18,25
W,84,70,23,53,.434,7,16,.438,31,49,.633,12,38,9,6,7,14,30,25,61,.410,2,22,.091,18,29,.621,11,37,6,2,3,16,37
W,74,71,20,55,.364,6,21,.286,28,39,.718,14,39,14,3,3,10,27,19,58,.328,7,26,.269,26,34,.765,14,40,9,4,5,13,26
L,70,74,25,58,.431,8,23,.348,12,23,.522,17,33,16,3,5,13,25,22,50,.440,4,17,.235,26,35,.743,17,36,10,6,4,13,25
W,82,66,31,65,.477,3,13,.231,17,22,.773,11,44,21,1,4,13,14,23,68,.338,9,34,.265,11,16,.688,9,35,9,6,3,10,21
W,71,50,26,51,.510,3,13,.231,16,23,.696,15,32,13,5,4,11,12,18,49,.367,3,15,.200,11,15,.733,12,25,9,7,0,11,20
L,76,79,24,55,.436,7,22,.318,21,24,.875,14,31,14,6,3,12,22,26,55,.473,8,16,.500,19,25,.760,12,25,10,9,0,11,20
W,82,49,29,52,.558,2,11,.182,22,31,.710,9,42,21,4,3,14,14,17,57,.298,6,27,.222,9,14,.643,6,21,12,10,3,12,28
W,64,61,24,53,.453,6,18,.333,10,16,.625,10,30,16,2,6,16,21,20,50,.400,5,13,.385,16,24,.667,10,29,11,7,7,15,17
W,74,63,27,57,.474,8,22,.364,12,20,.600,14,37,13,6,5,8,11,25,60,.417,7,19,.368,6,8,.750,13,29,12,4,1,11,22
L,71,81,25,66,.379,13,36,.361,8,11,.727,13,24,20,6,4,10,26,25,41,.610,1,6,.167,30,39,.769,6,33,15,8,4,13,14
L,74,79,29,60,.483,9,19,.474,7,7,1.000,9,24,16,4,4,10,18,30,57,.526,5,13,.385,14,21,.667,13,32,22,8,5,10,12
W,67,65,28,54,.519,4,14,.286,7,13,.538,6,28,20,3,3,16,15,24,60,.400,6,20,.300,11,15,.733,11,27,13,9,4,11,16
W,65,59,21,52,.404,6,15,.400,17,24,.708,14,29,14,7,4,13,15,22,44,.500,5,17,.294,10,11,.909,2,20,10,8,5,18,20
W,93,63,35,72,.486,5,16,.313,18,27,.667,20,48,22,10,9,11,14,24,77,.312,5,18,.278,10,15,.667,25,44,5,6,4,15,20
W,68,64,23,50,.460,5,13,.385,17,26,.654,11,34,11,8,0,17,14,28,58,.483,3,11,.273,5,7,.714,7,28,12,7,3,12,22
L,71,75,19,57,.333,7,24,.292,26,35,.743,16,39,6,5,4,13,32,22,55,.400,8,23,.348,23,35,.657,12,32,7,2,3,12,32
W,56,46,22,66,.333,2,11,.182,10,16,.625,17,38,12,6,5,6,16,16,51,.314,1,13,.077,13,18,.722,11,38,6,2,2,16,19
L,54,55,19,55,.345,5,26,.192,11,18,.611,13,34,10,4,4,15,13,21,56,.375,8,24,.333,5,10,.500,10,31,13,10,0,12,18
W,66,55,19,45,.422,4,13,.308,24,30,.800,11,36,13,3,4,13,15,21,60,.350,8,29,.276,5,11,.455,13,27,7,10,5,8,23
W,56,44,23,56,.411,3,16,.188,7,15,.467,15,46,16,5,4,13,12,18,61,.295,2,19,.105,6,11,.545,12,32,5,8,1,11,19
L,50,66,19,53,.358,7,21,.333,5,12,.417,12,24,15,2,4,9,14,25,46,.543,7,14,.500,9,15,.600,6,26,12,6,1,8,18
L,66,71,23,52,.442,4,17,.235,16,19,.842,6,25,16,4,5,10,22,26,59,.441,1,6,.167,18,26,.692,18,39,12,3,2,10,18
W,82,71,28,53,.528,6,13,.462,20,25,.800,10,28,23,3,4,11,15,25,49,.510,8,18,.444,13,21,.619,8,25,14,6,2,13,25
L,52,63,17,47,.362,11,22,.500,7,12,.583,8,26,14,4,2,16,15,23,50,.460,4,13,.308,13,19,.684,8,31,12,13,4,14,14
W,72,58,22,54,.407,8,20,.400,20,27,.741,9,35,11,5,5,4,13,21,60,.350,8,27,.296,8,13,.615,14,37,11,3,3,10,20
L,58,71,17,51,.333,7,15,.467,17,23,.739,9,25,11,2,4,9,20,27,47,.574,5,14,.357,12,20,.600,7,31,23,3,8,8,23
W,65,54,21,53,.396,7,22,.318,16,23,.696,12,44,16,2,1,12,15,20,59,.339,1,13,.077,13,16,.813,9,26,8,7,4,6,22
W,65,56,22,47,.468,5,12,.417,16,24,.667,9,30,17,4,6,9,14,22,59,.373,7,20,.350,5,7,.714,7,23,7,6,1,9,15
W,72,70,21,62,.339,4,24,.167,26,29,.897,24,48,12,5,6,16,19,20,48,.417,8,20,.400,22,32,.688,5,20,14,12,1,10,25
L,61,67,20,51,.392,10,22,.455,11,13,.846,8,28,15,5,3,12,17,23,49,.469,5,11,.455,16,24,.667,5,25,10,8,3,10,15
