W,99,55,34,68,.500,13,31,.419,18,22,.818,23,45,22,9,5,12,11,21,50,.420,7,18,.389,6,8,.750,3,15,9,5,1,15,22
W,85,53,31,50,.620,5,11,.455,18,21,.857,9,30,20,5,2,13,18,18,47,.383,4,13,.308,13,19,.684,9,19,5,8,1,16,18
L,65,68,19,52,.365,6,20,.300,21,26,.808,12,35,9,1,3,15,19,24,49,.490,9,18,.500,11,17,.647,5,25,13,8,3,12,23
W,50,35,21,58,.362,5,21,.238,3,5,.600,11,36,15,6,3,8,12,14,49,.286,2,7,.286,5,10,.500,9,33,6,3,0,12,13
W,65,55,26,57,.456,3,16,.188,10,13,.769,10,30,9,2,5,3,9,21,54,.389,7,24,.292,6,7,.857,10,31,10,2,4,9,17
L,51,58,20,57,.351,7,23,.304,4,4,1.000,6,28,14,5,5,4,22,17,48,.354,4,14,.286,20,25,.800,12,40,7,1,3,9,8
W,87,48,28,56,.500,11,20,.550,20,26,.769,13,40,17,5,4,6,11,18,57,.316,4,13,.308,8,13,.615,10,26,9,5,1,13,21
W,76,61,29,64,.453,12,31,.387,6,9,.667,13,34,20,7,5,9,7,21,55,.382,7,18,.389,12,14,.857,7,29,8,8,2,12,13
W,61,40,23,50,.460,5,15,.333,10,12,.833,11,36,11,3,5,13,17,12,39,.308,3,7,.429,13,21,.619,4,17,4,2,2,15,15
W,69,64,26,57,.456,6,19,.316,11,14,.786,15,32,14,3,3,10,19,22,46,.478,4,9,.444,16,22,.727,9,26,10,5,4,10,17
W,70,56,21,43,.488,10,17,.588,18,22,.818,8,29,14,1,8,11,11,23,57,.404,4,15,.267,6,7,.857,10,27,9,6,3,10,22
W,80,56,27,56,.482,17,38,.447,9,13,.692,10,31,17,3,3,5,12,22,49,.449,6,12,.500,6,9,.667,4,20,2,3,0,9,14
W,68,60,21,51,.412,9,24,.375,17,18,.944,4,24,14,2,9,2,16,23,59,.390,3,12,.250,11,15,.733,13,37,16,1,2,8,18
L,61,69,21,60,.350,10,35,.286,9,12,.750,11,24,13,3,2,3,20,23,41,.561,6,12,.500,17,22,.773,5,31,14,2,3,12,15
W,66,50,21,44,.477,9,19,.474,15,18,.833,5,26,12,4,1,8,11,17,43,.395,8,21,.381,8,8,1.000,2,20,11,3,0,10,18
L (1 OT),61,64,21,55,.382,8,20,.400,11,12,.917,8,28,12,6,4,10,20,21,53,.396,5,16,.313,17,25,.680,11,34,15,5,5,11,16
W,76,66,18,46,.391,6,20,.300,34,41,.829,11,32,7,1,4,7,24,16,53,.302,4,16,.250,30,36,.833,14,32,9,3,1,7,30
W,69,60,24,49,.490,5,16,.313,16,17,.941,5,24,12,3,5,4,12,25,49,.510,2,7,.286,8,11,.727,5,24,4,2,1,7,17
W,78,46,31,56,.554,12,26,.462,4,5,.800,9,31,22,4,1,3,15,17,41,.415,2,10,.200,10,13,.769,3,17,9,2,2,5,10
L,52,56,22,52,.423,6,20,.300,2,3,.667,6,23,11,2,1,7,20,19,40,.475,6,17,.353,12,20,.600,8,29,7,5,2,10,10
W,66,59,23,55,.418,7,18,.389,13,16,.813,11,31,10,8,1,7,11,23,48,.479,5,13,.385,8,9,.889,4,23,10,6,5,13,19
W,82,56,23,39,.590,11,17,.647,25,26,.962,3,20,10,2,0,8,16,20,46,.435,3,14,.214,13,16,.813,6,17,9,3,0,7,20
W (1 OT),62,59,24,68,.353,8,29,.276,6,7,.857,16,39,19,3,4,7,11,25,60,.417,1,7,.143,8,9,.889,10,38,14,4,4,10,10
W,71,67,25,49,.510,12,24,.500,9,13,.692,5,23,11,2,2,8,17,25,46,.543,3,9,.333,14,16,.875,4,25,12,5,2,7,14
L,62,70,24,59,.407,3,19,.158,11,13,.846,11,35,10,1,1,6,16,24,56,.429,5,16,.313,17,19,.895,9,26,11,4,5,4,13
W,76,66,25,46,.543,8,15,.533,18,21,.857,8,24,17,2,2,7,12,26,49,.531,11,22,.500,3,5,.600,4,19,11,4,0,10,18
W,53,52,21,58,.362,8,29,.276,3,3,1.000,9,31,11,4,2,5,13,20,41,.488,7,13,.538,5,11,.455,2,26,12,2,1,10,12
W,78,63,27,47,.574,8,19,.421,16,20,.800,4,25,12,3,0,6,14,22,47,.468,11,21,.524,8,11,.727,3,18,12,4,1,6,20
W,77,67,24,49,.490,9,16,.563,20,22,.909,9,29,7,2,1,3,22,22,47,.468,2,11,.182,21,26,.808,7,23,5,0,0,5,19
L,65,93,25,60,.417,9,24,.375,6,9,.667,12,25,10,1,5,6,17,32,47,.681,14,15,.933,15,20,.750,4,29,18,2,0,7,12
L,33,36,15,51,.294,2,21,.095,1,3,.333,9,25,6,4,2,5,12,13,39,.333,3,12,.250,7,8,.875,6,26,8,2,1,7,14
