L,55,69,18,49,.367,3,16,.188,16,26,.615,6,29,10,9,2,15,22,25,56,.446,3,15,.200,16,25,.640,13,41,17,10,6,13,18
L,70,78,22,46,.478,6,14,.429,20,26,.769,6,22,13,4,2,17,26,26,50,.520,4,11,.364,22,30,.733,9,28,12,9,3,12,25
W,79,61,32,56,.571,8,16,.500,7,12,.583,7,34,25,6,3,12,22,19,61,.311,8,23,.348,15,27,.556,16,36,8,4,2,12,21
L,59,74,17,50,.340,8,21,.381,17,22,.773,5,16,10,6,4,11,22,24,42,.571,5,8,.625,21,27,.778,7,32,11,7,5,14,20
W (1 OT),82,79,29,63,.460,5,16,.313,19,29,.655,8,21,14,11,2,4,21,29,63,.460,5,15,.333,16,24,.667,20,46,13,2,5,17,23
L (1 OT),66,72,23,68,.338,8,25,.320,12,21,.571,21,45,13,8,3,18,21,24,47,.511,6,12,.500,18,29,.621,2,23,13,13,1,15,18
L (3 OT),90,94,34,73,.466,6,18,.333,16,20,.800,9,28,25,7,3,11,30,30,61,.492,4,12,.333,30,40,.750,16,47,16,2,11,16,22
W,92,70,32,59,.542,13,22,.591,15,18,.833,13,35,25,7,3,14,20,25,55,.455,4,11,.364,16,29,.552,9,24,8,9,2,13,19
W,75,69,25,56,.446,1,7,.143,24,32,.750,11,30,12,7,1,11,24,22,48,.458,5,22,.227,20,25,.800,5,26,11,2,6,14,25
L,53,64,17,52,.327,5,15,.333,14,20,.700,10,28,13,8,1,17,17,24,49,.490,5,15,.333,11,17,.647,7,35,11,7,5,19,21
W,79,65,27,41,.659,7,10,.700,18,28,.643,4,21,19,7,1,21,20,23,49,.469,3,8,.375,16,20,.800,7,20,7,7,2,19,24
L,66,75,23,49,.469,7,13,.538,13,20,.650,8,29,15,5,0,14,17,25,52,.481,11,23,.478,14,20,.700,9,26,17,10,3,10,18
L,80,86,30,54,.556,7,15,.467,13,15,.867,8,21,18,6,2,10,19,30,47,.638,15,21,.714,11,21,.524,6,22,20,5,1,11,15
W,78,60,27,55,.491,4,17,.235,20,27,.741,9,28,9,9,1,7,17,22,58,.379,1,14,.071,15,19,.789,17,35,7,3,1,16,19
L,73,77,24,54,.444,3,13,.231,22,29,.759,8,24,13,2,0,8,16,27,53,.509,7,16,.438,16,21,.762,8,29,9,2,3,10,18
W,74,65,24,41,.585,5,11,.455,21,27,.778,8,24,12,10,4,13,15,24,49,.490,7,12,.583,10,12,.833,8,16,11,11,0,14,18
W,69,64,22,52,.423,7,13,.538,18,28,.643,8,29,10,9,3,9,21,20,45,.444,4,13,.308,20,23,.870,4,29,11,4,5,16,23
W,88,56,34,59,.576,12,21,.571,8,11,.727,6,31,18,8,2,13,17,17,47,.362,7,22,.318,15,26,.577,6,24,10,4,1,16,17
W,81,43,31,61,.508,8,19,.421,11,21,.524,19,45,17,8,2,7,14,14,47,.298,6,23,.261,9,13,.692,5,17,8,4,2,11,15
L (1 OT),68,73,28,67,.418,4,15,.267,8,15,.533,12,29,15,5,2,11,14,27,50,.540,5,12,.417,14,16,.875,5,28,11,5,4,11,15
W,74,65,24,56,.429,2,13,.154,24,29,.828,12,30,16,7,1,6,17,21,49,.429,6,15,.400,17,19,.895,7,25,6,5,5,13,20
W,75,66,30,52,.577,3,12,.250,12,23,.522,7,26,19,4,5,16,22,26,56,.464,2,13,.154,12,20,.600,6,25,9,7,3,18,24
L,54,79,22,50,.440,2,8,.250,8,14,.571,10,23,11,5,0,13,11,30,64,.469,10,26,.385,9,9,1.000,16,30,14,10,5,8,13
W,74,60,26,48,.542,6,14,.429,16,25,.640,6,29,18,7,5,16,24,16,44,.364,3,9,.333,25,27,.926,7,23,10,8,3,17,18
L,58,67,22,55,.400,1,4,.250,13,20,.650,10,32,10,9,3,9,19,23,53,.434,9,23,.391,12,17,.706,7,31,13,1,2,11,19
W,69,61,21,42,.500,4,12,.333,23,37,.622,6,20,12,13,3,16,17,23,50,.460,3,11,.273,12,14,.857,9,28,7,5,1,23,28
W,81,68,28,47,.596,7,12,.583,18,29,.621,7,26,9,5,5,17,26,22,48,.458,5,19,.263,19,30,.633,5,21,10,8,1,11,20
W,66,61,24,60,.400,8,19,.421,10,19,.526,12,34,13,5,6,8,15,22,58,.379,4,10,.400,13,17,.765,14,39,11,5,1,11,20
W,97,58,35,60,.583,12,23,.522,15,21,.714,13,37,21,6,3,9,16,21,60,.350,8,32,.250,8,14,.571,13,28,8,2,0,11,19
W,79,65,29,58,.500,10,15,.667,11,19,.579,15,31,15,6,0,7,19,19,41,.463,3,8,.375,24,30,.800,5,23,10,5,4,8,15
W,69,56,28,58,.483,4,9,.444,9,12,.750,10,35,8,1,3,4,16,22,56,.393,1,12,.083,11,16,.688,10,31,7,2,5,4,17
W,86,72,27,50,.540,4,8,.500,28,35,.800,11,37,10,6,3,13,18,27,63,.429,5,14,.357,13,21,.619,12,27,7,9,5,9,25
W,77,67,26,56,.464,3,8,.375,22,24,.917,10,32,7,7,4,8,18,23,55,.418,8,18,.444,13,20,.650,13,30,8,4,6,12,21
