L,62,69,22,47,.468,3,14,.214,15,22,.682,9,26,16,7,4,19,26,22,48,.458,5,15,.333,20,29,.690,10,30,11,6,3,18,21
W,73,52,26,53,.491,4,13,.308,17,25,.680,12,47,16,9,7,22,19,21,68,.309,7,28,.250,3,9,.333,12,27,12,9,1,20,22
W,92,60,32,58,.552,15,26,.577,13,23,.565,13,38,23,5,4,10,14,23,56,.411,9,24,.375,5,11,.455,7,20,14,1,3,13,17
W,90,51,29,51,.569,12,22,.545,20,29,.690,7,39,20,8,6,13,18,20,69,.290,3,20,.150,8,16,.500,14,33,10,6,2,12,24
W,76,55,31,57,.544,8,18,.444,6,9,.667,4,30,18,11,3,15,17,21,56,.375,5,20,.250,8,13,.615,7,26,12,9,3,18,12
L,56,73,22,51,.431,1,10,.100,11,11,1.000,7,24,11,6,5,14,13,27,53,.509,13,24,.542,6,7,.857,8,27,19,2,5,11,12
W,87,52,34,66,.515,10,25,.400,9,10,.900,7,34,25,10,5,12,16,20,53,.377,5,17,.294,7,14,.500,7,29,17,6,4,22,13
W,79,65,28,71,.394,10,26,.385,13,19,.684,13,40,18,8,5,10,19,22,57,.386,9,22,.409,12,21,.571,10,40,15,1,2,15,18
W,94,66,39,77,.506,8,20,.400,8,13,.615,9,43,20,6,9,7,16,22,66,.333,5,22,.227,17,19,.895,6,39,7,3,2,12,16
W,61,42,19,49,.388,9,27,.333,14,19,.737,9,38,15,2,7,10,19,14,52,.269,3,17,.176,11,18,.611,7,29,6,4,4,10,19
L,83,86,32,68,.471,7,21,.333,12,20,.600,16,41,14,6,6,16,19,32,63,.508,13,25,.520,9,15,.600,5,26,17,10,4,13,19
W,93,78,34,64,.531,13,29,.448,12,17,.706,8,29,29,13,2,16,19,28,53,.528,8,16,.500,14,17,.824,2,23,20,8,3,20,17
W,89,75,28,58,.483,6,15,.400,27,37,.730,6,29,17,10,3,15,15,31,62,.500,6,20,.300,7,12,.583,8,34,12,8,5,19,26
W,79,51,31,62,.500,4,21,.190,13,21,.619,13,42,18,12,4,14,10,20,55,.364,5,19,.263,6,8,.750,3,21,13,8,2,17,16
L,82,98,33,68,.485,7,13,.538,9,16,.563,12,29,16,10,2,15,24,31,56,.554,12,25,.480,24,30,.800,11,35,23,12,5,18,20
W,88,52,29,59,.492,7,20,.350,23,30,.767,9,47,22,10,5,13,20,14,61,.230,5,27,.185,19,26,.731,9,30,6,5,1,12,23
W,73,65,27,63,.429,5,20,.250,14,20,.700,10,43,18,7,3,16,18,23,67,.343,5,26,.192,14,21,.667,13,37,11,5,3,15,20
W,81,56,29,54,.537,12,19,.632,11,16,.688,4,37,27,6,5,14,19,19,58,.328,6,29,.207,12,21,.571,7,27,10,7,0,11,16
W,95,78,33,58,.569,7,17,.412,22,29,.759,6,31,21,7,2,11,19,27,58,.466,9,25,.360,15,25,.600,4,23,15,4,2,11,19
W,82,63,28,62,.452,11,24,.458,15,21,.714,11,42,16,4,4,14,11,24,59,.407,6,19,.316,9,12,.750,5,24,15,10,6,11,14
L,68,82,23,60,.383,2,25,.080,20,28,.714,8,29,13,7,2,12,24,23,53,.434,7,22,.318,29,36,.806,6,36,13,10,4,14,25
W,77,64,23,49,.469,2,11,.182,29,38,.763,6,33,14,4,5,8,11,26,61,.426,4,17,.235,8,12,.667,4,28,19,3,4,8,23
W,70,68,22,66,.333,5,24,.208,21,24,.875,11,32,14,7,4,7,19,24,56,.429,5,18,.278,15,23,.652,9,38,14,3,2,15,19
L,66,80,25,61,.410,2,13,.154,14,22,.636,15,27,9,13,3,15,26,24,43,.558,7,18,.389,25,33,.758,10,32,13,8,1,24,22
W,83,73,34,69,.493,3,12,.250,12,17,.706,5,36,20,14,3,12,23,25,61,.410,3,19,.158,20,28,.714,9,35,13,9,3,19,17
W,79,60,19,54,.352,3,16,.188,38,53,.717,14,37,9,18,4,12,20,22,49,.449,6,16,.375,10,23,.435,5,28,14,8,2,23,32
W,86,48,27,65,.415,12,32,.375,20,24,.833,12,42,20,10,7,12,12,21,63,.333,2,16,.125,4,11,.364,13,33,14,8,1,16,16
W,85,84,36,67,.537,7,17,.412,6,9,.667,5,30,15,10,5,12,18,33,70,.471,10,32,.313,8,15,.533,13,37,17,5,4,14,11
W,82,67,31,53,.585,3,12,.250,17,22,.773,4,28,23,7,4,13,21,23,56,.411,5,17,.294,16,24,.667,10,28,10,3,2,14,18
L,63,74,24,78,.308,6,28,.214,9,16,.563,19,39,7,12,3,13,28,16,41,.390,6,13,.462,36,44,.818,4,34,8,9,1,20,20
W,76,66,25,52,.481,5,17,.294,21,31,.677,8,31,13,6,1,11,11,27,62,.435,7,23,.304,5,9,.556,9,34,17,4,1,17,28
W,73,68,29,53,.547,7,15,.467,8,14,.571,5,30,17,10,5,17,17,26,55,.473,6,23,.261,10,16,.625,5,27,14,7,1,18,16
L,58,77,20,53,.377,3,18,.167,15,24,.625,7,28,8,4,4,13,19,29,53,.547,7,15,.467,12,19,.632,6,35,15,4,2,13,17
