W,70,57,26,52,.500,8,17,.471,10,18,.556,10,40,13,7,13,15,13,21,73,.288,9,31,.290,6,8,.750,16,35,10,11,0,9,16
W,78,66,21,47,.447,5,12,.417,31,43,.721,16,38,7,6,9,19,18,23,58,.397,6,21,.286,14,17,.824,7,19,13,6,2,13,28
W,80,60,30,72,.417,5,23,.217,15,24,.625,30,51,12,8,7,16,10,22,62,.355,8,22,.364,8,8,1.000,14,24,12,8,5,14,22
W,87,70,33,59,.559,7,18,.389,14,25,.560,10,40,21,7,7,8,11,27,69,.391,12,31,.387,4,9,.444,11,30,13,4,1,9,23
W,73,63,25,47,.532,9,22,.409,14,19,.737,7,29,16,6,7,18,14,23,56,.411,7,23,.304,10,12,.833,8,20,11,9,2,12,17
L,63,68,25,59,.424,2,18,.111,11,17,.647,15,36,7,3,10,11,15,22,55,.400,7,17,.412,17,21,.810,10,27,10,6,3,7,16
W (1 OT),78,76,26,54,.481,11,25,.440,15,22,.682,10,31,14,9,8,19,15,26,60,.433,9,19,.474,15,20,.750,10,32,11,12,4,16,20
W,75,62,28,49,.571,5,8,.625,14,21,.667,4,33,17,6,11,14,14,24,77,.312,8,22,.364,6,14,.429,23,40,12,4,2,12,17
W,67,53,26,55,.473,7,14,.500,8,12,.667,9,31,14,8,4,8,11,18,50,.360,7,21,.333,10,14,.714,8,25,14,5,3,10,12
W,77,40,34,68,.500,2,12,.167,7,12,.583,12,44,23,12,9,7,8,16,61,.262,6,18,.333,2,2,1.000,9,32,6,3,5,17,10
W,79,71,28,52,.538,7,11,.636,16,21,.762,7,34,12,9,4,12,9,26,64,.406,12,27,.444,7,9,.778,9,27,17,6,2,12,16
W,60,57,21,48,.438,3,12,.250,15,24,.625,13,31,6,4,4,13,16,19,50,.380,7,17,.412,12,16,.750,10,27,11,8,4,9,18
W,83,69,29,48,.604,9,16,.563,16,22,.727,6,29,21,5,7,15,21,21,58,.362,4,24,.167,23,30,.767,11,24,7,8,1,7,17
L,63,75,20,57,.351,7,22,.318,16,17,.941,9,29,11,5,6,13,12,27,62,.435,10,20,.500,11,12,.917,13,32,17,7,5,11,17
L,60,67,20,53,.377,4,19,.211,16,22,.727,14,34,13,4,5,20,21,19,48,.396,7,18,.389,22,27,.815,8,25,11,9,1,14,20
W,64,57,26,47,.553,3,10,.300,9,13,.692,5,29,18,4,9,12,14,21,65,.323,6,24,.250,9,14,.643,16,28,10,6,0,7,14
W,67,53,25,54,.463,2,12,.167,15,18,.833,14,42,13,5,5,10,12,21,65,.323,6,26,.231,5,8,.625,15,30,9,3,1,8,16
L,67,70,26,59,.441,6,16,.375,9,12,.750,13,38,15,2,4,11,15,26,62,.419,11,26,.423,7,11,.636,12,29,10,5,1,5,16
L,57,60,20,55,.364,6,18,.333,11,17,.647,13,36,8,5,3,10,21,22,52,.423,6,18,.333,10,21,.476,10,33,11,6,2,10,18
L,48,50,19,47,.404,3,13,.231,7,10,.700,7,24,9,5,4,9,14,17,47,.362,7,22,.318,9,12,.750,10,27,13,4,3,7,13
L,44,58,18,60,.300,2,20,.100,6,13,.462,11,33,11,4,3,11,16,21,48,.438,5,13,.385,11,15,.733,4,29,13,6,4,15,18
W,69,46,23,53,.434,2,13,.154,21,26,.808,8,40,7,8,9,16,15,15,58,.259,5,26,.192,11,19,.579,9,29,9,12,0,15,21
L,59,80,20,57,.351,3,14,.214,16,22,.727,10,35,7,11,5,15,13,32,72,.444,11,25,.440,5,8,.625,14,40,22,10,2,13,16
L,67,85,23,52,.442,8,19,.421,13,21,.619,8,24,16,4,4,14,18,32,54,.593,10,16,.625,11,17,.647,5,27,18,7,5,9,16
W,80,54,33,69,.478,5,15,.333,9,18,.500,17,47,23,6,4,12,10,22,57,.386,6,25,.240,4,9,.444,5,22,11,8,2,14,17
L,64,79,24,53,.453,4,10,.400,12,21,.571,8,27,11,7,4,12,18,24,54,.444,10,22,.455,21,26,.808,9,31,15,5,1,10,12
W (1 OT),73,70,28,65,.431,7,23,.304,10,21,.476,11,30,12,8,9,8,16,25,62,.403,3,9,.333,17,19,.895,11,38,11,5,5,13,17
L,69,71,27,67,.403,6,20,.300,9,13,.692,15,35,17,3,8,10,10,28,64,.438,5,20,.250,10,14,.714,14,39,14,8,8,9,13
L,70,72,27,58,.466,4,16,.250,12,18,.667,10,34,17,2,10,7,17,24,63,.381,10,21,.476,14,19,.737,14,37,16,3,3,7,16
W,74,65,28,55,.509,5,16,.313,13,17,.765,10,27,13,8,9,9,11,27,59,.458,5,18,.278,6,8,.750,11,29,11,5,1,14,18
W,81,67,31,58,.534,8,13,.615,11,24,.458,11,36,20,2,10,9,14,23,71,.324,8,22,.364,13,15,.867,11,29,11,8,3,7,22
W (1 OT),71,67,25,51,.490,7,18,.389,14,22,.636,6,24,13,6,10,13,14,25,72,.347,3,19,.158,14,17,.824,21,40,8,5,0,9,21
L,55,58,22,64,.344,6,23,.261,5,10,.500,14,39,12,3,7,10,16,20,52,.385,3,14,.214,15,23,.652,8,32,11,6,5,4,14
