W,95,57,37,62,.597,6,16,.375,15,22,.682,10,37,19,12,6,11,14,19,59,.322,8,21,.381,11,15,.733,10,24,10,7,2,17,18
L,53,59,21,68,.309,6,21,.286,5,8,.625,15,40,13,5,7,11,26,19,47,.404,4,15,.267,17,31,.548,7,39,12,4,3,13,12
W,113,68,44,79,.557,9,23,.391,16,27,.593,17,49,20,10,8,4,13,27,69,.391,9,28,.321,5,9,.556,5,23,19,2,2,18,19
L,73,86,27,68,.397,3,17,.176,16,19,.842,13,31,12,6,6,11,18,32,58,.552,9,15,.600,13,16,.813,10,34,16,6,9,16,25
L,61,67,19,51,.373,4,14,.286,19,25,.760,8,30,10,7,6,21,20,24,59,.407,6,14,.429,13,17,.765,14,36,14,7,4,15,25
W (1 OT),94,93,35,61,.574,7,16,.438,17,23,.739,11,35,17,4,2,20,21,36,73,.493,4,13,.308,17,28,.607,14,31,20,13,4,12,22
L,63,81,23,54,.426,4,12,.333,13,15,.867,7,20,10,5,4,16,17,32,59,.542,8,16,.500,9,16,.563,10,33,15,10,4,14,17
L,61,64,24,59,.407,5,19,.263,8,13,.615,10,39,10,4,6,9,12,24,60,.400,9,28,.321,7,13,.538,6,33,11,3,5,7,13
L,61,66,20,43,.465,1,13,.077,20,22,.909,3,19,10,6,7,18,18,24,54,.444,3,12,.250,15,19,.789,12,25,14,10,4,18,19
W,69,63,23,48,.479,5,18,.278,18,26,.692,8,25,11,6,3,11,17,20,57,.351,5,21,.238,18,21,.857,16,37,10,4,0,16,20
W,92,81,33,62,.532,2,8,.250,24,33,.727,9,33,18,8,5,8,22,27,64,.422,7,21,.333,20,23,.870,13,33,9,3,3,13,22
L,54,62,17,53,.321,0,12,.000,20,26,.769,18,38,7,4,4,13,15,24,50,.480,2,15,.133,12,17,.706,5,26,16,7,3,13,23
L,75,80,26,59,.441,7,20,.350,16,21,.762,6,33,12,6,3,9,19,30,61,.492,8,24,.333,12,19,.632,11,35,17,2,2,8,16
W,80,56,29,54,.537,2,8,.250,20,30,.667,8,34,18,7,8,13,18,20,63,.317,3,19,.158,13,17,.765,12,31,9,3,5,17,25
L,59,63,23,59,.390,0,10,.000,13,21,.619,12,28,7,5,5,11,20,21,44,.477,10,22,.455,11,16,.688,8,27,14,9,3,16,19
W,65,54,22,54,.407,3,11,.273,18,21,.857,10,31,15,7,8,8,15,21,56,.375,4,11,.364,8,12,.667,12,34,11,3,1,13,15
L,71,73,24,57,.421,4,16,.250,19,27,.704,12,29,13,10,3,11,22,24,48,.500,8,20,.400,17,23,.739,7,30,14,5,2,17,23
W,76,65,25,47,.532,9,16,.563,17,21,.810,7,24,15,8,8,12,16,25,58,.431,9,21,.429,6,11,.545,12,20,11,6,0,13,19
W,80,73,25,59,.424,4,11,.364,26,35,.743,16,38,11,11,3,12,18,27,56,.482,7,14,.500,12,16,.750,7,26,19,4,2,14,24
L,74,84,27,65,.415,4,17,.235,16,19,.842,14,32,13,11,1,12,27,24,41,.585,14,24,.583,22,34,.647,3,24,19,7,2,18,18
W,69,53,25,50,.500,9,20,.450,10,18,.556,9,28,17,11,5,12,20,20,49,.408,6,17,.353,7,14,.500,13,25,8,4,5,18,18
W,67,52,23,52,.442,6,13,.462,15,22,.682,16,34,12,5,7,11,16,17,46,.370,6,13,.462,12,16,.750,10,22,14,7,1,12,19
W,70,66,25,49,.510,1,16,.063,19,33,.576,12,34,13,8,4,14,19,22,52,.423,10,28,.357,12,18,.667,10,25,10,7,1,14,24
L,73,78,26,55,.473,6,21,.286,15,20,.750,8,25,15,7,2,9,18,24,44,.545,12,22,.545,18,24,.750,4,22,17,6,3,15,17
W,65,61,20,47,.426,2,10,.200,23,34,.676,7,30,15,13,5,12,20,18,51,.353,4,19,.211,21,30,.700,11,37,12,5,3,18,19
W,58,57,21,58,.362,0,13,.000,16,25,.640,14,31,6,12,3,19,19,19,45,.422,8,19,.421,11,15,.733,8,26,8,10,3,23,21
W,77,74,24,54,.444,6,12,.500,23,27,.852,8,25,12,7,3,10,15,25,50,.500,11,22,.500,13,16,.813,7,24,14,6,4,16,22
W,71,55,22,45,.489,7,18,.389,20,26,.769,9,33,8,6,2,16,24,14,36,.389,4,12,.333,23,32,.719,4,19,9,4,1,15,21
W,82,70,28,55,.509,8,22,.364,18,21,.857,11,31,17,3,4,12,20,24,52,.462,8,19,.421,14,23,.609,8,26,15,8,1,14,18
L,64,77,16,54,.296,5,15,.333,27,38,.711,13,34,9,6,5,13,20,27,59,.458,5,14,.357,18,24,.750,11,35,16,6,3,10,24
W,76,74,29,51,.569,7,16,.438,11,14,.786,5,24,18,5,4,11,24,23,50,.460,11,26,.423,17,22,.773,5,21,13,5,0,12,13
W,80,71,23,51,.451,4,14,.286,30,36,.833,6,22,11,15,3,12,23,21,42,.500,6,14,.429,23,31,.742,4,24,12,5,0,22,24
W,93,76,33,55,.600,8,17,.471,19,25,.760,7,28,16,7,2,13,21,29,53,.547,6,20,.300,12,22,.545,6,21,16,4,2,15,20
W,63,58,20,50,.400,4,16,.250,19,23,.826,11,31,12,7,5,16,18,20,56,.357,3,13,.231,15,18,.833,12,28,8,8,2,14,24
W,70,50,24,57,.421,4,15,.267,18,27,.667,10,30,12,9,5,6,18,16,44,.364,2,18,.111,16,18,.889,4,32,8,3,2,18,19
