W,77,76,24,56,.429,9,19,.474,20,26,.769,11,33,14,8,1,19,22,27,57,.474,6,19,.316,16,22,.727,10,33,15,9,2,17,24
W,96,55,35,57,.614,8,16,.500,18,31,.581,12,41,18,6,3,10,15,17,53,.321,5,15,.333,16,17,.941,6,22,6,7,0,15,21
W,74,69,17,39,.436,10,21,.476,30,41,.732,4,28,8,12,5,15,21,26,59,.441,4,12,.333,13,18,.722,9,31,8,8,4,21,29
W,82,69,29,54,.537,5,13,.385,19,30,.633,8,33,10,9,4,12,17,24,62,.387,7,20,.350,14,14,1.000,11,32,11,6,1,17,22
W,77,67,26,54,.481,7,18,.389,18,27,.667,8,33,11,5,2,13,18,24,58,.414,0,8,.000,19,24,.792,10,34,9,7,3,12,24
W,82,75,26,46,.565,11,21,.524,19,27,.704,6,25,13,5,3,12,14,31,63,.492,7,21,.333,6,9,.667,11,29,10,4,3,9,19
W,68,61,22,56,.393,11,25,.440,13,17,.765,11,27,9,4,3,12,16,21,49,.429,2,8,.250,17,20,.850,9,32,6,5,4,17,21
L,63,85,26,55,.473,3,15,.200,8,14,.571,5,23,10,4,2,12,14,35,59,.593,8,14,.571,7,10,.700,7,32,18,4,2,10,15
W,87,64,31,55,.564,7,21,.333,18,29,.621,9,34,21,8,9,9,15,24,59,.407,4,11,.364,12,17,.706,11,32,11,3,1,14,20
W,86,80,27,57,.474,5,17,.294,27,44,.614,10,37,13,7,7,14,21,31,65,.477,5,17,.294,13,23,.565,9,33,14,7,0,14,29
W,90,63,29,54,.537,10,21,.476,22,32,.688,13,44,10,8,5,18,19,24,59,.407,4,13,.308,11,22,.500,9,26,14,10,1,13,21
W,110,70,34,63,.540,14,27,.519,28,35,.800,16,44,22,10,12,15,16,28,71,.394,6,13,.462,8,11,.727,12,26,12,8,2,14,26
W,85,55,32,66,.485,9,20,.450,12,18,.667,18,45,20,5,7,12,11,22,62,.355,2,13,.154,9,9,1.000,7,24,10,11,3,13,17
L,73,78,28,59,.475,6,14,.429,11,16,.688,13,29,13,8,5,16,19,31,55,.564,5,10,.500,11,18,.611,12,30,18,11,3,17,17
W,81,74,23,50,.460,6,22,.273,29,36,.806,8,23,13,8,3,9,22,28,57,.491,6,13,.462,12,19,.632,12,35,12,6,2,13,24
W,61,58,24,46,.522,5,20,.250,8,19,.421,6,27,11,3,6,11,16,24,61,.393,3,16,.188,7,9,.778,14,34,16,4,1,9,18
W,73,66,25,57,.439,8,23,.348,15,18,.833,12,35,9,5,4,17,15,26,66,.394,4,16,.250,10,20,.500,16,38,13,9,2,12,19
W,91,73,32,59,.542,11,23,.478,16,23,.696,11,37,17,9,1,12,26,23,53,.434,3,16,.188,24,35,.686,10,26,8,8,6,14,20
L,73,76,25,63,.397,10,23,.435,13,17,.765,12,29,13,4,1,10,17,27,50,.540,7,14,.500,15,20,.750,4,28,15,6,5,12,18
W,74,61,27,55,.491,3,16,.188,17,18,.944,8,33,14,1,5,9,17,23,57,.404,4,13,.308,11,21,.524,12,28,12,2,3,8,18
W,83,76,22,53,.415,7,19,.368,32,42,.762,15,38,14,8,4,15,20,30,68,.441,5,16,.313,11,21,.524,16,33,5,10,1,10,25
W,75,60,27,57,.474,8,18,.444,13,16,.813,11,31,12,5,2,7,17,23,52,.442,3,13,.231,11,14,.786,8,26,5,3,4,13,16
L (1 OT),74,78,26,68,.382,9,31,.290,13,22,.591,17,40,12,8,5,11,22,28,67,.418,7,23,.304,15,25,.600,18,42,11,4,0,13,19
W,85,84,27,62,.435,14,36,.389,17,26,.654,10,31,8,5,2,10,25,31,63,.492,1,6,.167,21,30,.700,14,41,14,3,3,9,22
W,73,55,25,65,.385,9,24,.375,14,25,.560,21,48,11,8,5,9,20,19,51,.373,1,14,.071,16,22,.727,7,33,8,5,4,13,21
W,78,73,25,69,.362,8,29,.276,20,28,.714,9,31,11,8,3,5,21,26,59,.441,5,11,.455,16,24,.667,11,39,12,3,8,15,24
W,75,50,25,57,.439,10,22,.455,15,20,.750,12,42,14,3,2,18,18,15,44,.341,6,18,.333,14,21,.667,2,20,9,6,2,14,17
W,74,66,22,52,.423,13,28,.464,17,26,.654,6,30,12,4,1,11,23,25,63,.397,4,15,.267,12,22,.545,16,37,11,2,5,8,20
W (1 OT),70,65,20,52,.385,6,24,.250,24,34,.706,12,42,7,2,3,12,13,27,66,.409,4,13,.308,7,16,.438,13,37,11,4,3,10,25
W,79,71,24,53,.453,10,20,.500,21,27,.778,9,38,12,6,7,13,16,26,60,.433,6,17,.353,13,16,.813,4,26,11,4,4,10,18
L,70,88,26,63,.413,6,21,.286,12,21,.571,7,22,12,7,2,6,19,36,66,.545,4,13,.308,12,15,.800,13,42,13,2,1,12,21
W,60,56,20,54,.370,5,26,.192,15,18,.833,11,34,10,6,3,8,18,16,53,.302,6,12,.500,18,22,.818,13,34,7,2,0,10,19
L,59,62,19,51,.373,5,20,.250,16,18,.889,10,28,7,7,6,16,17,24,57,.421,3,11,.273,11,14,.786,14,31,13,4,5,13,17
