L,73,78,27,65,.415,8,26,.308,11,13,.846,15,32,14,5,1,16,31,23,42,.548,2,9,.222,30,44,.682,6,26,7,11,4,14,17
L,77,86,28,63,.444,5,21,.238,16,22,.727,11,26,12,8,3,10,19,30,53,.566,10,22,.455,16,21,.762,8,33,13,5,4,18,20
W,72,61,21,54,.389,4,16,.250,26,30,.867,6,35,8,11,4,21,12,27,72,.375,3,16,.188,4,10,.400,16,40,12,11,7,22,23
W,82,57,30,61,.492,8,22,.364,14,23,.609,9,31,13,12,6,10,23,18,49,.367,5,15,.333,16,23,.696,8,28,7,5,2,21,23
W,90,80,31,58,.534,6,17,.353,22,27,.815,4,27,18,6,4,11,18,28,65,.431,4,12,.333,20,27,.741,13,34,18,6,2,11,23
W,76,51,23,47,.489,7,19,.368,23,32,.719,7,34,14,4,3,8,15,17,52,.327,6,24,.250,11,16,.688,4,25,8,5,1,13,21
W,86,75,25,52,.481,8,17,.471,28,37,.757,7,30,17,6,4,12,28,25,56,.446,5,15,.333,20,31,.645,9,27,11,4,1,13,25
W,78,60,24,65,.369,7,22,.318,23,25,.920,5,32,12,10,1,6,16,25,60,.417,4,13,.308,6,17,.353,9,38,8,2,11,16,24
L (1 OT),79,81,23,60,.383,3,24,.125,30,36,.833,10,33,6,10,4,17,27,25,64,.391,10,28,.357,21,33,.636,13,39,14,7,3,17,26
W,71,50,28,53,.528,9,17,.529,6,10,.600,11,30,19,10,3,17,17,18,52,.346,3,16,.188,11,16,.688,13,24,8,9,6,14,13
W,70,69,23,59,.390,8,22,.364,16,20,.800,6,26,7,8,2,13,18,27,53,.509,4,15,.267,11,13,.846,3,27,15,8,4,11,16
W,95,55,35,64,.547,8,18,.444,17,20,.850,15,46,24,6,7,6,18,18,62,.290,2,17,.118,17,25,.680,13,26,12,2,0,7,17
L,81,90,25,59,.424,8,23,.348,23,30,.767,9,29,11,7,1,14,29,27,67,.403,4,11,.364,32,39,.821,22,48,16,9,7,12,22
W,76,67,22,46,.478,8,18,.444,24,32,.750,7,29,12,6,2,13,15,29,60,.483,4,17,.235,5,10,.500,10,29,16,8,1,12,24
W,72,55,26,62,.419,7,22,.318,13,15,.867,13,41,13,4,2,12,20,18,52,.346,8,23,.348,11,16,.688,6,26,15,7,5,13,13
W,82,55,26,54,.481,10,23,.435,20,27,.741,9,33,17,9,2,12,12,23,58,.397,1,13,.077,8,11,.727,8,26,13,6,6,17,20
L,78,84,30,77,.390,6,25,.240,12,14,.857,19,34,11,4,3,8,15,30,58,.517,7,19,.368,17,20,.850,11,38,22,5,8,15,12
W,71,60,23,60,.383,10,21,.476,15,17,.882,7,31,13,9,1,11,13,24,59,.407,10,27,.370,2,6,.333,12,31,18,4,4,16,19
W,78,56,30,65,.462,13,24,.542,5,9,.556,11,32,14,12,5,11,10,20,49,.408,10,22,.455,6,6,1.000,3,30,16,3,2,18,13
L,61,68,21,59,.356,7,24,.292,12,16,.750,10,35,14,4,1,8,19,20,51,.392,8,19,.421,20,23,.870,5,28,17,1,3,8,17
W,90,76,30,52,.577,7,14,.500,23,26,.885,6,23,10,7,3,7,18,24,49,.490,6,15,.400,22,25,.880,6,23,11,3,3,13,20
W,71,60,21,41,.512,7,16,.438,22,34,.647,5,28,13,10,4,17,20,23,57,.404,5,18,.278,9,13,.692,8,29,12,7,1,18,24
W,83,64,31,70,.443,7,30,.233,14,18,.778,8,43,16,10,7,10,18,23,59,.390,7,20,.350,11,18,.611,4,30,18,4,5,15,16
W,75,51,25,54,.463,7,22,.318,18,22,.818,7,31,13,10,2,9,16,18,50,.360,5,19,.263,10,16,.625,6,26,13,3,3,17,23
L,62,71,24,63,.381,7,21,.333,7,10,.700,8,23,11,8,3,7,15,27,58,.466,8,17,.471,9,16,.563,13,40,14,3,7,16,13
W,89,69,27,53,.509,8,17,.471,27,32,.844,9,31,19,6,0,5,14,26,52,.500,11,19,.579,6,9,.667,4,18,13,3,1,13,21
W,56,53,17,51,.333,6,23,.261,16,17,.941,8,30,8,4,3,9,12,21,57,.368,3,16,.188,8,10,.800,11,35,11,5,3,12,15
W,72,53,29,59,.492,4,17,.235,10,15,.667,11,38,13,8,4,12,15,21,61,.344,6,20,.300,5,8,.625,9,26,11,4,3,13,18
W,58,41,21,51,.412,9,21,.429,7,8,.875,7,22,12,6,0,9,12,14,41,.341,4,13,.308,9,14,.643,8,28,6,9,5,16,10
W (1 OT),74,72,29,59,.492,8,21,.381,8,11,.727,11,36,14,9,4,20,17,26,58,.448,9,26,.346,11,18,.611,6,27,17,10,2,12,16
W,70,57,24,63,.381,8,25,.320,14,18,.778,10,25,13,13,3,9,14,19,46,.413,5,16,.313,14,17,.824,6,32,12,4,3,22,16
W,85,66,32,59,.542,10,23,.435,11,17,.647,7,37,17,4,3,13,16,23,63,.365,8,25,.320,12,15,.800,4,22,12,7,2,6,14
W,82,77,28,56,.500,7,15,.467,19,28,.679,7,24,12,10,5,10,24,23,55,.418,6,13,.462,25,31,.806,7,33,14,4,4,12,21
