L,68,99,23,55,.418,11,24,.458,11,24,.458,5,26,15,8,2,25,25,33,62,.532,9,21,.429,24,30,.800,7,36,26,11,3,13,23
W,63,43,26,66,.394,8,26,.308,3,11,.273,16,37,13,15,7,12,20,17,46,.370,3,14,.214,6,13,.462,6,29,6,4,2,22,12
W,61,56,22,48,.458,3,13,.231,14,26,.538,8,36,10,5,7,17,14,22,57,.386,3,13,.231,9,15,.600,7,29,7,7,2,16,21
W,66,53,20,42,.476,4,11,.364,22,30,.733,8,41,9,5,5,23,26,15,59,.254,1,18,.056,22,34,.647,11,26,7,12,3,13,21
L,57,59,20,59,.339,7,22,.318,10,13,.769,10,33,9,9,7,12,15,22,58,.379,5,20,.250,10,15,.667,14,38,15,8,7,14,16
W,70,63,23,35,.657,3,9,.333,21,34,.618,0,27,13,6,9,14,15,21,59,.356,8,29,.276,13,15,.867,8,23,11,8,2,10,25
L,57,69,16,49,.327,5,21,.238,20,28,.714,10,32,11,11,4,34,29,20,44,.455,4,13,.308,25,37,.676,5,25,10,15,7,24,26
W,60,58,22,45,.489,3,10,.300,13,17,.765,4,23,7,3,6,10,20,21,52,.404,2,15,.133,14,24,.583,9,30,11,2,1,8,17
W,82,67,31,67,.463,2,13,.154,18,34,.529,15,39,12,9,5,13,25,22,58,.379,2,13,.154,21,30,.700,10,34,8,6,5,18,28
L,60,73,22,45,.489,5,14,.357,11,17,.647,6,26,10,3,7,13,18,25,59,.424,7,15,.467,16,20,.800,14,34,10,5,3,9,16
W,73,62,25,59,.424,4,14,.286,19,25,.760,12,34,10,10,10,17,18,22,65,.338,5,21,.238,13,19,.684,14,34,7,7,5,17,22
L,36,68,10,46,.217,5,24,.208,11,18,.611,7,32,4,7,2,21,25,19,53,.358,5,25,.200,25,30,.833,7,36,10,13,2,11,18
W,72,70,30,54,.556,2,12,.167,10,15,.667,7,34,11,6,5,18,23,23,57,.404,8,18,.444,16,24,.667,8,25,11,7,2,11,16
W,84,74,27,49,.551,6,16,.375,24,33,.727,8,29,14,10,3,17,20,28,63,.444,8,30,.267,10,19,.526,14,30,12,8,2,17,26
W,71,65,24,47,.511,6,14,.429,17,22,.773,8,26,14,8,2,10,15,25,52,.481,8,24,.333,7,12,.583,11,25,18,4,2,11,20
W,78,72,22,49,.449,5,18,.278,29,45,.644,8,34,12,10,6,15,22,27,59,.458,4,17,.235,14,26,.538,8,32,10,6,1,15,31
W,68,48,25,63,.397,4,20,.200,14,23,.609,13,44,8,8,6,12,24,15,55,.273,1,17,.059,17,30,.567,11,39,7,3,5,17,18
W (2 OT),90,89,31,64,.484,6,20,.300,22,39,.564,16,37,16,10,8,20,19,31,70,.443,10,20,.500,17,25,.680,14,32,19,7,4,18,27
W,74,66,31,61,.508,7,22,.318,5,10,.500,10,33,21,8,3,14,16,25,56,.446,7,23,.304,9,14,.643,5,24,12,6,2,15,8
W,80,75,29,56,.518,9,20,.450,13,16,.813,8,35,17,6,1,16,20,26,57,.456,8,18,.444,15,24,.625,7,25,10,9,3,12,17
L,69,75,24,53,.453,10,25,.400,11,23,.478,8,23,19,9,1,12,18,25,46,.543,11,18,.611,14,18,.778,7,32,15,8,3,19,21
W,76,59,28,67,.418,3,9,.333,17,24,.708,15,41,12,5,5,9,22,19,61,.311,2,15,.133,19,31,.613,12,33,8,5,5,10,19
L,82,87,31,78,.397,7,32,.219,13,19,.684,20,38,13,11,1,17,24,27,49,.551,6,15,.400,27,36,.750,4,24,13,7,3,20,23
L,50,67,19,45,.422,2,12,.167,10,17,.588,8,30,9,4,3,16,15,23,56,.411,7,23,.304,14,21,.667,15,34,10,7,2,9,12
W,72,60,24,52,.462,3,13,.231,21,27,.778,7,21,12,12,6,16,19,21,54,.389,1,12,.083,17,23,.739,17,38,12,7,5,23,24
W,70,62,22,59,.373,7,16,.438,19,23,.826,18,47,7,5,8,14,20,24,66,.364,4,14,.286,10,16,.625,14,32,8,9,1,9,21
L (1 OT),63,73,22,63,.349,5,19,.263,14,22,.636,15,41,6,2,6,11,19,26,62,.419,4,14,.286,17,22,.773,11,35,10,3,8,4,18
W,66,52,24,60,.400,7,25,.280,11,21,.524,9,40,17,5,3,8,13,22,61,.361,5,26,.192,3,9,.333,5,33,9,2,0,12,14
W,75,72,22,43,.512,7,16,.438,24,32,.750,3,24,14,4,5,12,26,25,50,.500,5,12,.417,17,27,.630,9,28,11,3,1,14,25
W,79,70,30,71,.423,6,21,.286,13,15,.867,14,37,14,9,7,11,14,26,67,.388,8,21,.381,10,13,.769,15,38,10,5,4,13,15
W,72,65,28,55,.509,8,24,.333,8,16,.500,9,36,18,4,3,13,20,22,61,.361,8,24,.333,13,23,.565,10,26,13,7,1,7,18
W,71,61,21,37,.568,9,14,.643,20,32,.625,5,17,11,2,2,12,16,23,49,.469,7,13,.538,8,12,.667,7,19,9,7,3,12,22
W,58,46,21,53,.396,3,11,.273,13,20,.650,10,33,10,5,3,16,12,17,50,.340,5,14,.357,7,12,.583,10,30,5,6,8,19,19
W,73,70,25,57,.439,2,12,.167,21,27,.778,13,35,10,1,5,10,13,26,63,.413,6,13,.462,12,17,.706,11,26,11,6,2,7,23
