W,84,75,29,66,.439,6,19,.316,20,28,.714,13,47,21,10,7,14,18,23,66,.348,10,25,.400,19,26,.731,13,35,10,7,1,12,21
W,91,61,33,54,.611,8,23,.348,17,22,.773,11,30,26,4,6,12,20,19,47,.404,8,15,.533,15,24,.625,8,18,9,6,0,16,22
W,60,58,26,54,.481,1,8,.125,7,11,.636,10,34,15,8,5,14,11,21,53,.396,9,19,.474,7,13,.538,5,22,13,8,5,10,14
L,79,86,31,62,.500,4,11,.364,13,22,.591,10,32,16,12,1,13,22,28,54,.519,9,25,.360,21,33,.636,11,35,14,8,1,15,20
W,77,74,20,44,.455,4,12,.333,33,44,.750,8,28,14,7,3,11,23,25,53,.472,5,16,.313,19,25,.760,10,31,13,6,3,13,28
W,82,67,32,70,.457,5,11,.455,13,21,.619,18,46,14,4,6,11,17,24,59,.407,7,22,.318,12,20,.600,9,29,11,5,0,12,18
L,75,86,28,66,.424,3,10,.300,16,22,.727,16,37,14,7,10,15,19,30,62,.484,7,13,.538,19,23,.826,12,34,8,10,4,13,20
L,72,76,26,55,.473,7,17,.412,13,20,.650,8,27,8,5,5,17,25,21,58,.362,5,14,.357,29,34,.853,13,33,11,7,2,10,22
W,65,60,20,54,.370,7,23,.304,18,22,.818,12,34,15,7,1,16,15,24,58,.414,6,17,.353,6,8,.750,8,22,16,8,3,12,17
L,72,88,30,52,.577,7,14,.500,5,8,.625,8,26,21,3,3,18,15,35,62,.565,11,25,.440,7,13,.538,11,24,10,5,4,8,9
W,67,65,25,58,.431,6,14,.429,11,13,.846,12,34,21,10,7,11,19,22,54,.407,5,20,.250,16,19,.842,11,32,10,6,2,12,13
W,88,59,33,64,.516,11,20,.550,11,12,.917,12,38,24,2,6,10,15,23,60,.383,4,18,.222,9,11,.818,7,26,7,8,5,10,15
W,87,81,28,59,.475,3,11,.273,28,31,.903,14,39,15,5,4,14,18,29,57,.509,9,14,.643,14,19,.737,6,21,10,8,8,9,22
W,82,55,30,52,.577,6,15,.400,16,21,.762,3,35,25,4,4,14,9,20,65,.308,7,23,.304,8,10,.800,12,31,4,7,0,11,20
W,78,44,28,62,.452,7,22,.318,15,17,.882,14,48,18,8,5,10,11,18,61,.295,3,12,.250,5,9,.556,11,32,6,9,3,10,12
W,79,74,28,59,.475,2,9,.222,21,24,.875,11,33,15,4,4,13,18,26,60,.433,9,21,.429,13,21,.619,11,29,12,5,4,15,18
L,71,82,24,56,.429,5,19,.263,18,27,.667,9,26,12,4,6,12,22,25,49,.510,9,15,.600,23,31,.742,6,28,9,5,5,14,20
W,76,40,30,67,.448,8,21,.381,8,10,.800,11,42,18,11,4,9,12,16,55,.291,2,20,.100,6,8,.750,7,30,7,2,5,17,9
W,76,62,33,64,.516,5,15,.333,5,10,.500,13,40,21,16,5,16,12,25,62,.403,9,27,.333,3,7,.429,7,23,15,9,3,17,12
W,78,73,24,52,.462,6,10,.600,24,31,.774,6,29,14,10,4,15,16,27,61,.443,2,20,.100,17,23,.739,11,34,10,11,5,14,22
L,55,74,21,57,.368,9,20,.450,4,9,.444,5,21,16,10,0,17,14,31,64,.484,5,16,.313,7,13,.538,15,48,18,9,8,15,15
L,60,61,23,57,.404,2,15,.133,12,21,.571,16,40,12,10,2,11,17,19,43,.442,7,15,.467,16,23,.696,4,20,8,5,2,11,14
W,56,51,19,45,.422,5,17,.294,13,17,.765,8,27,15,8,2,11,10,19,49,.388,5,17,.294,8,13,.615,9,29,7,7,3,11,15
W,87,76,31,59,.525,8,15,.533,17,20,.850,9,30,19,4,6,9,13,29,58,.500,10,17,.588,8,10,.800,8,25,15,2,3,10,19
W,61,52,20,49,.408,6,17,.353,15,22,.682,9,29,12,6,2,10,13,19,59,.322,1,17,.059,13,16,.813,18,38,13,6,3,16,18
L,73,78,26,59,.441,5,11,.455,16,24,.667,11,39,12,3,8,15,24,25,69,.362,8,29,.276,20,28,.714,9,31,11,8,3,5,21
L,62,76,17,58,.293,3,12,.250,25,31,.806,14,32,12,8,3,17,19,27,55,.491,4,13,.308,18,21,.857,8,32,14,8,9,14,22
L,74,86,29,70,.414,3,13,.231,13,23,.565,17,39,11,6,3,4,20,29,57,.509,10,19,.526,18,24,.750,10,38,19,3,8,9,14
L (1 OT),69,72,30,60,.500,4,16,.250,5,13,.385,10,34,16,6,2,13,20,25,57,.439,6,20,.300,16,21,.762,8,26,16,9,2,11,14
W,77,73,28,56,.500,7,16,.438,14,26,.538,11,39,19,3,6,7,16,26,73,.356,8,29,.276,13,19,.684,16,39,10,3,3,6,19
W,70,58,23,45,.511,3,11,.273,21,27,.778,9,37,8,4,2,18,19,22,60,.367,5,20,.250,9,18,.500,10,22,10,3,3,7,20
W,78,57,29,67,.433,8,19,.421,12,20,.600,14,41,16,11,3,11,16,22,57,.386,7,23,.304,6,11,.545,7,31,15,5,3,19,21
W,67,64,27,50,.540,5,15,.333,8,18,.444,6,28,18,8,2,11,16,23,53,.434,2,12,.167,16,20,.800,9,33,10,8,2,10,16
L,67,69,26,58,.448,3,11,.273,12,18,.667,8,33,10,7,1,16,23,24,54,.444,5,20,.250,16,22,.727,5,31,19,5,0,15,19
