W,75,63,31,58,.534,2,12,.167,11,25,.440,12,45,19,6,3,11,9,25,67,.373,10,30,.333,3,4,.750,6,26,15,5,1,10,21
W,70,37,28,55,.509,5,13,.385,9,20,.450,11,36,16,12,1,20,20,13,43,.302,1,10,.100,10,14,.714,6,24,7,5,2,26,22
W,89,74,28,56,.500,10,19,.526,23,31,.742,9,31,16,11,2,9,9,30,63,.476,14,37,.378,0,3,.000,7,28,17,5,1,16,23
L,67,77,21,59,.356,8,24,.333,17,20,.850,9,27,8,10,2,21,22,24,52,.462,9,17,.529,20,24,.833,10,36,18,10,5,21,21
W,56,54,20,51,.392,3,17,.176,13,14,.929,11,34,10,4,4,14,7,22,50,.440,5,10,.500,5,8,.625,5,22,12,8,4,10,12
W (1 OT),77,73,28,68,.412,4,17,.235,17,27,.630,15,34,12,9,6,15,21,22,53,.415,4,14,.286,25,32,.781,9,39,12,4,6,23,26
W,61,57,24,53,.453,8,12,.667,5,15,.333,6,33,12,3,1,14,19,19,57,.333,5,26,.192,14,17,.824,10,38,8,7,2,13,16
W (1 OT),76,75,23,59,.390,4,20,.200,26,39,.667,9,39,8,3,0,9,20,24,63,.381,7,22,.318,20,27,.741,8,39,14,2,11,8,25
L,83,85,30,64,.469,7,15,.467,16,24,.667,8,34,12,3,1,9,21,31,66,.470,9,20,.450,14,21,.667,11,37,18,3,1,7,21
W,64,63,23,53,.434,4,10,.400,14,20,.700,11,35,9,5,2,11,16,24,60,.400,4,10,.400,11,18,.611,13,32,14,4,3,11,18
W,74,62,27,54,.500,5,14,.357,15,21,.714,7,28,16,7,4,10,11,26,55,.473,3,16,.188,7,12,.583,8,28,10,5,4,9,18
W,80,55,31,56,.554,9,20,.450,9,15,.600,9,37,17,3,3,9,11,25,68,.368,1,10,.100,4,5,.800,11,28,10,5,4,5,13
W,81,55,34,61,.557,6,17,.353,7,9,.778,6,35,17,6,3,15,16,19,60,.317,8,28,.286,9,15,.600,10,27,9,6,1,14,13
W,94,43,31,65,.477,11,25,.440,21,32,.656,11,49,13,10,5,13,13,15,61,.246,7,24,.292,6,13,.462,5,29,11,6,3,19,24
W,83,52,28,52,.538,5,17,.294,22,32,.688,13,36,13,8,0,10,12,19,47,.404,10,25,.400,4,9,.444,3,16,16,4,2,15,24
W,73,65,28,60,.467,7,24,.292,10,18,.556,10,36,17,4,2,14,12,25,61,.410,8,22,.364,7,11,.636,10,31,12,7,4,14,23
W,69,67,24,55,.436,5,14,.357,16,20,.800,3,31,16,7,3,15,14,24,68,.353,8,27,.296,11,21,.524,18,41,9,9,8,14,16
W,75,70,27,56,.482,9,20,.450,12,15,.800,8,31,14,7,3,6,14,27,69,.391,13,31,.419,3,7,.429,14,35,22,3,2,9,17
W,57,44,23,50,.460,4,16,.250,7,10,.700,7,31,13,7,3,11,10,17,49,.347,1,18,.056,9,12,.750,5,23,10,2,0,13,10
W,52,42,21,41,.512,5,11,.455,5,6,.833,3,27,9,5,1,19,15,15,49,.306,5,22,.227,7,12,.583,11,24,7,7,5,14,13
L,60,77,20,64,.313,3,21,.143,17,20,.850,10,27,7,6,4,8,20,24,49,.490,6,13,.462,23,23,1.000,4,37,13,1,0,16,20
W,58,56,15,48,.313,3,19,.158,25,29,.862,11,32,6,5,2,15,21,21,51,.412,7,22,.318,7,16,.438,9,31,9,7,4,18,25
W,83,73,30,59,.508,7,20,.350,16,22,.727,14,34,14,5,1,13,17,23,48,.479,12,24,.500,15,16,.938,5,19,12,6,1,16,15
L,63,65,25,51,.490,7,16,.438,6,11,.545,5,34,12,3,1,17,15,27,66,.409,6,25,.240,5,10,.500,11,34,21,13,9,8,9
L,67,77,25,55,.455,3,14,.214,14,20,.700,7,29,12,1,2,12,14,28,56,.500,10,19,.526,11,17,.647,8,33,13,5,3,11,22
L,56,58,18,52,.346,3,16,.188,17,25,.680,16,47,10,3,0,16,21,16,46,.348,8,26,.308,18,22,.818,3,24,10,8,4,8,16
W (1 OT),67,58,25,57,.439,3,11,.273,14,18,.778,10,29,12,6,2,10,15,20,45,.444,9,22,.409,9,13,.692,3,23,11,2,2,12,20
W,74,66,24,56,.429,6,16,.375,20,24,.833,10,37,10,2,8,7,14,26,66,.394,5,14,.357,9,11,.818,11,31,9,3,3,5,20
W,66,53,22,44,.500,4,13,.308,18,23,.783,5,30,7,4,0,12,19,20,49,.408,2,16,.125,11,25,.440,8,25,6,4,2,11,19
W (1 OT),98,92,32,65,.492,6,19,.316,28,38,.737,13,47,16,6,1,15,26,29,70,.414,10,26,.385,24,34,.706,8,34,11,9,2,9,27
W,65,62,24,47,.511,9,16,.563,8,13,.615,3,20,11,7,0,11,13,22,51,.431,8,18,.444,10,12,.833,8,29,11,5,0,13,12
W,79,69,27,56,.482,8,18,.444,17,22,.773,10,37,15,5,4,6,15,25,58,.431,8,22,.364,11,13,.846,5,23,9,5,1,7,18
L,59,68,23,62,.371,6,19,.316,7,11,.636,12,36,9,3,3,15,23,20,52,.385,8,18,.444,20,27,.741,9,35,15,7,3,11,14
