W,61,59,20,50,.400,8,13,.615,13,24,.542,12,32,12,3,1,5,14,23,49,.469,8,16,.500,5,10,.500,9,32,18,2,4,6,20
W,81,67,30,61,.492,6,19,.316,15,18,.833,13,36,18,5,5,10,18,24,49,.490,7,14,.500,12,19,.632,4,19,17,7,4,13,17
W,73,43,29,60,.483,7,14,.500,8,15,.533,13,50,19,4,12,14,14,18,70,.257,1,20,.050,6,8,.750,10,31,7,3,1,7,20
L (1 OT),66,68,18,42,.429,7,23,.304,23,31,.742,7,24,5,9,2,21,20,24,52,.462,4,15,.267,16,23,.696,10,28,8,14,1,18,21
L,49,53,14,41,.341,5,20,.250,16,20,.800,11,27,4,6,2,19,23,17,45,.378,5,20,.250,14,21,.667,9,27,5,12,1,14,19
W,66,46,25,41,.610,5,17,.294,11,22,.500,4,23,16,10,2,9,16,18,50,.360,4,19,.211,6,9,.667,12,28,11,6,0,14,17
W,68,55,24,56,.429,6,13,.462,14,19,.737,11,39,12,7,6,9,12,20,54,.370,10,29,.345,5,9,.556,8,26,19,5,4,10,13
L,46,69,18,48,.375,3,14,.214,7,8,.875,8,26,12,2,3,12,10,26,57,.456,10,24,.417,7,12,.583,11,30,12,11,3,8,14
L,42,70,15,46,.326,4,17,.235,8,10,.800,4,24,8,9,2,17,20,23,50,.460,7,25,.280,17,24,.708,8,32,17,8,5,14,11
W,83,59,33,66,.500,7,17,.412,10,19,.526,15,40,17,8,3,7,9,23,53,.434,9,22,.409,4,10,.400,6,26,17,5,6,13,15
L,40,52,14,42,.333,4,18,.222,8,16,.500,3,23,6,6,2,14,16,17,41,.415,3,14,.214,15,18,.833,6,34,11,7,5,14,16
W,70,55,23,48,.479,5,13,.385,19,22,.864,8,32,16,5,7,11,8,22,63,.349,7,26,.269,4,6,.667,18,36,12,5,4,13,20
L,51,53,20,52,.385,1,15,.067,10,16,.625,10,28,6,7,2,15,19,18,52,.346,5,15,.333,12,17,.706,13,30,7,6,4,15,13
L,57,60,19,50,.380,7,17,.412,12,16,.750,10,27,11,8,4,9,18,21,48,.438,3,12,.250,15,24,.625,13,31,6,4,4,13,16
W,67,65,27,52,.519,5,14,.357,8,13,.615,11,27,21,4,4,17,10,25,54,.463,6,15,.400,9,11,.818,10,22,11,13,5,14,18
W,74,57,24,52,.462,6,15,.400,20,22,.909,9,36,12,2,4,7,19,20,53,.377,4,20,.200,13,18,.722,4,18,9,3,2,6,21
L,49,60,21,55,.382,1,13,.077,6,7,.857,12,32,4,7,1,12,12,24,50,.480,5,14,.357,7,11,.636,6,26,16,8,4,9,8
W,56,55,21,48,.438,5,13,.385,9,12,.750,8,29,16,8,2,14,12,20,45,.444,7,19,.368,8,13,.615,5,23,13,9,0,12,14
W,64,49,22,47,.468,8,16,.500,12,14,.857,11,31,18,8,4,12,13,18,45,.400,2,13,.154,11,13,.846,9,23,7,7,6,13,12
W,75,59,28,50,.560,3,11,.273,16,22,.727,8,38,9,3,4,12,16,22,65,.338,3,18,.167,12,16,.750,12,24,8,4,1,7,16
L,47,67,16,45,.356,4,14,.286,11,15,.733,4,29,10,4,5,20,19,23,58,.397,7,19,.368,14,21,.667,9,30,15,13,3,5,14
W,81,78,29,57,.509,6,13,.462,17,25,.680,12,29,17,5,5,5,15,26,56,.464,7,13,.538,19,24,.792,11,27,17,2,4,8,20
L,45,75,16,51,.314,4,19,.211,9,16,.563,7,23,9,5,3,17,22,23,46,.500,5,12,.417,24,30,.800,5,31,16,6,3,9,16
W,63,51,23,38,.605,2,6,.333,15,22,.682,5,27,14,8,3,17,16,18,52,.346,4,16,.250,11,17,.647,10,25,9,9,1,17,18
W,55,48,19,49,.388,5,19,.263,12,15,.800,12,35,12,2,3,13,14,16,52,.308,1,12,.083,15,19,.789,7,23,6,7,6,7,17
W,65,51,22,45,.489,3,11,.273,18,20,.900,6,30,14,8,7,15,18,16,53,.302,4,12,.333,15,19,.789,13,29,9,8,3,14,19
W,56,47,22,45,.489,4,10,.400,8,17,.471,10,32,11,4,4,13,10,18,52,.346,3,12,.250,8,12,.667,12,29,13,5,3,9,20
L,48,56,20,52,.385,4,17,.235,4,4,1.000,11,39,11,5,3,17,20,19,55,.345,3,9,.333,15,23,.652,10,30,11,11,9,9,11
W,46,45,19,46,.413,3,15,.200,5,8,.625,6,28,13,2,4,9,9,18,53,.340,3,15,.200,6,7,.857,11,32,7,5,2,7,11
W,58,51,22,49,.449,4,10,.400,10,16,.625,10,38,12,3,2,18,14,18,53,.340,5,22,.227,10,14,.714,8,28,9,6,3,13,17
L,44,50,17,43,.395,2,14,.143,8,11,.727,5,27,7,5,6,13,17,15,52,.288,2,12,.167,18,21,.857,12,32,8,8,2,8,15
W,56,47,16,38,.421,2,10,.200,22,29,.759,7,29,8,5,4,17,16,17,50,.340,3,16,.188,10,16,.625,9,23,7,9,2,11,26
L (1 OT),53,57,21,55,.382,8,17,.471,3,5,.600,4,30,11,5,5,9,17,18,46,.391,8,16,.500,13,19,.684,3,29,15,4,5,8,9
