L,59,61,23,49,.469,8,16,.500,5,10,.500,9,32,18,2,4,6,20,20,50,.400,8,13,.615,13,24,.542,12,32,12,3,1,5,14
W,65,53,23,50,.460,7,16,.438,12,16,.750,16,40,10,7,5,19,17,18,51,.353,4,14,.286,13,18,.722,10,22,5,10,3,14,16
W,84,75,24,46,.522,6,14,.429,30,39,.769,4,24,16,10,4,12,25,25,56,.446,7,19,.368,18,25,.720,10,31,9,5,0,18,25
L,75,80,31,60,.517,4,16,.250,9,12,.750,10,26,15,9,5,15,26,24,50,.480,6,14,.429,26,37,.703,7,23,9,7,2,12,17
W (1 OT),65,63,23,58,.397,3,13,.231,16,23,.696,15,45,16,4,1,16,22,22,65,.338,3,18,.167,16,25,.640,14,36,11,7,5,7,22
W,64,62,25,54,.463,3,9,.333,11,14,.786,13,32,14,3,2,10,18,22,44,.500,3,11,.273,15,23,.652,5,23,8,5,4,8,15
L,48,55,18,51,.353,3,10,.300,9,15,.600,8,24,6,3,2,9,19,20,40,.500,5,13,.385,10,15,.667,2,26,10,4,7,13,17
L,52,68,21,60,.350,3,13,.231,7,13,.538,9,26,5,5,1,7,13,23,48,.479,7,16,.438,15,17,.882,7,37,15,4,6,16,18
L,43,62,16,44,.364,2,10,.200,9,15,.600,8,24,8,8,2,19,18,23,47,.489,8,18,.444,8,13,.615,9,31,13,8,2,17,15
L,58,62,23,50,.460,1,13,.077,11,22,.500,8,31,9,2,5,10,14,25,63,.397,2,8,.250,10,15,.667,15,38,7,7,2,9,18
L,72,73,28,58,.483,9,20,.450,7,10,.700,6,24,15,4,1,9,14,27,61,.443,4,13,.308,15,16,.938,10,31,13,6,2,9,12
W,71,53,25,56,.446,7,22,.318,14,18,.778,11,30,15,10,0,16,17,19,47,.404,2,11,.182,13,18,.722,10,24,10,8,4,23,18
W,65,49,27,53,.509,6,15,.400,5,10,.500,7,30,17,6,0,7,13,17,45,.378,3,9,.333,12,22,.545,9,27,7,6,4,10,10
L,51,53,18,46,.391,3,12,.250,12,18,.667,9,29,14,6,1,9,13,20,48,.417,5,13,.385,8,13,.615,9,29,11,4,3,14,20
L,59,65,18,53,.340,9,22,.409,14,17,.824,9,25,9,6,6,12,22,22,50,.440,3,10,.300,18,24,.750,7,31,9,10,4,12,16
W,83,69,26,57,.456,6,17,.353,25,31,.806,7,35,17,4,0,7,19,23,57,.404,6,20,.300,17,23,.739,11,31,11,4,6,10,25
W,72,59,18,46,.391,6,13,.462,30,36,.833,12,40,15,4,1,10,18,21,55,.382,9,29,.310,8,14,.571,5,22,13,3,4,6,26
W,73,53,28,53,.528,5,14,.357,12,19,.632,8,33,16,6,1,12,17,19,49,.388,2,13,.154,13,21,.619,8,26,11,6,2,14,19
L,64,72,21,58,.362,1,8,.125,21,27,.778,9,33,5,5,0,14,20,23,50,.460,10,22,.455,16,23,.696,7,30,10,6,1,15,22
W,79,65,27,55,.491,5,11,.455,20,23,.870,10,31,14,2,4,9,17,25,62,.403,5,14,.357,10,13,.769,13,28,14,1,8,8,22
W,73,69,27,56,.482,9,18,.500,10,13,.769,8,27,14,7,3,15,15,28,56,.500,6,20,.300,7,10,.700,8,28,11,3,2,18,14
W,90,62,33,58,.569,8,17,.471,16,19,.842,13,38,25,9,4,19,14,23,59,.390,6,17,.353,10,11,.909,7,19,11,6,3,16,16
W,77,60,22,52,.423,4,13,.308,29,34,.853,11,32,7,8,2,8,16,20,46,.435,8,23,.348,12,15,.800,5,28,10,3,3,15,24
W,68,67,22,50,.440,3,14,.214,21,27,.778,6,35,12,9,1,15,18,27,68,.397,5,18,.278,8,15,.533,12,36,8,7,1,12,25
W,82,56,27,63,.429,7,19,.368,21,34,.618,19,42,15,12,4,11,21,17,48,.354,9,25,.360,13,21,.619,8,29,11,3,3,18,28
W,73,63,25,60,.417,5,11,.455,18,23,.783,8,34,17,12,5,11,17,23,58,.397,7,18,.389,10,18,.556,7,33,14,10,8,16,21
W,68,49,22,46,.478,9,19,.474,15,18,.833,5,26,14,5,3,9,22,17,51,.333,0,15,.000,15,26,.577,16,33,2,3,1,12,20
W,50,47,20,46,.435,4,16,.250,6,7,.857,9,28,14,6,1,11,14,17,47,.362,7,19,.368,6,10,.600,12,28,9,2,1,11,12
W,92,70,32,58,.552,8,23,.348,20,22,.909,18,42,17,8,2,14,17,25,57,.439,7,21,.333,13,18,.722,11,20,9,10,2,10,18
L,53,57,18,46,.391,4,20,.200,13,19,.684,6,28,9,6,2,16,18,21,47,.447,5,14,.357,10,18,.556,9,29,11,7,5,13,17
W,80,49,26,59,.441,6,18,.333,22,30,.733,15,46,18,7,4,11,13,20,59,.339,6,21,.286,3,6,.500,6,21,8,6,4,14,20
W,50,40,16,50,.320,4,19,.211,14,17,.824,7,38,11,7,2,13,12,17,53,.321,0,17,.000,6,7,.857,4,29,7,5,4,14,19
W (2 OT),77,73,27,57,.474,9,26,.346,14,18,.778,7,32,11,4,3,15,18,26,60,.433,10,26,.385,11,18,.611,8,27,13,8,2,12,22
W,51,43,18,43,.419,7,15,.467,8,13,.615,4,31,13,6,0,11,11,17,58,.293,4,19,.211,5,6,.833,9,32,6,5,1,8,14
