L,61,72,18,68,.265,4,19,.211,21,27,.778,18,44,8,6,3,12,20,24,49,.490,6,14,.429,18,25,.720,3,33,12,7,9,15,20
W,52,49,19,46,.413,5,19,.263,9,12,.750,9,31,12,6,3,25,19,18,46,.391,1,13,.077,12,18,.667,6,27,7,12,1,19,16
L,49,65,18,67,.269,8,31,.258,5,7,.714,10,34,10,5,2,13,22,23,56,.411,4,15,.267,15,23,.652,12,46,14,5,10,15,15
L,57,76,17,52,.327,5,24,.208,18,27,.667,12,29,5,7,5,20,22,26,63,.413,6,16,.375,18,24,.750,18,44,12,10,4,17,26
L,64,69,20,43,.465,9,19,.474,15,26,.577,6,28,10,6,8,19,23,21,56,.375,7,20,.350,20,27,.741,17,30,11,10,3,14,23
L,45,68,16,39,.410,5,14,.357,8,18,.444,8,26,9,6,3,21,18,26,52,.500,6,17,.353,10,12,.833,9,32,10,8,1,15,21
W,72,67,22,52,.423,4,13,.308,24,32,.750,12,36,13,6,5,21,17,26,59,.441,5,15,.333,10,15,.667,8,29,9,8,4,17,25
L,59,70,24,56,.429,2,12,.167,9,14,.643,15,34,13,2,8,15,25,22,51,.431,5,12,.417,21,27,.778,11,29,9,6,0,13,20
W,60,53,18,45,.400,3,18,.167,21,31,.677,8,38,11,7,6,21,16,21,63,.333,3,11,.273,8,12,.667,10,32,10,7,3,14,22
W,62,55,21,48,.438,3,9,.333,17,30,.567,11,35,11,7,2,16,18,19,54,.352,2,11,.182,15,17,.882,7,29,12,10,2,18,25
L,76,84,26,62,.419,9,20,.450,15,20,.750,9,34,9,3,3,14,28,25,56,.446,5,11,.455,29,37,.784,10,35,11,8,2,10,19
L,63,76,22,60,.367,7,24,.292,12,25,.480,13,28,11,7,3,10,28,21,41,.512,7,11,.636,27,34,.794,6,32,10,3,5,11,21
L,60,70,23,52,.442,6,15,.400,8,17,.471,10,28,11,9,4,18,27,22,55,.400,5,16,.313,21,30,.700,17,37,11,7,4,20,17
W (1 OT),76,71,22,53,.415,4,13,.308,28,39,.718,15,36,14,7,2,15,21,26,56,.464,5,16,.313,14,19,.737,10,26,11,9,3,16,23
L,63,81,19,55,.345,7,25,.280,18,21,.857,9,36,13,3,5,17,23,22,50,.440,4,13,.308,33,39,.846,4,33,9,9,9,9,15
L (1 OT),70,72,25,75,.333,4,18,.222,16,19,.842,14,37,11,8,1,9,16,27,61,.443,8,16,.500,10,17,.588,12,43,10,4,6,20,15
L,65,67,23,54,.426,7,25,.280,12,17,.706,9,30,15,8,3,15,10,27,61,.443,6,20,.300,7,8,.875,12,33,14,6,1,15,16
L,67,84,27,78,.346,7,25,.280,6,8,.750,15,35,8,6,4,9,20,31,55,.564,6,12,.500,16,23,.696,6,38,22,5,6,14,14
L,65,78,22,49,.449,6,15,.400,15,19,.789,8,25,12,3,5,11,18,28,47,.596,10,17,.588,12,16,.750,4,22,20,4,4,10,17
W,65,53,23,56,.411,6,25,.240,13,16,.813,6,30,13,7,5,9,13,22,51,.431,3,11,.273,6,8,.750,4,30,9,2,2,17,15
L,66,67,23,55,.418,4,10,.400,16,20,.800,10,31,11,7,0,13,18,25,54,.463,5,18,.278,12,16,.750,7,28,17,4,8,13,18
W,61,51,16,58,.276,10,26,.385,19,28,.679,13,42,13,9,1,16,24,17,53,.321,1,12,.083,16,25,.640,11,38,5,7,8,20,21
W,75,66,29,53,.547,6,14,.429,11,17,.647,11,32,13,7,5,14,16,25,57,.439,5,11,.455,11,18,.611,14,28,14,5,0,10,16
L,64,72,22,65,.338,6,21,.286,14,14,1.000,11,40,11,4,4,14,30,26,67,.388,3,11,.273,17,37,.459,18,45,18,8,7,11,18
L,77,83,26,64,.406,9,26,.346,16,27,.593,12,35,12,4,4,13,22,27,60,.450,7,18,.389,22,30,.733,12,40,11,6,2,13,21
W,64,57,22,55,.400,1,9,.111,19,27,.704,15,36,7,5,4,14,11,25,65,.385,3,19,.158,4,5,.800,17,36,9,6,3,17,23
L,61,66,26,63,.413,3,17,.176,6,12,.500,10,32,11,5,6,16,22,23,62,.371,2,10,.200,18,22,.818,14,42,11,6,9,15,14
W,79,76,26,46,.565,6,17,.353,21,24,.875,2,16,17,7,5,16,23,21,54,.389,3,13,.231,31,38,.816,15,35,7,9,0,13,16
W,73,67,23,52,.442,6,19,.316,21,24,.875,10,30,11,7,4,13,20,27,50,.540,4,11,.364,9,18,.500,7,25,16,5,3,18,25
W,67,63,22,60,.367,10,23,.435,13,21,.619,17,43,12,2,7,15,18,21,53,.396,5,17,.294,16,20,.800,6,26,10,4,4,13,16
W,68,63,21,55,.382,5,19,.263,21,41,.512,13,45,10,2,6,11,17,23,56,.411,4,15,.267,13,18,.722,5,34,10,5,4,9,25
W,67,63,19,34,.559,5,8,.625,24,34,.706,2,23,9,2,4,13,16,23,51,.451,5,13,.385,12,16,.750,7,21,10,5,0,12,22
W,74,70,25,57,.439,5,15,.333,19,22,.864,11,34,9,2,5,11,13,27,61,.443,5,13,.385,11,14,.786,11,30,15,1,4,10,19
