L,70,100,27,63,.429,7,18,.389,9,15,.600,7,25,10,8,5,12,18,36,61,.590,9,16,.563,19,24,.792,8,38,27,8,5,13,15
L (1 OT),88,90,29,65,.446,9,22,.409,21,29,.724,12,34,15,9,1,13,18,32,60,.533,11,25,.440,15,22,.682,8,30,20,4,6,18,22
W,69,68,25,55,.455,4,17,.235,15,20,.750,8,28,15,7,1,9,16,22,50,.440,8,23,.348,16,24,.667,8,28,16,2,8,11,17
L,44,66,15,46,.326,2,9,.222,12,17,.706,6,24,8,9,2,13,13,24,45,.533,8,18,.444,10,13,.769,3,31,15,3,4,16,12
L,58,76,18,47,.383,5,20,.250,17,28,.607,6,27,7,8,6,14,20,25,51,.490,9,23,.391,17,22,.773,6,31,19,6,2,14,23
L,53,54,21,52,.404,4,9,.444,7,11,.636,8,25,12,11,8,15,12,21,55,.382,3,10,.300,9,14,.643,12,36,12,10,2,16,11
W,71,61,23,50,.460,5,19,.263,20,26,.769,8,31,15,12,6,19,12,22,52,.423,7,21,.333,10,12,.833,7,27,7,9,2,18,20
W,70,45,27,62,.435,8,27,.296,8,10,.800,15,41,19,15,7,11,16,15,52,.288,8,23,.348,7,11,.636,10,29,10,6,0,18,12
L (1 OT),82,83,25,48,.521,8,13,.615,24,33,.727,9,23,12,9,5,15,21,26,45,.578,11,17,.647,20,26,.769,5,21,19,7,1,13,25
W,85,73,30,53,.566,6,13,.462,19,26,.731,5,32,18,5,4,13,17,24,65,.369,9,25,.360,16,23,.696,14,36,15,6,0,15,25
W,77,68,26,54,.481,9,21,.429,16,22,.727,7,26,13,3,5,7,23,22,57,.386,4,15,.267,20,29,.690,11,33,12,1,2,10,18
W,62,59,20,44,.455,4,14,.286,18,24,.750,5,23,8,9,3,11,16,23,52,.442,3,13,.231,10,15,.667,6,29,11,4,1,11,17
W,58,55,20,55,.364,6,14,.429,12,21,.571,11,31,12,8,5,10,14,20,54,.370,6,17,.353,9,15,.600,11,35,14,6,6,13,14
L,52,68,17,55,.309,4,19,.211,14,22,.636,14,37,7,2,5,10,15,24,51,.471,10,21,.476,10,18,.556,7,32,14,5,9,11,17
L,65,69,20,49,.408,6,22,.273,19,26,.731,6,28,8,11,3,17,24,24,52,.462,7,19,.368,14,28,.500,9,35,16,6,4,16,18
W,78,50,30,61,.492,4,12,.333,14,18,.778,7,35,18,11,8,9,24,14,51,.275,3,15,.200,19,31,.613,13,36,8,5,4,21,18
W,51,43,17,46,.370,4,14,.286,13,18,.722,8,35,10,4,2,7,14,17,47,.362,4,16,.250,5,11,.455,6,28,10,4,1,6,17
L,57,68,18,49,.367,5,18,.278,16,24,.667,7,25,13,7,8,13,25,20,56,.357,4,14,.286,24,34,.706,19,44,11,6,5,12,20
L,47,73,14,55,.255,4,19,.211,15,18,.833,5,26,6,3,9,11,17,25,55,.455,8,22,.364,15,23,.652,12,40,15,7,7,13,19
W,64,50,21,63,.333,6,14,.429,16,21,.762,17,46,17,7,4,8,18,13,45,.289,3,12,.250,21,27,.778,3,28,8,2,3,11,16
W,56,46,20,49,.408,3,13,.231,13,17,.765,6,34,8,4,3,13,19,16,50,.320,2,14,.143,12,22,.545,9,31,6,6,5,9,18
W,63,56,22,55,.400,4,12,.333,15,23,.652,15,39,6,10,4,9,13,21,53,.396,4,16,.250,10,16,.625,10,29,12,4,4,13,15
W,62,41,23,50,.460,7,16,.438,9,12,.750,8,29,15,7,4,11,11,14,42,.333,3,16,.188,10,16,.625,5,20,9,9,3,11,11
L,63,74,20,49,.408,6,24,.250,17,28,.607,6,22,14,8,4,15,23,24,49,.490,3,9,.333,23,26,.885,6,32,16,10,2,15,23
W,81,71,29,57,.509,9,20,.450,14,21,.667,11,28,21,10,3,6,14,25,47,.532,14,27,.519,7,15,.467,6,23,18,1,0,14,15
L,48,60,18,47,.383,4,18,.222,8,15,.533,5,25,8,4,2,9,17,20,48,.417,6,19,.316,14,19,.737,6,30,9,4,0,8,14
W,75,70,26,56,.464,6,16,.375,17,25,.680,6,25,15,6,2,5,18,25,58,.431,5,17,.294,15,20,.750,15,42,7,1,5,15,19
W,72,71,23,64,.359,10,21,.476,16,20,.800,11,30,8,8,5,6,18,23,55,.418,4,11,.364,21,26,.808,11,39,8,5,3,14,16
L,64,66,21,52,.404,7,18,.389,15,18,.833,12,28,8,8,1,9,17,20,41,.488,8,15,.533,18,20,.900,4,21,12,5,1,11,15
L,62,66,24,55,.436,6,23,.261,8,14,.571,6,31,12,9,7,11,15,22,53,.415,5,19,.263,17,18,.944,4,30,9,7,3,11,13
W,69,67,25,58,.431,8,24,.333,11,13,.846,6,22,11,12,6,8,13,28,47,.596,7,16,.438,4,10,.400,4,31,15,4,2,19,12
W,72,67,28,57,.491,7,18,.389,9,18,.500,13,28,9,7,4,10,18,21,42,.500,7,19,.368,18,24,.750,4,21,12,3,1,14,17
W,58,57,20,53,.377,4,14,.286,14,20,.700,4,24,8,11,7,8,15,20,56,.357,3,17,.176,14,17,.824,13,41,8,5,5,15,12
