W,73,66,23,63,.365,4,14,.286,23,25,.920,14,33,10,7,4,7,13,28,62,.452,1,8,.125,9,12,.750,13,34,6,5,8,10,17
L,74,81,28,64,.438,9,28,.321,9,15,.600,11,33,17,2,4,10,13,30,62,.484,7,14,.500,14,16,.875,4,30,12,8,3,7,12
W,64,51,20,42,.476,6,15,.400,18,29,.621,10,36,8,7,3,18,16,19,52,.365,6,20,.300,7,12,.583,7,23,9,11,3,16,21
W (1 OT),77,74,26,64,.406,9,26,.346,16,21,.762,10,28,15,10,3,11,19,26,55,.473,4,12,.333,18,26,.692,11,36,18,5,4,17,20
W,63,52,22,48,.458,7,21,.333,12,20,.600,5,29,12,9,6,14,17,19,48,.396,2,7,.286,12,22,.545,6,30,6,5,3,18,18
W,82,57,24,49,.490,16,31,.516,18,24,.750,5,23,16,5,2,4,17,22,50,.440,3,12,.250,10,17,.588,10,34,11,2,0,11,20
W,66,64,25,50,.500,7,18,.389,9,11,.818,6,20,11,11,3,12,12,28,51,.549,3,12,.250,5,7,.714,8,25,16,5,2,15,11
L,66,74,24,62,.387,4,14,.286,14,16,.875,9,27,3,6,4,6,17,28,56,.500,4,8,.500,14,17,.824,9,37,13,2,4,9,12
W,88,74,36,71,.507,6,17,.353,10,18,.556,10,40,16,8,3,13,10,31,71,.437,5,23,.217,7,8,.875,7,38,11,10,2,16,18
W,100,71,34,63,.540,9,21,.429,23,26,.885,10,36,26,10,0,15,8,28,60,.467,9,20,.450,6,9,.667,5,24,21,10,1,22,17
W,80,52,31,63,.492,13,28,.464,5,9,.556,11,30,21,9,8,10,15,19,57,.333,3,17,.176,11,15,.733,11,30,6,5,3,17,11
L,59,76,23,62,.371,7,21,.333,6,9,.667,8,29,10,5,2,10,20,24,51,.471,8,17,.471,20,28,.714,7,37,7,6,6,9,10
W,74,57,24,55,.436,9,22,.409,17,26,.654,7,32,13,11,8,13,12,22,61,.361,5,15,.333,8,10,.800,9,38,15,7,4,21,22
L,65,74,25,77,.325,4,29,.138,11,18,.611,21,41,9,8,2,13,26,25,52,.481,2,8,.250,22,31,.710,11,41,10,3,4,21,18
W,71,59,28,60,.467,3,15,.200,12,15,.800,10,30,16,8,3,9,15,24,59,.407,4,18,.222,7,8,.875,10,28,11,2,7,15,19
W,72,70,27,55,.491,3,12,.250,15,17,.882,7,18,20,15,4,15,17,25,51,.490,7,15,.467,13,17,.765,11,33,17,7,1,24,19
L,63,70,22,55,.400,5,15,.333,14,22,.636,9,26,9,14,1,16,19,26,45,.578,3,11,.273,15,26,.577,6,29,14,10,9,18,17
W,54,53,23,56,.411,4,15,.267,4,6,.667,7,21,15,10,5,8,11,23,47,.489,3,8,.375,4,7,.571,6,28,17,5,2,13,11
W,69,61,24,51,.471,4,13,.308,17,22,.773,8,32,14,9,6,14,18,23,60,.383,4,16,.250,11,18,.611,15,32,11,9,4,12,19
L,60,61,25,59,.424,6,17,.353,4,6,.667,11,30,13,8,4,14,11,26,61,.426,4,13,.308,5,6,.833,11,32,7,7,6,15,11
W,80,71,26,61,.426,11,25,.440,17,19,.895,11,26,16,9,5,9,18,26,53,.491,3,11,.273,16,21,.762,8,30,13,5,7,15,14
W,89,53,30,63,.476,18,33,.545,11,14,.786,8,31,22,6,3,7,12,20,58,.345,3,16,.188,10,13,.769,13,35,12,2,4,14,12
W (1 OT),69,66,19,53,.358,9,25,.360,22,27,.815,11,31,12,8,3,20,19,22,52,.423,2,13,.154,20,25,.800,7,30,12,11,6,16,19
W,76,64,28,45,.622,10,16,.625,10,14,.714,6,25,22,5,2,14,13,26,49,.531,5,15,.333,7,11,.636,6,18,14,9,1,12,13
L,74,82,27,60,.450,5,17,.294,15,19,.789,6,24,11,6,0,6,17,30,60,.500,5,16,.313,17,29,.586,15,41,19,4,3,11,18
W,72,65,23,52,.442,9,23,.391,17,20,.850,7,35,15,4,5,10,16,26,58,.448,5,11,.455,8,16,.500,8,30,16,4,2,9,18
W,97,64,34,66,.515,10,24,.417,19,25,.760,8,36,23,9,4,7,13,26,64,.406,3,16,.188,9,13,.692,7,30,11,5,7,12,17
W,84,70,28,46,.609,12,22,.545,16,18,.889,3,17,19,8,2,11,12,32,58,.552,1,8,.125,5,10,.500,11,25,23,7,1,16,16
L,54,78,23,57,.404,2,15,.133,6,15,.400,8,24,6,6,2,14,18,30,52,.577,5,13,.385,13,19,.684,9,35,16,6,3,15,14
