W,92,54,33,66,.500,9,27,.333,17,21,.810,11,47,24,11,8,17,22,15,60,.250,5,21,.238,19,24,.792,5,21,9,6,0,18,19
W,77,58,24,51,.471,5,19,.263,24,33,.727,14,40,17,6,6,18,17,21,54,.389,3,10,.300,13,17,.765,6,19,8,8,3,13,24
L,79,83,24,67,.358,8,30,.267,23,25,.920,11,35,18,8,3,18,21,28,67,.418,3,19,.158,24,29,.828,13,38,9,9,3,14,22
W,82,70,25,58,.431,4,10,.400,28,35,.800,11,39,14,10,7,16,13,27,81,.333,8,28,.286,8,9,.889,22,42,10,4,6,15,25
W,85,57,27,63,.429,7,21,.333,24,35,.686,19,39,22,10,4,7,22,19,55,.345,4,15,.267,15,23,.652,9,25,10,3,3,15,25
W,77,63,30,66,.455,7,15,.467,10,15,.667,11,39,22,12,7,16,20,21,62,.339,1,18,.056,20,26,.769,14,37,9,9,3,17,17
W,68,60,22,62,.355,6,25,.240,18,29,.621,11,36,12,12,6,13,13,25,60,.417,5,16,.313,5,9,.556,8,39,14,6,4,21,23
W,76,75,26,61,.426,5,17,.294,19,27,.704,13,36,11,6,1,13,22,28,53,.528,4,9,.444,15,28,.536,4,26,17,6,5,13,20
W,91,44,31,59,.525,7,15,.467,22,33,.667,18,49,23,13,5,11,14,16,51,.314,4,20,.200,8,10,.800,4,19,10,3,4,19,27
W,62,60,22,49,.449,8,17,.471,10,18,.556,6,31,13,6,2,11,20,21,52,.404,6,18,.333,12,17,.706,4,29,8,3,3,14,19
W,73,59,26,57,.456,8,22,.364,13,18,.722,11,40,14,7,5,12,15,20,60,.333,9,24,.375,10,15,.667,9,31,10,4,2,11,15
W,89,74,34,57,.596,6,13,.462,15,20,.750,8,33,24,8,13,16,13,27,67,.403,13,29,.448,7,8,.875,9,25,12,8,0,12,20
L,73,79,27,59,.458,8,17,.471,11,21,.524,14,37,15,7,2,17,25,28,55,.509,3,10,.300,20,33,.606,10,30,12,12,3,12,20
W,74,52,23,53,.434,5,19,.263,23,32,.719,16,41,18,10,8,21,11,18,59,.305,4,14,.286,12,12,1.000,10,23,6,12,3,17,25
W,84,63,28,55,.509,7,19,.368,21,29,.724,10,39,23,11,4,19,15,22,57,.386,5,20,.250,14,24,.583,5,26,10,10,1,17,20
L,58,65,23,59,.390,8,23,.348,4,5,.800,4,31,19,3,5,17,22,22,57,.386,6,19,.316,15,29,.517,10,39,15,9,2,12,11
W (1 OT),76,71,26,60,.433,6,25,.240,18,31,.581,15,44,23,4,7,13,15,23,60,.383,9,22,.409,16,19,.842,4,26,16,6,2,9,22
W,82,75,33,64,.516,4,13,.308,12,17,.706,11,41,15,1,6,12,19,26,67,.388,3,19,.158,20,27,.741,9,28,7,7,5,5,14
L,61,66,23,56,.411,6,18,.333,9,14,.643,9,29,6,8,6,13,18,21,54,.389,5,14,.357,19,21,.905,11,35,13,7,2,10,15
W,62,50,21,43,.488,7,15,.467,13,15,.867,7,32,17,2,2,14,13,20,48,.417,3,16,.188,7,11,.636,5,18,10,9,5,6,14
W,66,54,23,59,.390,6,22,.273,14,22,.636,14,40,19,11,5,13,13,19,50,.380,6,24,.250,10,14,.714,5,28,11,5,2,16,16
L,72,77,27,54,.500,8,24,.333,10,17,.588,4,27,24,6,4,13,20,27,55,.491,8,19,.421,15,19,.789,6,29,13,8,0,12,17
L,55,64,21,60,.350,4,21,.190,9,11,.818,11,40,11,7,6,15,18,19,49,.388,7,17,.412,19,30,.633,9,32,9,5,4,10,10
W,64,55,23,62,.371,9,22,.409,9,15,.600,8,40,16,8,7,10,18,21,62,.339,4,22,.182,9,18,.500,10,41,12,7,2,13,17
L,56,71,22,52,.423,5,19,.263,7,12,.583,7,23,11,6,6,14,15,29,56,.518,8,23,.348,5,6,.833,10,30,19,4,3,16,16
W,72,70,23,58,.397,7,21,.333,19,25,.760,13,38,17,10,10,17,15,28,72,.389,6,15,.400,8,12,.667,13,35,7,12,3,14,17
W,61,59,21,49,.429,6,23,.261,13,18,.722,10,36,11,4,10,17,18,22,56,.393,3,17,.176,12,17,.706,9,28,11,7,0,10,17
W,65,42,27,54,.500,3,9,.333,8,10,.800,10,43,13,7,3,18,16,17,59,.288,4,18,.222,4,8,.500,9,22,9,6,0,10,12
W,80,63,28,58,.483,10,18,.556,14,16,.875,9,34,14,3,10,9,15,25,63,.397,3,15,.200,10,13,.769,10,28,7,3,2,9,14
W,68,64,21,49,.429,4,16,.250,22,28,.786,5,29,18,9,7,10,15,22,51,.431,13,25,.520,7,10,.700,4,30,16,2,0,17,22
L,52,61,18,54,.333,4,21,.190,12,20,.600,9,36,11,5,8,10,16,21,60,.350,9,19,.474,10,13,.769,11,39,16,7,3,7,19
