W,86,81,22,54,.407,4,17,.235,38,44,.864,10,36,15,4,3,11,19,27,64,.422,12,30,.400,15,20,.750,9,26,18,4,2,8,27
W,66,59,19,47,.404,5,16,.313,23,30,.767,7,34,10,6,4,17,20,21,58,.362,9,26,.346,8,14,.571,8,26,11,8,1,11,23
W,70,69,22,50,.440,9,18,.500,17,22,.773,8,27,15,3,2,17,13,24,58,.414,11,23,.478,10,13,.769,12,31,12,6,2,15,17
W,66,60,19,48,.396,7,22,.318,21,21,1.000,10,30,11,5,1,13,13,23,54,.426,7,18,.389,7,9,.778,8,24,10,6,3,12,21
W,73,58,24,47,.511,10,20,.500,15,22,.682,5,29,21,9,4,12,8,23,56,.411,8,24,.333,4,8,.500,8,30,19,6,2,14,17
W,69,54,19,57,.333,2,19,.105,29,38,.763,10,38,14,8,5,13,16,18,56,.321,1,10,.100,17,21,.810,9,32,10,8,6,15,26
W,76,58,27,60,.450,5,19,.263,17,26,.654,10,40,19,6,6,15,16,22,58,.379,7,21,.333,7,13,.538,7,27,14,9,4,17,25
W (1 OT),77,68,22,57,.386,5,20,.250,28,34,.824,9,43,11,5,1,12,26,23,59,.390,4,23,.174,18,30,.600,8,32,7,2,0,11,26
W,75,67,28,54,.519,11,24,.458,8,14,.571,9,29,17,10,3,13,13,27,51,.529,4,13,.308,9,12,.750,3,23,16,8,4,14,16
W,65,52,20,47,.426,5,13,.385,20,31,.645,6,23,16,9,2,10,15,18,37,.486,8,18,.444,8,13,.615,1,22,12,4,1,22,23
W,73,58,20,47,.426,7,13,.538,26,35,.743,6,34,15,4,11,6,17,19,58,.328,4,16,.250,16,19,.842,10,31,12,4,4,8,23
W,68,63,23,55,.418,6,20,.300,16,22,.727,10,31,9,5,6,9,17,21,55,.382,10,17,.588,11,20,.550,16,35,13,2,4,13,21
L,65,70,20,54,.370,8,24,.333,17,24,.708,8,27,13,10,1,8,15,24,50,.480,9,25,.360,13,15,.867,6,34,13,2,1,18,23
W,55,54,21,54,.389,7,19,.368,6,11,.545,8,29,15,2,4,14,12,20,64,.313,11,26,.423,3,4,.750,14,35,11,7,4,11,13
L,46,60,14,44,.318,3,12,.250,15,20,.750,8,32,9,7,5,21,20,21,52,.404,5,21,.238,13,19,.684,6,30,14,8,4,13,19
W,65,58,22,57,.386,6,19,.316,15,29,.517,10,39,15,9,2,12,11,23,59,.390,8,23,.348,4,5,.800,4,31,19,3,5,17,22
W,72,45,29,59,.492,2,12,.167,12,19,.632,16,42,12,7,8,16,14,16,48,.333,5,20,.250,8,15,.533,7,21,10,7,7,18,18
W (1 OT),79,74,23,57,.404,9,21,.429,24,31,.774,6,28,11,9,4,14,21,25,58,.431,9,20,.450,15,21,.714,8,36,12,6,1,16,22
W,66,61,19,52,.365,7,16,.438,21,26,.808,5,23,13,7,3,10,20,21,57,.368,6,21,.286,13,23,.565,14,41,10,2,3,16,24
L,34,55,11,44,.250,3,15,.200,9,11,.818,5,23,8,7,5,17,10,23,57,.404,3,15,.200,6,10,.600,12,37,9,10,5,11,14
W,63,59,25,52,.481,2,10,.200,11,14,.786,7,30,12,5,1,10,12,20,49,.408,12,22,.545,7,10,.700,4,22,14,6,4,10,13
W,75,62,28,50,.560,11,21,.524,8,14,.571,2,29,22,6,7,7,11,24,59,.407,10,26,.385,4,6,.667,9,32,17,3,1,11,17
W,81,58,26,54,.481,9,20,.450,20,31,.645,12,37,21,8,2,11,15,20,50,.400,7,24,.292,11,15,.733,3,23,13,7,2,14,21
L,55,64,21,62,.339,4,22,.182,9,18,.500,10,41,12,7,2,13,17,23,62,.371,9,22,.409,9,15,.600,8,40,16,8,7,10,18
W,54,48,21,56,.375,5,19,.263,7,11,.636,10,32,13,6,7,7,11,18,55,.327,9,24,.375,3,4,.750,8,31,13,4,2,10,13
W,60,50,17,49,.347,7,17,.412,19,25,.760,7,34,12,6,4,14,15,20,54,.370,5,20,.250,5,10,.500,6,31,7,7,2,17,21
W,91,82,27,51,.529,12,23,.522,25,33,.758,8,33,18,6,5,9,22,29,70,.414,8,21,.381,16,23,.696,18,40,15,4,1,9,22
W,70,60,21,44,.477,4,13,.308,24,32,.750,6,29,18,1,3,9,20,21,58,.362,4,23,.174,14,21,.667,15,33,7,7,1,11,23
W,53,42,15,42,.357,2,14,.143,21,27,.778,5,37,12,5,3,6,12,16,57,.281,7,24,.292,3,7,.429,11,33,9,5,3,7,22
W,75,62,27,54,.500,6,17,.353,15,21,.714,9,29,16,8,4,6,15,21,51,.412,8,21,.381,12,16,.750,7,22,13,3,3,11,17
L,88,89,34,58,.586,15,33,.455,5,11,.455,6,26,29,5,3,6,16,31,55,.564,15,31,.484,12,17,.706,6,24,23,5,1,6,14
