W,83,52,33,69,.478,4,20,.200,13,18,.722,10,43,17,16,7,17,19,17,56,.304,7,23,.304,11,21,.524,8,29,9,10,2,24,18
L,55,64,16,45,.356,4,15,.267,19,23,.826,5,24,7,7,2,14,19,22,51,.431,5,22,.227,15,18,.833,10,36,15,6,1,11,18
L,44,56,15,45,.333,4,22,.182,10,16,.625,9,31,4,3,3,17,19,20,43,.465,7,22,.318,9,20,.450,5,26,14,4,1,12,18
L,39,93,10,66,.152,3,22,.136,16,24,.667,15,39,5,6,5,19,22,36,70,.514,12,28,.429,9,23,.391,12,52,24,15,12,13,17
L,57,86,19,64,.297,6,25,.240,13,18,.722,8,28,12,5,2,12,20,29,63,.460,11,33,.333,17,23,.739,15,52,15,6,6,17,17
W,85,60,31,51,.608,8,22,.364,15,21,.714,7,31,19,4,2,14,23,20,59,.339,5,26,.192,15,25,.600,12,24,11,4,2,12,17
L (1 OT),50,54,17,40,.425,2,11,.182,14,23,.609,8,29,8,7,3,21,20,14,40,.350,7,19,.368,19,22,.864,7,26,11,4,3,15,19
W,90,79,24,50,.480,8,21,.381,34,47,.723,6,36,7,9,5,19,28,22,71,.310,5,29,.172,30,40,.750,22,49,7,11,2,18,32
L,62,66,20,58,.345,9,26,.346,13,18,.722,11,26,12,10,5,11,19,20,48,.417,5,14,.357,21,25,.840,13,36,11,4,7,18,20
W,76,71,22,56,.393,7,15,.467,25,38,.658,15,44,14,6,13,17,18,25,65,.385,10,22,.455,11,20,.550,13,33,12,7,8,16,26
L,66,77,22,57,.386,7,20,.350,15,22,.682,7,29,13,8,3,14,18,22,48,.458,11,25,.440,22,30,.733,7,34,18,6,4,15,17
W,78,67,26,47,.553,2,11,.182,24,30,.800,9,32,19,9,6,18,20,20,51,.392,11,26,.423,16,18,.889,5,17,16,7,2,18,24
L,74,85,26,58,.448,13,30,.433,9,15,.600,7,19,17,5,3,11,20,32,66,.485,4,16,.250,17,26,.654,21,46,18,7,2,15,14
L,52,60,19,49,.388,5,15,.333,9,25,.360,6,31,10,7,9,13,21,18,53,.340,7,19,.368,17,22,.773,10,40,10,6,3,13,16
W,81,77,30,61,.492,7,14,.500,14,22,.636,4,31,19,7,9,14,12,31,68,.456,11,24,.458,4,8,.500,6,34,21,7,5,14,21
W,71,65,21,53,.396,5,23,.217,24,33,.727,15,34,5,8,5,10,21,18,52,.346,6,19,.316,23,27,.852,12,32,10,4,1,13,23
L,60,72,21,56,.375,6,20,.300,12,16,.750,9,31,13,5,7,12,18,23,59,.390,12,26,.462,14,18,.778,11,37,17,3,4,12,17
W,68,40,24,50,.480,7,19,.368,13,18,.722,9,41,13,5,6,18,22,13,57,.228,1,16,.063,13,29,.448,13,28,6,7,6,12,16
W,61,37,21,49,.429,7,21,.333,12,18,.667,9,35,8,6,2,15,15,12,48,.250,2,14,.143,11,20,.550,7,26,6,7,3,15,14
L,52,55,19,52,.365,4,21,.190,10,18,.556,8,32,8,3,6,8,14,22,56,.393,3,15,.200,8,15,.533,10,36,12,5,1,9,18
W,63,62,26,60,.433,7,23,.304,4,11,.364,12,34,15,8,4,13,21,18,45,.400,12,23,.522,14,19,.737,4,22,12,5,1,13,13
W,46,44,17,44,.386,3,17,.176,9,21,.429,9,30,8,6,6,21,18,16,51,.314,5,17,.294,7,15,.467,11,32,9,7,1,22,21
L,44,53,15,51,.294,7,24,.292,7,11,.636,7,26,9,4,2,10,16,18,41,.439,6,18,.333,11,17,.647,6,32,10,6,5,14,13
W,65,55,21,42,.500,4,14,.286,19,26,.731,7,32,10,5,5,18,24,19,52,.365,3,16,.188,14,26,.538,10,24,12,8,3,11,22
W,64,56,22,56,.393,5,19,.263,15,25,.600,15,34,10,10,4,10,11,21,51,.412,6,23,.261,8,10,.800,6,27,8,4,1,16,20
L,70,72,25,63,.397,11,29,.379,9,13,.692,12,41,15,3,1,15,24,24,61,.393,5,23,.217,19,31,.613,14,38,13,11,8,11,15
L,49,56,13,47,.277,3,13,.231,20,27,.741,11,31,6,14,3,21,30,14,36,.389,5,17,.294,23,36,.639,9,29,8,13,8,27,21
L,47,51,18,47,.383,5,19,.263,6,19,.316,9,23,9,10,2,12,19,14,35,.400,4,12,.333,19,21,.905,7,26,10,2,0,18,14
W,58,35,18,57,.316,7,22,.318,15,22,.682,11,36,14,12,5,12,15,11,54,.204,2,18,.111,11,16,.688,17,46,3,6,2,24,18
W,59,57,18,52,.346,4,16,.250,19,32,.594,12,32,12,9,7,14,21,18,45,.400,6,11,.545,15,26,.577,11,36,7,10,5,22,26
L,48,55,18,57,.316,4,20,.200,8,11,.727,7,31,12,3,2,18,15,20,45,.444,6,18,.333,9,15,.600,2,30,15,8,8,17,15
