L,63,72,23,59,.390,6,14,.429,11,18,.611,12,31,6,8,4,20,22,25,59,.424,7,22,.318,15,26,.577,9,33,10,13,5,17,18
W,76,49,28,73,.384,7,27,.259,13,17,.765,15,47,16,12,7,11,19,17,62,.274,7,31,.226,8,12,.667,15,41,9,4,0,20,17
L,70,72,26,70,.371,5,27,.185,13,24,.542,10,43,10,7,4,12,28,20,50,.400,8,19,.421,24,40,.600,3,36,10,9,9,15,20
L,72,82,28,54,.519,9,20,.450,7,8,.875,4,26,18,2,3,17,25,27,62,.435,8,28,.286,20,24,.833,10,31,15,11,4,9,16
W,70,59,20,49,.408,1,8,.125,29,38,.763,8,38,7,6,2,16,17,22,66,.333,4,27,.148,11,14,.786,13,36,6,7,5,12,24
L,69,73,25,69,.362,4,14,.286,15,26,.577,19,42,8,11,1,16,20,26,51,.510,12,26,.462,9,17,.529,7,35,16,7,4,23,20
L,40,69,15,53,.283,2,15,.133,8,14,.571,7,25,4,6,2,16,22,23,53,.434,8,25,.320,15,21,.714,11,42,14,8,8,14,15
W,76,68,27,57,.474,3,19,.158,19,23,.826,12,40,12,7,1,21,20,23,59,.390,8,29,.276,14,25,.560,13,31,9,8,1,15,21
W,89,54,30,60,.500,13,29,.448,16,24,.667,13,43,16,8,2,13,10,23,66,.348,6,23,.261,2,5,.400,10,26,8,6,1,14,18
W,118,82,42,62,.677,11,16,.688,23,33,.697,14,44,19,5,1,18,22,29,62,.468,11,28,.393,13,22,.591,7,17,11,8,2,13,24
L,78,83,28,62,.452,8,23,.348,14,17,.824,9,30,11,6,2,15,26,27,63,.429,6,19,.316,23,32,.719,15,37,15,4,5,15,15
W,65,62,25,61,.410,7,17,.412,8,9,.889,14,38,7,4,3,10,15,21,58,.362,11,31,.355,9,11,.818,6,26,16,5,7,10,15
L,58,68,18,60,.300,3,27,.111,19,34,.559,22,38,6,7,1,11,21,23,49,.469,7,18,.389,15,21,.714,7,32,16,9,3,10,23
W,86,67,30,61,.492,8,21,.381,18,25,.720,17,45,14,6,6,16,18,28,64,.438,5,20,.250,6,13,.462,10,25,15,7,4,12,21
L,58,70,23,59,.390,3,16,.188,9,16,.563,10,30,12,6,3,11,21,21,49,.429,13,31,.419,15,23,.652,6,33,13,8,4,12,16
W,81,69,27,47,.574,7,12,.583,20,28,.714,4,29,16,4,3,19,26,21,55,.382,8,24,.333,19,29,.655,9,25,17,10,2,12,24
W,81,78,31,62,.500,10,17,.588,9,13,.692,12,34,11,7,2,16,18,26,72,.361,10,27,.370,16,25,.640,18,36,11,11,2,12,20
L (1 OT),72,73,22,59,.373,7,20,.350,21,27,.778,10,36,9,8,0,12,19,24,50,.480,12,27,.444,13,23,.565,3,25,11,4,5,16,22
W,84,72,27,40,.675,10,17,.588,20,29,.690,5,29,10,1,1,14,17,23,53,.434,14,29,.483,12,15,.800,3,14,13,7,0,7,18
W,69,61,23,59,.390,4,14,.286,19,24,.792,15,39,6,6,3,12,18,22,57,.386,8,26,.308,9,16,.563,8,30,10,7,7,12,19
W,66,64,22,47,.468,7,16,.438,15,22,.682,6,26,9,7,5,13,16,23,52,.442,5,16,.313,13,16,.813,9,33,12,5,3,14,19
W,61,58,24,66,.364,5,18,.278,8,11,.727,16,38,9,7,1,6,16,18,48,.375,11,30,.367,11,16,.688,10,32,12,3,9,14,12
L,74,77,29,55,.527,7,20,.350,9,9,1.000,9,28,13,6,4,18,17,27,55,.491,10,20,.500,13,14,.929,7,24,16,11,3,16,15
W,67,58,23,53,.434,7,19,.368,14,19,.737,7,43,16,2,3,16,14,20,61,.328,2,18,.111,16,22,.727,6,30,7,10,2,6,19
W,83,78,29,69,.420,10,17,.588,15,23,.652,6,33,13,8,6,3,20,26,63,.413,10,32,.313,16,23,.696,10,35,13,1,9,9,14
W,75,60,25,44,.568,5,12,.417,20,28,.714,2,29,7,10,3,16,19,20,59,.339,4,18,.222,16,21,.762,12,30,12,5,2,15,21
L,65,75,19,39,.487,3,14,.214,24,32,.750,4,22,6,7,0,18,23,23,51,.451,7,22,.318,22,27,.815,13,32,7,6,2,14,26
L,85,100,26,60,.433,6,20,.300,27,43,.628,11,30,15,8,2,19,34,28,57,.491,6,24,.250,38,52,.731,13,37,19,11,9,13,26
W,70,51,29,71,.408,5,22,.227,7,12,.583,16,41,9,8,4,6,13,20,52,.385,3,15,.200,8,12,.667,6,32,9,2,4,11,13
W,63,61,22,59,.373,4,19,.211,15,23,.652,12,34,9,6,2,12,20,20,50,.400,6,23,.261,15,22,.682,8,36,11,8,3,14,24
W (2 OT),73,68,22,76,.289,9,36,.250,20,28,.714,23,53,7,8,1,15,17,25,67,.373,3,20,.150,15,17,.882,8,38,3,8,2,12,22
W,66,62,24,56,.429,2,12,.167,16,21,.762,12,46,5,3,10,16,19,17,60,.283,8,31,.258,20,27,.741,11,32,7,10,4,8,18
W,76,61,28,48,.583,5,11,.455,15,26,.577,5,34,13,4,2,7,17,19,59,.322,8,26,.308,15,22,.682,9,27,8,3,1,6,18
