L,60,72,22,66,.333,2,19,.105,14,22,.636,18,39,10,7,3,6,21,24,54,.444,8,20,.400,16,23,.696,10,39,12,2,3,13,23
W,91,65,29,49,.592,5,14,.357,28,34,.824,9,46,19,8,3,18,18,22,63,.349,12,29,.414,9,17,.529,8,23,13,5,1,12,24
W,63,58,18,45,.400,3,12,.250,24,34,.706,9,30,4,5,1,14,19,20,46,.435,7,21,.333,11,15,.733,5,23,11,5,3,13,29
W,94,70,28,45,.622,9,17,.529,29,43,.674,5,36,23,9,3,14,18,25,64,.391,7,19,.368,13,19,.684,8,29,11,5,1,13,27
W,93,70,30,64,.469,9,23,.391,24,30,.800,11,39,16,6,5,9,16,24,58,.414,7,19,.368,15,19,.789,4,26,11,5,4,16,21
W,76,68,22,50,.440,4,18,.222,28,36,.778,10,34,12,12,1,13,12,26,52,.500,11,28,.393,5,8,.625,5,23,17,9,1,17,26
W,70,62,24,53,.453,8,19,.421,14,19,.737,13,44,12,2,6,15,11,23,62,.371,7,23,.304,9,13,.692,9,29,13,10,3,10,17
W,81,57,27,58,.466,9,24,.375,18,24,.750,14,41,20,5,3,11,21,19,46,.413,6,22,.273,13,19,.684,4,20,12,4,4,16,18
W,67,62,23,57,.404,3,19,.158,18,24,.750,12,38,9,11,5,14,21,19,57,.333,3,14,.214,21,27,.778,12,35,11,7,4,18,21
W,75,72,23,56,.411,7,22,.318,22,37,.595,13,30,13,7,1,6,16,27,51,.529,5,20,.250,13,20,.650,7,32,11,3,5,12,26
W,80,63,24,49,.490,5,13,.385,27,46,.587,14,53,13,6,3,16,18,22,59,.373,13,32,.406,6,15,.400,4,27,12,10,0,10,27
L,73,78,26,64,.406,6,22,.273,15,20,.750,13,34,7,8,1,14,26,25,48,.521,5,15,.333,23,35,.657,5,27,10,5,6,14,20
W,84,70,25,49,.510,8,20,.400,26,26,1.000,12,34,11,6,3,14,16,28,56,.500,5,8,.625,9,18,.500,10,22,7,9,1,10,24
W,64,58,21,55,.382,5,20,.250,17,27,.630,12,33,10,9,6,7,15,18,48,.375,8,15,.533,14,17,.824,12,36,10,3,2,17,20
W,100,91,31,55,.564,5,12,.417,33,39,.846,12,39,14,3,6,16,19,33,78,.423,9,25,.360,16,21,.762,17,30,21,9,1,9,26
W (1 OT),71,70,21,51,.412,3,13,.231,26,38,.684,7,32,8,5,3,5,13,27,60,.450,13,23,.565,3,3,1.000,5,29,17,4,2,10,22
L,54,71,19,55,.345,1,12,.083,15,20,.750,17,36,6,3,6,20,15,26,55,.473,9,20,.450,10,12,.833,8,27,10,6,6,13,18
L,56,69,20,50,.400,5,17,.294,11,19,.579,7,37,11,5,5,17,17,26,66,.394,6,25,.240,11,18,.611,14,40,12,12,2,11,15
W,83,62,29,57,.509,6,16,.375,19,22,.864,10,40,15,8,10,10,15,21,57,.368,4,16,.250,16,17,.941,5,22,9,6,3,11,15
L,57,69,20,52,.385,4,11,.364,13,14,.929,8,29,6,2,2,16,15,29,59,.492,3,15,.200,8,14,.571,9,29,16,8,5,7,16
L,51,72,20,47,.426,2,11,.182,9,24,.375,7,26,10,12,4,18,20,23,47,.489,9,19,.474,17,21,.810,8,35,13,5,4,16,21
W (1 OT),79,75,25,56,.446,6,18,.333,23,30,.767,17,41,13,6,5,14,13,27,63,.429,11,24,.458,10,11,.909,10,23,21,9,4,12,23
W,68,63,22,50,.440,6,18,.333,18,27,.667,10,32,9,8,5,12,13,21,49,.429,13,27,.481,8,12,.667,5,25,15,6,2,16,22
W,91,65,31,56,.554,9,14,.643,20,28,.714,9,44,18,4,3,11,16,21,65,.323,8,26,.308,15,19,.789,10,29,12,6,0,9,21
L,74,92,28,61,.459,7,23,.304,11,15,.733,5,23,17,7,2,12,13,35,62,.565,11,22,.500,11,12,.917,7,35,25,6,6,11,13
W,83,74,28,56,.500,8,17,.471,19,27,.704,6,33,18,7,4,17,24,23,62,.371,3,15,.200,25,36,.694,15,38,6,8,1,17,23
W,61,52,20,54,.370,1,9,.111,20,26,.769,14,47,11,6,5,14,17,17,54,.315,7,25,.280,11,15,.733,5,27,9,5,2,11,19
L,61,88,17,52,.327,2,10,.200,25,33,.758,10,30,6,3,1,9,13,35,58,.603,8,17,.471,10,19,.526,5,35,24,8,3,6,21
L,64,75,21,53,.396,7,18,.389,15,18,.833,8,24,13,8,1,14,20,28,47,.596,3,9,.333,16,22,.727,3,23,15,9,6,15,19
W,59,56,19,49,.388,4,17,.235,17,25,.680,10,34,7,5,1,12,18,21,57,.368,4,17,.235,10,17,.588,12,29,8,3,4,12,22
L (1 OT),65,66,25,62,.403,6,18,.333,9,14,.643,12,40,8,2,3,12,15,23,65,.354,6,21,.286,14,19,.737,12,33,16,5,8,5,12
