L,69,71,19,51,.373,4,21,.190,27,37,.730,4,32,8,5,4,13,23,25,58,.431,3,19,.158,18,27,.667,8,39,10,5,4,13,26
L,93,95,34,73,.466,12,35,.343,13,15,.867,16,39,14,7,6,12,20,34,68,.500,12,24,.500,15,24,.625,14,37,14,9,2,10,17
W,90,79,31,64,.484,8,11,.727,20,33,.606,9,37,15,6,4,14,23,28,62,.452,5,16,.313,18,28,.643,7,33,17,5,7,15,25
W,89,74,35,74,.473,7,22,.318,12,18,.667,19,42,15,9,4,13,18,29,64,.453,2,21,.095,14,20,.700,13,34,7,7,5,15,17
L,80,84,30,66,.455,11,26,.423,9,15,.600,10,28,16,5,2,12,20,29,66,.439,5,25,.200,21,27,.778,18,43,18,7,3,9,14
W,80,70,24,53,.453,9,19,.474,23,27,.852,9,35,14,4,0,13,15,30,63,.476,4,15,.267,6,9,.667,7,27,11,10,4,10,24
W,86,67,27,52,.519,4,13,.308,28,37,.757,10,29,9,9,1,11,19,22,49,.449,7,17,.412,16,25,.640,9,26,9,5,2,17,25
W,85,80,27,60,.450,11,22,.500,20,26,.769,7,34,10,2,6,15,20,27,66,.409,6,25,.240,20,25,.800,7,28,14,7,2,9,20
L,75,80,24,52,.462,10,23,.435,17,22,.773,6,26,13,5,5,11,21,27,55,.491,5,12,.417,21,28,.750,9,33,13,8,0,9,20
L,66,85,25,63,.397,5,22,.227,11,17,.647,10,26,7,4,1,11,24,27,51,.529,5,17,.294,26,35,.743,10,37,13,6,3,10,19
L,64,76,25,57,.439,7,18,.389,7,15,.467,7,28,9,5,1,13,22,24,59,.407,6,18,.333,22,32,.688,16,45,7,8,7,13,14
W (1 OT),108,107,38,77,.494,6,22,.273,26,36,.722,17,38,12,9,3,4,25,37,65,.569,11,18,.611,22,37,.595,8,35,17,2,3,13,25
L,73,80,28,73,.384,8,24,.333,9,15,.600,15,39,7,6,5,12,20,34,65,.523,4,12,.333,8,14,.571,7,37,23,5,8,10,15
W,77,64,26,57,.456,8,26,.308,17,25,.680,8,31,12,7,6,7,18,23,60,.383,2,14,.143,16,22,.727,13,39,9,1,2,13,22
W,82,72,20,53,.377,10,24,.417,32,39,.821,10,35,12,6,1,9,14,25,57,.439,12,31,.387,10,13,.769,5,29,14,5,1,10,24
W,86,79,27,56,.482,7,22,.318,25,33,.758,6,32,8,6,1,8,21,26,66,.394,8,28,.286,19,30,.633,16,42,12,6,2,11,25
W,78,74,22,66,.333,9,24,.375,25,35,.714,10,35,8,6,0,6,21,27,61,.443,4,20,.200,16,24,.667,10,46,8,3,6,11,26
W,76,71,26,57,.456,9,25,.360,15,24,.625,7,34,12,9,2,8,15,26,57,.456,9,26,.346,10,17,.588,8,34,16,5,2,14,19
W,74,70,28,50,.560,7,19,.368,11,18,.611,2,30,9,2,6,6,18,25,65,.385,3,14,.214,17,25,.680,13,35,7,2,3,4,14
W,90,77,35,62,.565,4,10,.400,16,21,.762,11,40,18,4,7,12,15,29,68,.426,9,25,.360,10,13,.769,5,25,15,5,2,4,18
W,83,76,26,60,.433,5,21,.238,26,41,.634,9,27,8,6,2,7,28,23,57,.404,2,17,.118,28,39,.718,17,48,4,3,5,17,31
W,89,72,32,62,.516,10,22,.455,15,20,.750,10,40,13,5,4,8,18,26,63,.413,11,30,.367,9,16,.563,7,29,15,4,7,8,17
W,66,65,20,58,.345,5,19,.263,21,30,.700,9,30,8,5,7,9,11,25,61,.410,4,13,.308,11,13,.846,10,38,10,5,5,11,25
W,80,67,29,68,.426,12,27,.444,10,14,.714,15,40,13,4,4,6,15,25,52,.481,4,13,.308,13,20,.650,4,29,14,4,4,8,15
W,67,64,22,51,.431,3,15,.200,20,30,.667,2,13,6,11,1,8,18,23,40,.575,4,8,.500,14,23,.609,7,36,7,5,1,26,23
W,81,65,26,62,.419,7,25,.280,22,26,.846,12,40,13,5,6,12,21,20,62,.323,3,15,.200,22,32,.688,17,41,6,7,3,11,20
L,63,78,19,60,.317,4,20,.200,21,30,.700,15,33,4,6,4,10,20,28,63,.444,6,15,.400,16,26,.615,19,48,10,4,4,11,22
W,81,77,27,65,.415,5,20,.250,22,35,.629,15,41,7,7,4,5,17,27,66,.409,12,28,.429,11,16,.688,11,38,12,1,4,11,22
L,65,69,25,64,.391,5,22,.227,10,13,.769,10,31,5,4,4,9,16,25,61,.410,3,11,.273,16,19,.842,13,39,9,5,6,13,19
W,70,57,25,58,.431,6,20,.300,14,34,.412,10,39,12,10,5,8,17,20,65,.308,5,20,.250,12,19,.632,15,45,11,4,5,13,27
W,89,86,29,60,.483,8,20,.400,23,29,.793,9,31,13,6,6,5,18,28,63,.444,13,26,.500,17,22,.773,13,35,10,3,6,11,19
W,87,76,26,53,.491,5,14,.357,30,38,.789,7,27,8,7,3,6,16,26,60,.433,6,21,.286,18,23,.783,15,36,11,1,1,15,25
W,87,74,32,54,.593,7,14,.500,16,20,.800,3,27,18,9,6,11,19,25,62,.403,5,13,.385,19,24,.792,13,33,10,6,4,15,17
