W,83,61,26,53,.491,9,24,.375,22,30,.733,3,28,16,10,0,8,24,20,57,.351,4,14,.286,17,35,.486,16,41,9,3,3,14,22
W,68,60,22,49,.449,7,17,.412,17,22,.773,3,24,10,11,2,16,21,19,48,.396,4,19,.211,18,24,.750,9,31,10,7,3,22,21
L,67,75,19,54,.352,8,30,.267,21,29,.724,6,27,8,7,0,11,24,22,54,.407,9,26,.346,22,29,.759,11,39,16,4,1,13,24
W,114,45,40,65,.615,20,39,.513,14,21,.667,8,29,34,24,4,10,15,19,45,.422,4,16,.250,3,12,.250,6,25,12,4,2,30,17
W,74,67,24,55,.436,10,29,.345,16,24,.667,7,26,17,9,3,6,18,27,53,.509,4,14,.286,9,13,.692,7,31,15,5,4,15,18
W,82,68,20,49,.408,6,20,.300,36,39,.923,5,37,11,9,3,10,21,21,51,.412,9,18,.500,17,31,.548,5,29,16,5,3,15,32
W,95,56,27,55,.491,6,20,.300,35,47,.745,12,34,15,19,8,8,19,17,51,.333,5,17,.294,17,25,.680,5,27,10,5,1,22,31
L,56,75,22,58,.379,9,29,.310,3,6,.500,5,26,13,6,2,11,18,30,60,.500,2,14,.143,13,19,.684,12,40,14,3,4,10,11
L (1 OT),68,71,26,55,.473,7,25,.280,9,12,.750,4,30,14,9,2,14,19,25,55,.455,13,31,.419,8,17,.471,8,34,16,10,2,16,15
W,76,67,25,53,.472,13,35,.371,13,15,.867,3,18,18,7,0,9,20,22,38,.579,9,16,.563,14,21,.667,5,27,18,5,0,22,17
L,61,86,24,58,.414,4,19,.211,9,9,1.000,7,18,6,7,2,9,26,26,43,.605,9,15,.600,25,33,.758,7,32,17,4,1,11,10
W,84,73,28,50,.560,13,28,.464,15,27,.556,4,17,21,7,0,9,21,24,49,.490,3,15,.200,22,30,.733,9,30,15,8,2,18,21
W,90,68,37,63,.587,11,21,.524,5,12,.417,9,28,16,8,2,6,23,20,45,.444,5,15,.333,23,30,.767,6,23,10,4,4,13,13
W,100,81,34,57,.596,16,32,.500,16,21,.762,6,20,18,12,4,10,30,20,38,.526,4,11,.364,37,44,.841,3,21,12,7,2,17,17
L,79,85,27,52,.519,5,17,.294,20,28,.714,5,22,10,7,0,12,25,29,50,.580,7,17,.412,20,31,.645,10,33,16,6,4,19,24
L,64,77,26,61,.426,6,21,.286,6,8,.750,7,25,14,4,2,10,19,26,51,.510,6,18,.333,19,28,.679,10,38,13,5,7,12,14
W,76,65,24,54,.444,9,27,.333,19,23,.826,6,19,16,10,3,9,19,18,41,.439,4,12,.333,25,27,.926,7,31,10,5,7,20,24
W,74,63,27,52,.519,8,26,.308,12,19,.632,4,20,15,11,2,9,22,18,48,.375,9,30,.300,18,26,.692,11,34,12,2,1,19,21
W,60,56,14,38,.368,5,15,.333,27,31,.871,6,23,8,7,0,11,19,18,32,.563,4,11,.364,16,24,.667,0,16,11,4,4,14,22
W,94,78,29,53,.547,13,25,.520,23,28,.821,9,25,10,6,3,10,20,27,49,.551,9,17,.529,15,24,.625,9,24,8,7,4,16,22
L,81,84,25,57,.439,10,28,.357,21,26,.808,7,26,13,7,1,14,25,26,50,.520,9,24,.375,23,31,.742,5,31,13,8,3,17,22
W,89,66,32,50,.640,10,22,.455,15,19,.789,6,22,20,6,1,12,20,21,47,.447,4,17,.235,20,28,.714,11,24,10,6,0,16,15
W,79,78,21,48,.438,8,17,.471,29,36,.806,4,21,14,9,0,14,22,28,50,.560,4,9,.444,18,25,.720,5,24,15,6,7,16,26
W,74,63,26,63,.413,6,19,.316,16,25,.640,12,22,12,8,3,5,14,20,37,.541,6,14,.429,17,21,.810,8,32,12,3,6,24,22
L,79,86,25,54,.463,7,16,.438,22,32,.688,6,20,12,8,0,8,26,28,48,.583,5,12,.417,25,31,.806,7,33,13,5,3,16,23
L,66,72,20,49,.408,7,18,.389,19,25,.760,6,21,10,7,2,16,21,24,43,.558,4,13,.308,20,30,.667,9,27,18,8,7,19,17
W,86,65,31,48,.646,11,21,.524,13,14,.929,1,20,24,8,4,16,22,21,50,.420,5,17,.294,18,25,.720,7,23,14,12,0,18,12
W,96,75,33,57,.579,17,32,.531,13,20,.650,6,21,25,10,0,10,15,29,50,.580,3,12,.250,14,20,.700,7,26,13,6,1,20,18
W,74,67,24,47,.511,6,19,.316,20,26,.769,5,16,11,3,2,7,17,22,44,.500,7,15,.467,16,21,.762,8,23,13,3,2,15,22
W,70,66,22,51,.431,9,23,.391,17,24,.708,7,28,9,6,4,9,15,24,50,.480,7,17,.412,11,17,.647,6,29,14,3,3,12,18
W,84,76,24,46,.522,10,20,.500,26,34,.765,6,26,11,9,2,11,21,24,51,.471,10,22,.455,18,27,.667,10,28,16,8,7,13,23
W,86,83,32,54,.593,6,20,.300,16,21,.762,3,17,16,12,2,14,24,23,50,.460,9,28,.321,28,34,.824,13,33,10,8,4,19,21
W,79,73,23,45,.511,11,22,.500,22,29,.759,2,19,17,8,3,9,21,23,50,.460,8,24,.333,19,23,.826,8,26,16,4,4,11,22
