W,82,72,29,63,.460,6,17,.353,18,21,.857,11,37,18,5,6,12,20,25,60,.417,5,14,.357,17,21,.810,4,21,8,5,5,9,22
W,79,37,30,66,.455,4,13,.308,15,21,.714,15,35,14,19,5,7,15,12,43,.279,2,15,.133,11,14,.786,10,29,4,3,1,28,16
W,76,44,23,54,.426,2,17,.118,28,38,.737,17,39,13,12,8,12,19,15,48,.313,0,10,.000,14,18,.778,7,26,4,6,1,18,27
W,86,68,32,56,.571,3,10,.300,19,26,.731,13,30,17,11,11,16,19,25,49,.510,2,13,.154,16,23,.696,9,21,7,13,5,19,21
L,62,70,23,62,.371,7,23,.304,9,13,.692,9,29,13,10,3,10,17,24,53,.453,8,19,.421,14,19,.737,13,44,12,2,6,15,11
W,68,60,23,49,.469,1,3,.333,21,28,.750,12,36,13,5,5,12,18,20,47,.426,4,18,.222,16,21,.762,4,21,19,8,5,10,27
W,76,64,25,63,.397,5,15,.333,21,25,.840,19,40,12,7,2,10,12,25,53,.472,5,16,.313,9,11,.818,8,26,15,6,9,16,21
W,71,50,27,55,.491,8,17,.471,9,10,.900,9,42,23,9,7,21,21,14,56,.250,2,10,.200,20,26,.769,6,25,8,10,2,14,17
W,72,64,26,46,.565,3,7,.429,17,27,.630,5,26,11,3,3,13,19,24,52,.462,4,12,.333,12,23,.522,7,27,12,6,4,9,20
W (1 OT),79,68,26,62,.419,6,16,.375,21,27,.778,10,33,12,11,3,10,18,25,63,.397,6,24,.250,12,20,.600,10,31,12,7,0,15,23
W,74,68,22,46,.478,8,14,.571,22,35,.629,6,25,14,6,7,10,23,22,56,.393,8,17,.471,16,24,.667,10,31,7,4,4,11,25
W,94,86,30,53,.566,9,18,.500,25,35,.714,8,33,24,9,5,14,18,33,69,.478,7,17,.412,13,20,.650,14,33,14,7,3,11,22
W,73,58,24,48,.500,2,9,.222,23,28,.821,7,32,12,6,6,10,17,20,50,.400,6,20,.300,12,18,.667,4,20,9,4,3,9,22
W,69,54,22,46,.478,4,10,.400,21,28,.750,12,35,15,8,3,12,17,19,46,.413,6,19,.316,10,13,.769,6,19,10,5,0,15,21
L,56,61,20,56,.357,9,22,.409,7,10,.700,9,29,12,9,3,13,20,18,45,.400,8,14,.571,17,25,.680,7,32,10,8,9,15,16
W,61,45,20,45,.444,2,8,.250,19,24,.792,4,18,10,6,4,8,14,17,45,.378,2,11,.182,9,11,.818,9,29,6,2,3,18,21
L,53,68,14,61,.230,2,12,.167,23,34,.676,18,37,6,7,7,7,21,23,49,.469,8,15,.533,14,20,.700,6,37,13,3,12,13,20
W,80,50,29,44,.659,10,14,.714,12,14,.857,5,31,16,6,7,22,20,20,53,.377,3,9,.333,7,16,.438,7,19,10,9,0,17,15
W,82,76,28,51,.549,6,13,.462,20,33,.606,8,32,14,9,7,12,20,28,55,.509,10,26,.385,10,20,.500,7,26,17,7,1,16,24
W,80,50,21,42,.500,12,20,.600,26,33,.788,4,32,15,8,2,13,15,21,51,.412,1,7,.143,7,15,.467,2,16,9,7,1,12,21
W,52,45,18,56,.321,4,18,.222,12,20,.600,11,35,12,5,8,9,17,15,55,.273,2,16,.125,13,17,.765,13,38,5,6,3,15,22
L,67,74,23,59,.390,7,21,.333,14,25,.560,10,22,12,5,6,9,25,22,43,.512,6,10,.600,24,29,.828,8,34,13,4,4,19,25
W (2 OT),88,84,26,57,.456,7,20,.350,29,39,.744,8,29,13,6,6,8,21,28,59,.475,7,22,.318,21,24,.875,7,31,17,5,5,11,28
W,67,44,27,45,.600,8,16,.500,5,10,.500,6,26,16,10,1,9,8,17,47,.362,7,19,.368,3,5,.600,9,25,11,4,0,16,13
W,83,63,26,52,.500,4,13,.308,27,35,.771,8,25,17,13,3,8,18,22,46,.478,4,14,.286,15,21,.714,9,25,12,4,1,20,26
W,59,47,22,50,.440,5,13,.385,10,12,.833,4,30,12,7,5,13,13,18,53,.340,8,24,.333,3,10,.300,7,30,12,9,4,14,17
W,72,47,23,45,.511,8,18,.444,18,21,.857,7,26,16,8,3,10,13,18,46,.391,5,14,.357,6,10,.600,5,17,8,4,5,11,17
W,80,47,27,45,.600,8,13,.615,18,20,.900,2,24,17,6,3,9,14,15,44,.341,5,15,.333,12,15,.800,5,18,8,2,0,14,19
W,70,58,25,44,.568,6,16,.375,14,32,.438,5,28,13,5,5,11,22,18,50,.360,0,14,.000,22,27,.815,5,31,9,5,2,11,26
W (1 OT),98,93,34,73,.466,6,18,.333,24,29,.828,12,39,20,4,5,7,20,28,64,.438,12,22,.545,25,29,.862,8,33,19,5,9,9,21
