L,61,74,19,48,.396,3,14,.214,20,28,.714,9,26,7,6,3,15,29,22,56,.393,7,21,.333,23,31,.742,16,36,13,8,4,12,22
W,98,47,37,62,.597,7,13,.538,17,22,.773,13,44,21,12,11,17,14,17,65,.262,3,21,.143,10,17,.588,11,23,8,12,2,19,16
W,62,43,21,52,.404,4,14,.286,16,22,.727,13,36,10,9,3,7,13,15,44,.341,8,21,.381,5,8,.625,6,26,13,3,3,14,15
W (1 OT),82,72,19,47,.404,3,16,.188,41,45,.911,9,32,7,5,4,14,26,23,57,.404,3,20,.150,23,33,.697,12,29,9,6,2,11,31
W (1 OT),76,70,24,55,.436,5,19,.263,23,31,.742,12,37,17,8,5,14,22,23,62,.371,5,22,.227,19,30,.633,12,32,5,6,2,12,26
W,101,46,39,74,.527,16,37,.432,7,10,.700,18,48,28,9,2,13,10,16,50,.320,4,19,.211,10,15,.667,3,18,4,8,2,18,7
W (1 OT),76,69,31,60,.517,5,13,.385,9,19,.474,6,32,19,9,0,12,18,29,65,.446,3,19,.158,8,18,.444,14,39,13,4,4,15,15
L,65,71,25,63,.397,3,21,.143,12,16,.750,14,35,14,8,4,11,25,20,48,.417,5,9,.556,26,33,.788,6,32,11,8,3,12,12
W,72,66,23,49,.469,7,16,.438,19,28,.679,9,28,17,9,6,13,15,24,53,.453,10,25,.400,8,12,.667,9,25,16,3,4,18,21
L,66,77,23,45,.511,10,24,.417,10,17,.588,4,17,13,5,1,13,25,24,50,.480,7,23,.304,22,34,.647,11,32,16,6,2,8,14
L,56,70,18,55,.327,2,15,.133,18,24,.750,7,23,11,8,2,7,18,22,49,.449,8,19,.421,18,22,.818,9,38,13,0,8,16,20
W,74,61,27,55,.491,6,14,.429,14,22,.636,10,39,19,4,6,22,27,17,63,.270,5,22,.227,22,29,.759,12,34,7,9,5,15,21
L,60,63,18,54,.333,2,9,.222,22,24,.917,14,33,7,8,0,13,13,23,55,.418,9,26,.346,8,13,.615,14,33,9,7,5,12,16
W,64,49,23,49,.469,4,12,.333,14,22,.636,12,33,16,12,4,16,20,16,47,.340,5,15,.333,12,17,.706,11,27,6,9,6,18,20
W,71,55,27,59,.458,3,18,.167,14,19,.737,8,29,19,14,3,12,20,16,43,.372,7,18,.389,16,23,.696,5,26,8,6,3,21,17
W,62,52,24,48,.500,3,12,.250,11,21,.524,9,26,14,5,4,6,18,16,44,.364,4,13,.308,16,22,.727,13,31,9,1,4,13,21
W,84,44,30,65,.462,5,16,.313,19,27,.704,12,37,17,8,8,11,22,10,44,.227,4,19,.211,20,26,.769,6,29,5,3,9,19,26
W,87,63,32,62,.516,9,16,.563,14,16,.875,10,39,20,7,9,11,18,20,60,.333,8,24,.333,15,19,.789,9,30,12,5,3,10,14
W,53,52,19,53,.358,1,9,.111,14,23,.609,14,32,9,11,0,14,19,18,44,.409,4,17,.235,12,20,.600,8,31,10,9,5,19,20
W,79,65,26,54,.481,8,18,.444,19,33,.576,9,32,13,8,4,11,22,20,49,.408,6,17,.353,19,29,.655,7,27,13,3,6,17,21
W,66,62,22,47,.468,5,19,.263,17,25,.680,9,22,14,4,2,9,17,21,43,.488,6,15,.400,14,22,.636,8,28,14,2,2,13,18
W,77,54,26,42,.619,9,14,.643,16,20,.800,3,19,18,10,7,10,18,17,42,.405,6,16,.375,14,18,.778,7,19,7,3,2,20,15
W,92,49,32,60,.533,9,18,.500,19,24,.792,8,33,18,11,3,7,16,19,51,.373,4,21,.190,7,12,.583,7,26,11,4,5,18,21
W,67,53,25,63,.397,4,15,.267,13,18,.722,14,34,14,10,6,8,16,20,48,.417,4,15,.267,9,21,.429,13,35,11,7,6,21,13
W,76,62,19,47,.404,3,15,.200,35,41,.854,13,30,13,4,5,11,24,19,44,.432,3,10,.300,21,27,.778,7,23,4,7,5,12,27
W,73,55,16,40,.400,4,14,.286,37,51,.725,3,27,12,8,4,7,27,14,47,.298,4,20,.200,23,33,.697,9,35,5,3,7,16,32
W,81,62,24,47,.511,3,10,.300,30,38,.789,9,35,14,11,8,21,28,15,48,.313,3,22,.136,29,36,.806,4,18,7,13,4,19,25
W,86,44,30,62,.484,5,19,.263,21,28,.750,15,43,18,12,4,5,18,15,53,.283,2,16,.125,12,16,.750,11,30,5,3,2,18,20
W (1 OT),64,57,21,55,.382,3,18,.167,19,28,.679,10,29,12,9,7,9,16,20,50,.400,7,15,.467,10,17,.588,8,33,6,4,6,19,21
W,76,70,27,51,.529,5,12,.417,17,30,.567,8,25,14,1,2,5,17,23,54,.426,12,19,.632,12,15,.800,10,31,14,4,7,13,21
