W,93,49,35,66,.530,10,19,.526,13,21,.619,14,40,16,9,6,5,17,15,44,.341,3,9,.333,16,20,.800,0,21,5,0,1,17,23
L,65,78,26,58,.448,1,13,.077,12,18,.667,10,21,9,6,5,5,23,25,47,.532,6,13,.462,22,30,.733,11,37,16,2,6,9,19
L,69,70,21,45,.467,9,21,.429,18,24,.750,8,22,17,7,5,17,20,26,50,.520,5,10,.500,13,22,.591,9,25,11,11,1,15,22
W,83,74,31,53,.585,6,18,.333,15,21,.714,6,27,13,10,5,13,23,23,53,.434,4,23,.174,24,34,.706,10,29,7,9,0,13,19
L,77,95,25,61,.410,1,12,.083,26,36,.722,10,34,4,6,2,11,30,28,55,.509,6,16,.375,33,41,.805,7,34,14,7,4,9,27
W,91,85,27,46,.587,5,10,.500,32,36,.889,7,33,13,4,4,15,22,27,57,.474,12,26,.462,19,28,.679,8,21,16,6,3,7,25
W,87,70,32,52,.615,4,15,.267,19,25,.760,7,28,19,4,5,10,21,23,50,.460,7,15,.467,17,23,.739,7,24,10,4,0,10,18
W,86,43,31,54,.574,9,18,.500,15,20,.750,13,39,12,7,5,9,9,15,51,.294,8,28,.286,5,10,.500,11,24,10,6,2,13,14
W,66,62,26,60,.433,3,11,.273,11,15,.733,14,38,9,8,5,17,14,23,56,.411,6,23,.261,10,12,.833,9,25,11,11,3,13,17
W,73,69,27,53,.509,5,10,.500,14,19,.737,4,32,13,5,5,8,19,20,56,.357,9,29,.310,20,25,.800,8,30,16,6,2,8,15
L,62,79,22,52,.423,5,17,.294,13,20,.650,5,24,8,1,2,7,22,27,51,.529,10,20,.500,15,21,.714,8,33,16,5,1,10,16
W,85,66,27,51,.529,5,17,.294,26,35,.743,10,37,13,6,3,10,19,25,63,.397,5,22,.227,11,17,.647,10,26,7,4,1,11,24
W,90,82,29,52,.558,4,12,.333,28,37,.757,7,27,11,7,4,5,18,29,59,.492,5,12,.417,19,26,.731,11,33,8,1,3,11,26
W,74,70,27,51,.529,5,12,.417,15,18,.833,7,24,14,9,5,8,15,21,47,.447,11,24,.458,17,20,.850,8,22,15,2,1,11,13
W,96,45,36,62,.581,9,20,.450,15,22,.682,11,37,15,12,6,12,13,18,53,.340,4,15,.267,5,7,.714,7,25,9,8,1,21,19
L,71,82,29,57,.509,5,18,.278,8,11,.727,10,26,9,4,4,15,20,27,52,.519,8,17,.471,20,21,.952,5,23,12,11,2,10,11
W,87,64,32,63,.508,8,14,.571,15,16,.938,9,36,14,5,7,5,16,23,54,.426,4,12,.333,14,17,.824,4,24,9,1,4,8,13
W,91,69,32,59,.542,8,19,.421,19,23,.826,10,36,17,5,11,13,18,24,60,.400,9,21,.429,12,16,.750,6,26,13,5,1,15,18
W,65,52,24,54,.444,3,12,.250,14,17,.824,12,35,11,4,6,6,15,18,43,.419,4,10,.400,12,15,.800,3,21,11,2,1,8,13
W,85,77,27,48,.563,8,15,.533,23,28,.821,4,32,12,5,0,10,18,28,56,.500,10,24,.417,11,17,.647,3,24,18,7,0,8,21
W,66,63,22,56,.393,6,13,.462,16,21,.762,7,26,9,9,7,6,18,21,47,.447,6,12,.500,15,21,.714,8,35,8,4,6,13,17
L,63,67,21,43,.488,6,14,.429,15,25,.600,9,22,8,9,1,12,19,19,37,.514,9,16,.563,20,22,.909,4,19,12,6,4,10,21
W,66,60,29,56,.518,0,10,.000,8,15,.533,8,26,8,9,4,4,12,21,50,.420,7,16,.438,11,11,1.000,8,27,8,3,0,14,16
W,69,58,26,54,.481,5,19,.263,12,20,.600,10,30,15,10,1,10,16,18,46,.391,6,16,.375,16,21,.762,8,27,12,5,1,16,16
W,56,52,18,45,.400,3,16,.188,17,19,.895,7,28,6,10,4,13,13,20,47,.426,5,14,.357,7,12,.583,6,25,12,7,2,17,18
W,75,59,29,59,.492,5,17,.294,12,15,.800,8,42,12,5,6,15,18,19,60,.317,3,18,.167,18,21,.857,7,22,14,8,2,12,14
W,74,59,26,48,.542,4,11,.364,18,24,.750,4,31,15,4,3,9,16,19,58,.328,5,19,.263,16,20,.800,9,30,9,5,1,7,20
W,82,54,30,58,.517,11,19,.579,11,18,.611,12,36,13,8,5,9,19,15,48,.313,4,11,.364,20,24,.833,6,25,5,3,0,14,13
W,78,68,27,43,.628,2,8,.250,22,27,.815,5,30,13,4,6,8,16,22,48,.458,15,32,.469,9,17,.529,4,17,14,4,1,7,24
