W,72,68,26,54,.481,5,15,.333,15,21,.714,9,38,11,3,6,10,10,27,63,.429,6,21,.286,8,9,.889,6,29,14,2,0,6,16
L,103,112,34,74,.459,9,27,.333,26,34,.765,14,34,14,5,4,16,28,38,71,.535,8,15,.533,28,43,.651,12,37,23,8,3,11,24
W,71,58,24,47,.511,5,10,.500,18,26,.692,8,33,11,6,6,14,16,21,54,.389,10,28,.357,6,11,.545,9,30,12,4,3,16,20
W,66,57,20,45,.444,3,7,.429,23,34,.676,6,30,9,9,4,11,20,18,43,.419,6,18,.333,15,25,.600,5,27,16,6,9,18,26
W,97,71,37,78,.474,13,26,.500,10,15,.667,18,45,21,5,8,9,20,23,65,.354,9,20,.450,16,17,.941,6,24,16,4,2,10,14
W,86,76,30,60,.500,7,21,.333,19,28,.679,10,39,15,4,3,12,20,26,63,.413,6,19,.316,18,27,.667,14,34,15,8,3,10,23
L,67,88,24,48,.500,5,15,.333,14,20,.700,5,24,13,3,5,14,22,25,55,.455,8,17,.471,30,34,.882,7,27,15,9,2,5,20
W,92,60,34,57,.596,7,14,.500,17,22,.773,6,36,15,9,6,13,17,22,65,.338,6,25,.240,10,13,.769,10,28,8,4,0,14,20
W,83,56,31,53,.585,11,20,.550,10,18,.556,4,29,22,6,6,12,17,20,58,.345,7,20,.350,9,12,.750,9,29,12,4,0,14,17
W,53,51,21,60,.350,6,15,.400,5,12,.417,8,37,11,4,9,7,12,19,60,.317,6,22,.273,7,10,.700,4,30,11,4,8,8,14
L,65,68,22,48,.458,4,10,.400,17,20,.850,5,28,9,2,4,12,19,21,52,.404,8,27,.296,18,26,.692,7,27,16,6,1,8,22
W,79,62,25,43,.581,5,10,.500,24,31,.774,2,32,13,3,6,10,14,23,65,.354,5,20,.250,11,16,.688,11,28,11,5,1,8,25
L,62,69,24,58,.414,4,14,.286,10,20,.500,11,32,7,4,6,11,20,24,57,.421,5,11,.455,16,22,.727,11,34,10,6,1,12,19
L,72,81,24,58,.414,2,8,.250,22,25,.880,8,31,13,4,5,10,26,25,53,.472,8,15,.533,23,32,.719,8,36,14,5,5,12,22
W,82,80,30,57,.526,6,14,.429,16,25,.640,9,32,16,7,2,7,19,24,46,.522,12,22,.545,20,26,.769,4,23,18,3,4,15,21
W,80,48,30,52,.577,8,20,.400,12,20,.600,3,30,17,4,2,9,12,20,54,.370,6,19,.316,2,5,.400,6,23,8,6,3,11,17
W,79,67,26,48,.542,3,7,.429,24,34,.706,7,30,13,1,5,7,13,28,65,.431,5,20,.250,6,9,.667,11,33,15,4,1,5,22
L,74,91,22,57,.386,9,24,.375,21,29,.724,16,39,14,3,2,19,16,34,65,.523,5,13,.385,18,25,.720,10,29,23,15,5,6,22
W (1 OT),79,71,25,61,.410,9,23,.391,20,28,.714,10,37,15,11,3,12,24,24,57,.421,4,13,.308,19,30,.633,9,36,12,8,3,15,26
L,57,60,21,56,.375,3,12,.250,12,18,.667,7,33,5,1,2,7,23,18,50,.360,6,14,.429,18,29,.621,5,33,12,4,4,8,18
W,76,70,24,61,.393,6,16,.375,22,29,.759,12,35,14,6,5,9,18,21,51,.412,11,27,.407,17,25,.680,6,31,9,2,2,13,24
W,80,69,23,53,.434,6,14,.429,28,35,.800,5,28,12,7,2,9,18,26,63,.413,5,12,.417,12,21,.571,12,35,13,6,4,13,24
L,60,64,23,57,.404,3,16,.188,11,18,.611,7,24,6,6,2,9,20,21,46,.457,7,18,.389,15,19,.789,6,31,14,3,3,16,16
W,69,56,18,41,.439,6,16,.375,27,36,.750,6,32,8,7,5,12,19,16,51,.314,9,29,.310,15,18,.833,9,29,9,3,2,9,25
W,80,59,28,69,.406,2,19,.105,22,36,.611,15,39,10,9,6,7,15,21,58,.362,4,17,.235,13,17,.765,7,37,8,3,2,18,29
W,83,74,28,45,.622,11,20,.550,16,24,.667,6,23,17,5,6,14,14,26,58,.448,6,19,.316,16,21,.762,9,21,16,10,0,12,21
L,64,76,21,53,.396,6,19,.316,16,25,.640,13,32,4,7,6,15,17,27,49,.551,10,19,.526,12,16,.750,5,29,18,7,2,13,22
L,66,79,22,53,.415,4,10,.400,18,21,.857,5,30,8,3,2,10,21,26,59,.441,6,14,.429,21,29,.724,10,37,15,4,6,8,17
L,56,59,21,57,.368,4,17,.235,10,17,.588,12,29,8,3,4,12,22,19,49,.388,4,17,.235,17,25,.680,10,34,7,5,1,12,18
W,61,60,24,50,.480,4,13,.308,9,18,.500,16,26,10,8,2,15,15,24,44,.545,7,17,.412,5,6,.833,7,22,15,4,1,17,19
