L,63,67,24,57,.421,8,19,.421,7,19,.368,14,33,13,6,7,11,25,26,54,.481,2,8,.250,13,24,.542,11,35,12,4,5,14,19
W,74,65,20,57,.351,5,13,.385,29,36,.806,14,38,10,6,1,4,13,25,55,.455,4,14,.286,11,16,.688,7,30,11,2,6,10,23
W,86,60,30,53,.566,7,13,.538,19,28,.679,12,37,11,8,6,14,20,19,55,.345,8,18,.444,14,22,.636,9,25,12,6,3,12,25
W,88,67,31,56,.554,4,9,.444,22,28,.786,17,34,15,7,7,7,19,20,46,.435,3,15,.200,24,26,.923,8,19,10,4,5,12,21
L,70,78,22,63,.349,3,21,.143,23,39,.590,21,40,8,6,3,15,25,29,50,.580,3,10,.300,17,26,.654,5,22,13,3,3,12,27
W,64,49,25,56,.446,2,14,.143,12,18,.667,13,35,9,4,5,8,13,21,52,.404,4,11,.364,3,10,.300,9,24,8,5,1,13,21
W,82,63,25,47,.532,4,11,.364,28,36,.778,9,31,12,6,4,7,23,21,50,.420,5,11,.455,16,24,.667,9,25,12,3,3,9,27
W,84,63,31,66,.470,6,16,.375,16,25,.640,18,40,12,4,6,5,9,25,53,.472,10,20,.500,3,12,.250,8,27,8,2,4,14,19
L,61,70,20,52,.385,6,20,.300,15,24,.625,8,28,11,3,2,8,21,23,53,.434,6,16,.375,18,24,.750,5,31,13,6,6,5,16
L,58,65,20,68,.294,3,24,.125,15,20,.750,18,39,5,5,7,10,19,24,54,.444,3,6,.500,14,19,.737,10,40,8,4,12,16,20
W,82,67,32,61,.525,6,12,.500,12,23,.522,17,47,20,3,11,15,19,25,61,.410,4,13,.308,13,20,.650,5,23,5,9,0,9,24
W,87,52,27,54,.500,11,18,.611,22,25,.880,8,34,18,7,3,6,18,18,55,.327,2,12,.167,14,17,.824,12,32,8,2,5,12,19
W,98,51,35,61,.574,11,23,.478,17,22,.773,12,40,30,7,9,6,13,14,53,.264,7,20,.350,16,20,.800,9,24,11,3,3,14,16
W,68,50,24,52,.462,8,15,.533,12,15,.800,12,37,12,6,2,16,9,22,60,.367,2,14,.143,4,7,.571,8,25,11,9,9,9,15
L,56,57,18,44,.409,5,17,.294,15,21,.714,10,34,11,2,5,15,21,20,50,.400,8,15,.533,9,18,.500,5,23,12,8,4,8,19
W,78,67,26,51,.510,3,9,.333,23,30,.767,7,39,14,6,2,14,16,25,61,.410,8,17,.471,9,14,.643,5,26,8,4,3,12,25
L,66,74,24,58,.414,2,13,.154,16,23,.696,18,35,10,4,1,12,20,22,50,.440,7,16,.438,23,24,.958,6,19,11,6,4,8,17
W,81,74,22,54,.407,7,19,.368,30,38,.789,13,39,13,6,10,15,15,28,65,.431,7,17,.412,11,17,.647,13,35,14,10,4,12,29
L,41,67,15,56,.268,1,19,.053,10,14,.714,15,38,6,1,1,12,19,26,54,.481,5,16,.313,10,13,.769,6,31,8,4,1,6,17
W,86,70,30,61,.492,11,20,.550,15,17,.882,12,42,20,4,8,12,15,26,63,.413,10,28,.357,8,12,.667,7,22,11,7,2,9,17
W,76,59,23,48,.479,9,20,.450,21,26,.808,9,30,13,2,2,5,15,20,51,.392,3,15,.200,16,22,.727,9,25,9,1,4,7,21
L,60,64,23,61,.377,7,23,.304,7,11,.636,16,37,10,2,3,8,15,24,46,.522,6,15,.400,10,17,.588,5,21,14,3,6,6,16
W,72,53,28,53,.528,7,16,.438,9,16,.563,10,33,15,10,5,12,14,20,56,.357,3,14,.214,10,13,.769,13,30,8,9,4,14,17
L,58,67,22,48,.458,5,14,.357,9,17,.529,9,32,8,7,9,15,18,21,58,.362,8,21,.381,17,22,.773,16,32,10,10,2,12,17
L,70,75,22,55,.400,4,21,.190,22,29,.759,12,30,9,3,4,11,22,26,46,.565,3,5,.600,20,26,.769,7,28,8,6,4,11,22
W,67,48,25,53,.472,6,18,.333,11,18,.611,8,31,8,7,7,7,11,17,50,.340,6,13,.462,8,11,.727,8,26,8,4,6,12,18
L (1 OT),65,68,23,54,.426,3,15,.200,16,24,.667,9,37,14,5,4,13,15,26,55,.473,7,17,.412,9,13,.692,2,28,12,7,3,8,21
W,75,68,26,66,.394,6,21,.286,17,20,.850,15,40,12,6,3,11,20,24,56,.429,3,14,.214,17,24,.708,6,29,10,7,3,11,15
W,76,38,26,49,.531,10,21,.476,14,22,.636,10,35,16,9,6,8,17,11,49,.224,3,15,.200,13,18,.722,11,26,6,4,2,13,16
W,82,54,28,57,.491,8,23,.348,18,20,.900,7,40,17,5,5,7,17,20,54,.370,6,17,.353,8,14,.571,4,21,12,4,2,7,17
W,72,45,29,66,.439,7,24,.292,7,11,.636,16,43,18,4,5,7,14,15,47,.319,2,17,.118,13,14,.929,5,27,5,5,4,10,14
