W,72,67,29,63,.460,5,14,.357,9,13,.692,7,36,16,8,4,11,15,24,63,.381,5,23,.217,14,20,.700,10,37,11,4,0,11,16
W,91,60,32,61,.525,5,21,.238,22,29,.759,12,46,21,11,5,12,14,20,65,.308,6,25,.240,14,15,.933,9,24,10,9,3,14,20
W,86,50,30,55,.545,6,12,.500,20,29,.690,9,36,19,16,2,10,9,21,62,.339,7,30,.233,1,2,.500,11,26,7,8,0,17,19
W,81,70,30,61,.492,6,18,.333,15,19,.789,11,36,23,9,6,9,18,23,62,.371,10,28,.357,14,21,.667,12,33,15,6,2,13,16
W,106,65,44,70,.629,4,9,.444,14,21,.667,10,45,23,11,7,11,12,26,74,.351,9,30,.300,4,11,.364,7,21,11,8,2,15,16
W,105,84,34,56,.607,10,20,.500,27,29,.931,8,31,21,10,3,13,23,27,60,.450,11,24,.458,19,25,.760,12,25,14,6,1,16,21
W,95,79,35,55,.636,13,17,.765,12,20,.600,5,26,18,10,1,10,23,23,50,.460,12,32,.375,21,27,.778,5,24,14,1,0,14,16
W,89,76,28,53,.528,6,17,.353,27,36,.750,9,28,19,13,3,7,12,28,53,.528,13,26,.500,7,12,.583,8,28,19,4,1,16,23
L,71,80,23,61,.377,5,20,.250,20,26,.769,10,28,9,13,1,10,22,23,55,.418,10,26,.385,24,32,.750,16,44,12,4,5,18,17
W,95,71,34,53,.642,7,15,.467,20,28,.714,6,30,20,13,4,8,21,25,56,.446,9,26,.346,12,22,.545,12,28,12,5,1,16,20
L,63,80,24,60,.400,8,22,.364,7,13,.538,4,29,12,9,2,13,13,31,64,.484,11,32,.344,7,11,.636,9,38,21,8,2,12,14
W,83,60,31,63,.492,3,9,.333,18,22,.818,11,40,20,7,2,10,16,22,56,.393,4,22,.182,12,20,.600,8,28,11,6,2,13,16
W,75,67,28,59,.475,3,9,.333,16,20,.800,10,34,18,9,4,13,15,23,52,.442,9,22,.409,12,17,.706,3,25,7,10,3,16,20
W,107,73,41,71,.577,11,23,.478,14,18,.778,9,39,22,11,1,10,21,26,62,.419,5,19,.263,16,30,.533,9,33,15,6,7,17,19
L,75,79,26,65,.400,4,13,.308,19,26,.731,15,35,16,12,3,9,24,28,52,.538,6,18,.333,17,26,.654,11,37,18,4,2,17,21
W,87,72,27,59,.458,7,12,.583,26,35,.743,9,40,12,8,2,10,21,24,56,.429,10,25,.400,14,23,.609,4,28,10,5,3,14,26
W,69,56,26,66,.394,6,25,.240,11,18,.611,14,40,12,12,2,11,15,20,50,.400,5,17,.294,11,19,.579,7,37,11,5,5,17,17
L,69,74,27,63,.429,9,21,.429,6,8,.750,6,31,15,10,2,15,19,25,53,.472,9,22,.409,15,17,.882,2,28,17,9,3,15,13
W,91,74,34,65,.523,5,13,.385,18,25,.720,10,29,23,15,5,6,22,22,57,.386,9,24,.375,21,29,.724,16,39,14,3,2,19,16
W,76,64,26,58,.448,5,9,.556,19,24,.792,8,34,14,5,5,12,17,20,58,.345,4,21,.190,20,27,.741,10,36,10,4,4,11,20
W,70,68,23,51,.451,3,12,.250,21,25,.840,9,27,14,9,3,16,18,21,53,.396,8,24,.333,18,19,.947,7,21,12,8,3,15,21
L,67,71,22,57,.386,6,21,.286,17,24,.708,9,31,11,9,4,13,21,24,50,.480,8,18,.444,15,26,.577,10,34,17,7,4,18,16
W,83,73,24,60,.400,10,20,.500,25,29,.862,10,34,18,8,3,9,13,27,58,.466,8,24,.333,11,21,.524,8,33,15,5,6,15,20
W,92,74,35,62,.565,11,22,.500,11,12,.917,7,35,25,6,6,11,13,28,61,.459,7,23,.304,11,15,.733,5,23,17,7,2,12,13
W,80,66,31,58,.534,7,13,.538,11,17,.647,11,36,16,7,3,9,17,23,55,.418,7,22,.318,13,19,.684,7,27,15,6,4,12,17
W,86,66,33,58,.569,8,16,.500,12,22,.545,7,26,21,8,2,6,17,24,55,.436,7,18,.389,11,18,.611,8,32,17,3,3,13,20
L,74,83,26,58,.448,6,19,.316,16,21,.762,9,21,16,10,0,12,21,28,45,.622,11,20,.550,16,24,.667,6,23,17,5,6,14,14
L (2 OT),83,87,26,66,.394,7,22,.318,24,31,.774,10,36,14,2,2,10,27,24,63,.381,10,28,.357,29,39,.744,13,45,15,6,2,11,23
W,74,69,24,59,.407,5,13,.385,21,23,.913,8,26,19,11,1,6,19,24,51,.471,7,21,.333,14,23,.609,8,33,14,1,3,16,20
W,91,82,32,59,.542,6,14,.429,21,27,.778,9,29,18,9,2,8,14,31,56,.554,9,19,.474,11,15,.733,5,26,16,4,0,13,18
L,55,73,18,54,.333,5,23,.217,14,20,.700,2,27,11,7,2,12,23,21,57,.368,10,29,.345,21,32,.656,14,44,14,3,5,10,17
