W,96,58,36,65,.554,9,20,.450,15,26,.577,13,45,26,14,4,16,21,20,63,.317,4,23,.174,14,21,.667,11,31,9,6,0,21,22
W,59,56,24,58,.414,5,14,.357,6,15,.400,4,24,7,9,2,13,27,18,46,.391,1,8,.125,19,33,.576,12,40,9,4,8,19,21
W,92,71,26,60,.433,6,17,.353,34,48,.708,19,42,13,19,3,14,24,23,48,.479,8,19,.421,17,25,.680,5,23,12,8,3,24,30
L,67,85,22,75,.293,5,23,.217,18,24,.750,15,32,7,14,4,14,25,29,54,.537,4,13,.308,23,31,.742,8,48,15,6,6,24,21
W,73,67,29,63,.460,7,26,.269,8,11,.727,14,35,10,7,5,9,10,28,56,.500,7,19,.368,4,9,.444,7,27,6,4,1,10,14
L,80,84,20,56,.357,6,18,.333,34,47,.723,13,28,9,15,4,17,29,23,41,.561,6,11,.545,32,37,.865,5,32,8,8,3,24,32
W,79,66,33,60,.550,6,22,.273,7,17,.412,13,31,19,11,6,10,22,23,46,.500,2,8,.250,18,25,.720,6,24,14,6,0,16,19
W,81,68,29,59,.492,7,18,.389,16,18,.889,5,30,12,15,3,15,16,25,56,.446,11,27,.407,7,13,.538,4,26,18,6,4,19,17
W (1 OT),71,68,25,55,.455,13,31,.419,8,17,.471,8,34,16,10,2,16,15,26,55,.473,7,25,.280,9,12,.750,4,30,14,9,2,14,19
W,69,48,27,72,.375,7,16,.438,8,13,.615,25,47,15,13,7,14,14,21,56,.375,3,12,.250,3,7,.429,13,34,11,7,7,21,18
L,68,77,24,65,.369,10,25,.400,10,12,.833,12,30,9,9,2,11,25,26,49,.531,6,19,.316,19,28,.679,10,37,11,6,4,15,15
W,72,57,21,56,.375,5,20,.250,25,34,.735,11,33,7,12,5,8,14,20,52,.385,7,17,.412,10,14,.714,11,38,12,2,2,19,26
W,82,52,30,70,.429,12,25,.480,10,20,.500,17,36,17,22,5,7,15,17,48,.354,9,20,.450,9,18,.500,13,39,9,3,4,27,20
W,69,50,27,65,.415,6,26,.231,9,12,.750,9,29,13,11,2,11,15,17,44,.386,3,18,.167,13,18,.722,5,28,10,3,4,23,13
W,81,63,25,53,.472,9,23,.391,22,28,.786,5,25,16,14,7,9,18,24,58,.414,3,18,.167,12,14,.857,12,37,13,6,3,20,22
W,71,57,20,59,.339,3,12,.250,28,39,.718,17,41,12,13,5,11,16,23,62,.371,2,11,.182,9,16,.563,13,37,7,6,3,18,27
L,66,76,25,68,.368,9,28,.321,7,16,.438,10,25,13,11,2,13,23,27,48,.563,2,10,.200,20,32,.625,9,43,14,8,8,19,14
W,80,65,30,68,.441,12,30,.400,8,18,.444,17,46,16,10,4,17,25,20,57,.351,3,18,.167,22,29,.759,8,34,8,10,2,16,21
W,80,66,30,61,.492,9,24,.375,11,13,.846,7,25,19,6,4,7,19,22,47,.468,7,14,.500,15,26,.577,11,32,10,1,4,17,14
W (2 OT),97,89,32,71,.451,8,21,.381,25,37,.676,12,40,15,5,3,15,22,30,65,.462,4,12,.333,25,33,.758,8,38,15,9,7,15,29
W,76,60,22,65,.338,9,28,.321,23,27,.852,16,41,11,11,3,11,17,22,59,.373,7,28,.250,9,18,.500,13,36,13,8,6,17,20
W,81,70,28,60,.467,6,18,.333,19,24,.792,11,36,9,8,9,7,25,24,53,.453,4,13,.308,18,29,.621,6,27,6,3,7,9,22
W,68,52,21,62,.339,5,13,.385,21,31,.677,17,41,11,13,7,11,19,18,52,.346,3,13,.231,13,19,.684,10,36,7,6,6,19,21
L,62,69,25,60,.417,4,14,.286,8,12,.667,7,30,12,9,2,10,19,25,57,.439,6,21,.286,13,20,.650,11,36,13,6,6,12,12
W,92,75,29,61,.475,13,25,.520,21,33,.636,11,34,16,14,2,17,21,29,55,.527,6,18,.333,11,20,.550,9,33,13,5,2,20,22
L,62,64,25,65,.385,2,16,.125,10,13,.769,11,34,7,9,6,12,25,22,49,.449,4,12,.333,16,27,.593,4,33,12,6,5,17,15
L,75,80,29,74,.392,7,25,.280,10,22,.455,14,44,18,9,5,17,19,30,70,.429,0,8,.000,20,27,.741,10,45,13,12,6,14,20
W,85,66,29,68,.426,10,22,.455,17,27,.630,21,52,17,8,1,15,20,22,58,.379,5,18,.278,17,25,.680,10,29,9,5,11,14,20
W,67,56,24,62,.387,3,16,.188,16,20,.800,14,33,8,12,10,6,16,21,49,.429,4,13,.308,10,11,.909,8,29,9,3,3,17,18
W,56,50,20,52,.385,8,20,.400,8,12,.667,7,34,13,7,4,14,15,18,57,.316,5,20,.250,9,9,1.000,10,35,11,7,3,15,12
W,86,67,29,57,.509,9,26,.346,19,25,.760,7,28,14,18,2,16,19,27,60,.450,4,14,.286,9,15,.600,12,33,12,9,2,24,21
