L,65,74,23,56,.411,6,15,.400,13,15,.867,6,33,13,7,7,16,15,28,67,.418,6,16,.375,12,15,.800,10,34,18,8,5,11,15
W,94,81,38,80,.475,6,17,.353,12,15,.800,16,47,23,8,3,7,9,30,75,.400,13,28,.464,8,11,.727,13,41,19,3,3,12,16
L (1 OT),71,73,19,53,.358,5,19,.263,28,47,.596,12,32,12,8,3,16,19,30,56,.536,4,9,.444,9,17,.529,9,39,12,5,9,24,30
W,58,50,18,51,.353,5,21,.238,17,21,.810,7,20,10,14,7,16,11,21,48,.438,1,8,.125,7,11,.636,10,35,7,8,9,26,21
L,43,72,18,51,.353,4,19,.211,3,8,.375,10,27,7,4,0,18,20,27,52,.519,5,18,.278,13,22,.591,8,29,14,8,5,10,15
L,47,56,19,45,.422,4,14,.286,5,7,.714,4,29,13,2,6,16,21,18,53,.340,7,23,.304,13,23,.565,14,36,13,7,3,8,13
L,76,88,26,68,.382,8,28,.286,16,22,.727,12,31,15,9,5,10,26,27,63,.429,7,22,.318,27,36,.750,12,39,19,6,4,12,17
W,58,48,21,54,.389,4,16,.250,12,19,.632,16,35,14,13,7,16,13,18,53,.340,4,17,.235,8,12,.667,13,35,9,8,3,21,21
L,74,78,27,53,.509,9,18,.500,11,19,.579,10,27,19,5,4,12,13,31,57,.544,5,17,.294,11,15,.733,11,28,16,7,7,11,16
W,79,71,24,58,.414,4,17,.235,27,35,.771,9,36,18,8,9,10,15,24,66,.364,10,26,.385,13,16,.813,7,32,11,5,0,14,24
L,70,79,29,65,.446,9,24,.375,3,4,.750,10,32,17,4,5,14,14,28,61,.459,7,14,.500,16,18,.889,8,31,15,9,7,10,9
L,67,83,22,60,.367,6,19,.316,17,27,.630,9,26,9,5,5,13,25,26,57,.456,6,16,.375,25,33,.758,13,39,12,6,4,13,25
L,58,89,18,59,.305,3,25,.120,19,28,.679,13,31,10,9,4,18,23,30,60,.500,7,19,.368,22,31,.710,13,41,19,8,5,18,21
W,54,49,17,41,.415,2,10,.200,18,22,.818,6,32,8,7,2,15,19,14,52,.269,8,26,.308,13,17,.765,14,35,12,4,3,14,22
W,66,57,24,54,.444,4,9,.444,14,19,.737,11,37,9,5,7,13,17,22,58,.379,5,22,.227,8,15,.533,11,27,9,3,1,11,19
W,70,53,23,53,.434,6,17,.353,18,21,.857,9,31,17,10,7,16,15,20,49,.408,3,13,.231,10,14,.714,6,27,12,7,3,21,22
L,71,74,29,50,.580,6,11,.545,7,10,.700,8,30,12,6,8,20,15,26,59,.441,9,25,.360,13,16,.813,8,20,14,11,2,11,13
W,63,56,20,50,.400,8,17,.471,15,20,.750,10,29,17,6,4,10,15,20,44,.455,6,19,.316,10,17,.588,6,28,12,2,3,12,18
W (1 OT),81,76,26,54,.481,9,21,.429,20,24,.833,11,32,19,8,7,11,16,30,55,.545,8,12,.667,8,15,.533,8,25,17,6,0,15,19
W,81,68,26,37,.703,5,7,.714,24,26,.923,3,26,14,4,6,13,20,24,54,.444,4,14,.286,16,20,.800,9,18,6,7,0,8,19
L,69,71,30,65,.462,5,16,.313,4,5,.800,10,29,15,11,6,13,25,23,49,.469,4,12,.333,21,33,.636,10,33,9,4,3,14,9
W,65,57,22,58,.379,3,13,.231,18,23,.783,15,40,10,7,5,14,20,19,50,.380,5,17,.294,14,22,.636,9,28,6,7,1,13,19
W,80,60,29,62,.468,6,11,.545,16,19,.842,15,44,15,3,8,12,15,23,68,.338,5,16,.313,9,16,.563,12,26,7,7,5,9,18
W,78,68,20,50,.400,3,12,.250,35,42,.833,13,34,12,7,3,12,20,26,59,.441,6,17,.353,10,17,.588,14,30,12,7,2,16,24
L,64,67,24,56,.429,4,13,.308,12,16,.750,11,35,12,9,5,14,21,24,60,.400,2,13,.154,17,26,.654,14,36,5,5,4,13,17
L (2 OT),73,82,27,67,.403,5,20,.250,14,22,.636,9,38,15,9,3,19,26,24,60,.400,10,32,.313,24,28,.857,7,36,16,8,3,16,20
W,71,66,21,54,.389,7,19,.368,22,26,.846,10,34,13,4,9,9,16,23,59,.390,7,21,.333,13,22,.591,11,28,10,4,2,10,24
W,72,54,27,66,.409,3,12,.250,15,21,.714,15,44,15,6,3,11,17,17,59,.288,4,25,.160,16,20,.800,11,35,7,6,4,13,19
W (3 OT),100,95,33,62,.532,8,21,.381,26,31,.839,8,40,22,3,10,11,25,31,75,.413,9,25,.360,24,36,.667,15,37,14,5,3,8,23
L,59,62,26,61,.426,2,10,.200,5,7,.714,13,34,15,4,2,11,12,23,53,.434,8,18,.444,8,9,.889,8,26,9,4,3,9,12
L,66,70,23,63,.365,7,18,.389,13,20,.650,13,33,15,7,3,11,17,28,54,.519,5,16,.313,9,17,.529,8,33,14,5,14,15,18
W,53,52,21,48,.438,7,21,.333,4,6,.667,6,29,17,5,4,15,12,23,55,.418,4,14,.286,2,4,.500,9,27,15,6,5,12,11
W (1 OT),72,62,23,51,.451,5,14,.357,21,32,.656,7,43,17,4,6,13,15,28,77,.364,3,24,.125,3,7,.429,11,36,8,9,3,8,26
W,73,60,27,52,.519,9,19,.474,10,15,.667,8,30,21,4,3,8,17,18,43,.419,9,21,.429,15,22,.682,4,21,12,5,3,9,13
