L,60,64,25,53,.472,7,17,.412,3,8,.375,7,33,13,6,1,18,21,24,59,.407,4,13,.308,12,24,.500,13,34,14,6,3,12,15
W,65,48,22,56,.393,5,20,.250,16,19,.842,8,40,9,10,4,16,21,15,53,.283,6,28,.214,12,21,.571,9,32,10,4,0,18,17
L (1 OT),73,76,26,65,.400,8,17,.471,13,21,.619,13,37,13,4,1,10,24,24,63,.381,9,24,.375,19,21,.905,12,36,15,4,6,11,22
W,75,71,24,50,.480,9,18,.500,18,25,.720,11,30,14,3,0,9,12,28,49,.571,9,20,.450,6,7,.857,2,19,13,4,2,12,19
L,59,75,22,59,.373,5,17,.294,10,16,.625,7,28,5,3,0,11,15,27,51,.529,9,21,.429,12,17,.706,4,33,15,7,8,15,18
L,57,74,17,43,.395,6,18,.333,17,23,.739,6,23,9,9,0,18,18,24,44,.545,13,19,.684,13,19,.684,6,22,10,10,5,17,24
L,59,69,19,52,.365,3,22,.136,18,23,.783,13,32,5,3,2,12,24,21,41,.512,11,20,.550,16,24,.667,5,24,11,6,2,11,23
L,58,61,20,55,.364,6,15,.400,12,15,.800,8,26,7,8,3,13,18,22,46,.478,7,18,.389,10,15,.667,6,31,13,3,7,17,19
W,77,68,20,37,.541,8,16,.500,29,32,.906,5,25,7,3,2,16,18,23,57,.404,7,25,.280,15,24,.625,13,25,14,8,3,7,24
W,64,60,22,48,.458,4,13,.308,16,18,.889,7,23,10,8,1,12,19,22,46,.478,8,20,.400,8,12,.667,7,25,15,5,7,15,18
W,77,66,28,53,.528,7,17,.412,14,19,.737,9,28,15,4,4,5,15,23,51,.451,10,22,.455,10,13,.769,6,20,11,1,1,6,17
L,47,65,20,49,.408,6,22,.273,1,5,.200,6,24,8,6,2,13,16,21,50,.420,11,22,.500,12,16,.750,12,36,13,5,2,11,14
W,80,56,24,46,.522,9,19,.474,23,31,.742,7,29,18,6,1,10,17,16,46,.348,9,22,.409,15,16,.938,5,16,13,6,1,14,25
W,64,62,20,49,.408,6,13,.462,18,21,.857,7,28,7,8,1,10,15,18,43,.419,11,24,.458,15,18,.833,4,27,11,2,2,15,20
W,64,51,17,38,.447,8,19,.421,22,25,.880,4,25,12,6,1,16,20,18,47,.383,5,16,.313,10,15,.667,6,16,9,7,1,15,21
W,73,58,24,54,.444,8,19,.421,17,20,.850,9,29,13,5,1,6,10,21,50,.420,7,17,.412,9,12,.750,8,23,9,2,2,12,17
W,64,47,20,45,.444,5,14,.357,19,23,.826,5,32,10,4,3,11,15,19,59,.322,4,22,.182,5,11,.455,15,33,14,2,8,12,19
W,62,53,21,46,.457,1,11,.091,19,21,.905,8,32,9,6,2,11,12,19,52,.365,8,30,.267,7,12,.583,5,20,11,5,2,12,18
W,69,55,23,49,.469,7,22,.318,16,21,.762,10,31,12,7,1,9,19,18,41,.439,7,14,.500,12,14,.857,2,18,10,4,1,15,15
W,47,44,19,53,.358,3,11,.273,6,11,.545,10,39,6,5,1,13,18,14,46,.304,4,20,.200,12,16,.750,3,26,9,8,8,10,19
W,77,59,31,56,.554,10,20,.500,5,8,.625,5,23,23,9,1,6,7,23,47,.489,9,21,.429,4,4,1.000,6,23,18,2,2,15,13
W,63,62,20,53,.377,6,19,.316,17,22,.773,12,29,5,6,2,9,17,22,51,.431,5,17,.294,13,15,.867,7,23,11,5,5,11,22
W,69,59,21,40,.525,9,18,.500,18,27,.667,5,31,15,4,0,17,20,18,48,.375,7,26,.269,16,21,.762,5,20,11,10,0,15,20
W,62,46,24,52,.462,4,15,.267,10,16,.625,13,39,15,2,0,11,19,14,44,.318,7,22,.318,11,16,.688,3,18,5,5,2,6,17
W,65,59,22,48,.458,6,18,.333,15,21,.714,7,33,8,4,2,11,14,20,54,.370,9,29,.310,10,14,.714,8,28,11,4,4,9,17
L,56,59,20,58,.345,7,22,.318,9,13,.692,15,37,11,3,2,10,11,25,61,.410,2,15,.133,7,7,1.000,13,36,8,5,9,7,14
W,70,64,20,46,.435,5,18,.278,25,30,.833,9,28,10,5,0,10,12,24,46,.522,10,24,.417,6,8,.750,4,19,13,4,3,11,23
W,67,49,26,53,.491,7,20,.350,8,14,.571,11,36,12,9,2,13,19,17,43,.395,4,12,.333,11,17,.647,3,18,11,4,2,12,13
W,79,73,22,42,.524,6,9,.667,29,38,.763,4,21,9,9,3,13,20,27,59,.458,4,16,.250,15,27,.556,14,34,17,7,3,16,26
W,83,66,27,54,.500,11,25,.440,18,23,.783,11,36,9,6,4,14,14,25,54,.463,11,26,.423,5,7,.714,2,12,10,3,0,14,18
W,60,58,21,42,.500,4,13,.308,14,16,.875,2,25,8,6,3,11,13,23,52,.442,10,21,.476,2,4,.500,3,20,11,3,3,9,19
W,51,50,19,61,.311,1,10,.100,12,15,.800,11,34,7,4,2,5,15,17,47,.362,6,20,.300,10,19,.526,7,31,4,2,6,11,18
