W,83,62,32,61,.525,2,10,.200,17,25,.680,7,38,19,8,6,9,16,23,71,.324,6,19,.316,10,17,.588,19,40,12,6,7,17,21
W,78,62,27,53,.509,4,12,.333,20,30,.667,17,37,13,9,6,16,15,22,52,.423,4,14,.286,14,16,.875,9,21,9,12,6,16,28
W,80,66,28,57,.491,6,22,.273,18,27,.667,15,45,17,6,8,15,21,18,59,.305,7,25,.280,23,30,.767,11,27,12,10,2,10,21
W (1 OT),66,65,24,49,.490,3,13,.231,15,22,.682,7,30,7,7,7,19,22,23,64,.359,6,23,.261,13,19,.684,18,37,10,8,3,16,23
L,65,68,25,47,.532,6,11,.545,9,13,.692,6,20,7,8,1,15,22,21,43,.488,6,16,.375,20,27,.741,10,25,9,6,3,13,17
L,58,64,22,53,.415,4,13,.308,10,19,.526,11,31,11,4,4,14,20,22,50,.440,4,14,.286,16,21,.762,6,23,8,5,3,10,20
W,78,46,28,51,.549,11,22,.500,11,14,.786,9,23,18,10,1,11,17,18,44,.409,0,12,.000,10,16,.625,9,24,4,4,2,16,16
L,70,75,23,57,.404,5,16,.313,19,26,.731,11,37,15,10,9,16,20,20,53,.377,10,17,.588,25,32,.781,10,35,11,9,6,17,20
W,76,49,27,56,.482,7,20,.350,15,20,.750,10,33,19,10,5,13,16,19,50,.380,3,11,.273,8,9,.889,6,22,6,4,5,17,22
W,81,78,26,66,.394,6,17,.353,23,30,.767,18,39,15,7,4,8,23,23,50,.460,8,21,.381,24,33,.727,8,29,15,3,3,12,22
W (1 OT),91,87,35,68,.515,7,12,.583,14,26,.538,11,33,16,13,5,11,20,28,61,.459,13,31,.419,18,22,.818,8,34,15,7,4,16,21
L,53,70,17,47,.362,2,13,.154,17,25,.680,10,29,6,5,10,16,26,20,48,.417,6,12,.500,24,29,.828,7,29,12,5,4,10,20
W,76,61,27,46,.587,8,19,.421,14,19,.737,3,22,15,9,4,13,21,16,52,.308,5,25,.200,24,29,.828,14,31,10,6,2,14,16
W,65,59,19,47,.404,4,18,.222,23,28,.821,13,31,13,7,5,15,12,23,50,.460,5,17,.294,8,12,.667,4,19,10,9,2,15,21
L (1 OT),57,60,21,57,.368,4,17,.235,11,20,.550,14,41,8,6,7,14,23,18,57,.316,3,15,.200,21,30,.700,11,37,11,7,6,8,19
W,78,72,23,46,.500,6,15,.400,26,32,.813,7,30,10,5,8,9,21,25,57,.439,9,22,.409,13,17,.765,7,24,10,3,3,7,23
W,61,59,21,53,.396,4,11,.364,15,20,.750,8,32,14,6,5,9,15,22,50,.440,2,7,.286,13,19,.684,5,32,6,4,1,8,17
W,78,58,23,45,.511,6,12,.500,26,36,.722,7,31,11,10,4,11,24,14,41,.341,7,23,.304,23,32,.719,4,22,8,6,3,17,27
W (1 OT),95,85,29,58,.500,9,21,.429,28,32,.875,10,36,21,8,3,10,19,29,57,.509,13,25,.520,14,20,.700,5,22,17,8,7,12,21
L,53,66,17,43,.395,6,22,.273,13,24,.542,3,26,9,5,7,17,23,18,44,.409,5,12,.417,25,32,.781,2,31,14,7,1,10,21
W,67,40,26,52,.500,10,23,.435,5,9,.556,5,37,10,2,3,10,21,11,53,.208,5,22,.227,13,20,.650,11,32,7,5,4,12,14
L,71,74,23,54,.426,8,20,.400,17,25,.680,10,30,17,7,4,15,23,23,43,.535,5,13,.385,23,32,.719,4,28,16,11,4,14,20
L,53,69,18,60,.300,1,17,.059,16,22,.727,13,31,10,14,0,15,18,22,46,.478,12,24,.500,13,17,.765,6,30,15,8,5,19,20
W,86,67,32,61,.525,8,19,.421,14,18,.778,10,38,18,10,2,9,27,20,52,.385,8,17,.471,19,31,.613,12,33,12,4,4,15,18
W,79,57,28,58,.483,7,19,.368,16,27,.593,11,42,15,7,7,9,18,19,58,.328,7,22,.318,12,19,.632,8,26,11,0,3,14,23
W,68,63,25,56,.446,4,13,.308,14,20,.700,15,42,12,6,2,13,17,21,54,.389,9,24,.375,12,18,.667,11,30,14,7,8,10,18
L,70,81,25,66,.379,10,27,.370,10,19,.526,20,44,14,3,7,13,27,26,57,.456,8,16,.500,21,32,.656,9,33,11,7,8,7,17
W,60,54,20,43,.465,7,17,.412,13,15,.867,2,20,13,9,10,10,19,18,51,.353,8,20,.400,10,22,.455,10,30,10,5,2,15,17
W,73,67,22,45,.489,5,14,.357,24,37,.649,8,31,12,11,3,12,18,27,58,.466,6,13,.462,7,17,.412,12,27,15,7,1,15,22
W,60,55,17,45,.378,6,17,.353,20,26,.769,11,26,11,11,3,10,14,21,47,.447,7,19,.368,6,8,.750,7,28,16,4,3,16,21
L,63,65,20,50,.400,5,19,.263,18,22,.818,6,24,12,7,2,9,27,20,42,.476,6,15,.400,19,31,.613,7,29,12,5,1,10,19
