L,56,90,20,59,.339,4,18,.222,12,17,.706,9,30,10,10,1,16,25,29,61,.475,9,21,.429,23,33,.697,15,44,20,9,7,14,14
L,47,65,20,53,.377,4,19,.211,3,8,.375,8,30,8,6,0,13,22,22,53,.415,5,18,.278,16,23,.696,10,35,14,4,4,10,13
W,82,69,26,56,.464,7,18,.389,23,26,.885,13,36,16,7,3,17,27,20,53,.377,6,13,.462,23,32,.719,11,25,10,4,2,13,22
L,66,74,26,55,.473,8,14,.571,6,7,.857,2,24,11,4,3,9,17,23,51,.451,11,23,.478,17,19,.895,4,26,16,2,6,8,11
L,74,82,21,53,.396,8,24,.333,24,34,.706,9,32,13,5,4,14,28,23,52,.442,5,14,.357,31,38,.816,6,33,8,6,3,12,27
L,60,64,24,48,.500,5,15,.333,7,9,.778,4,21,12,5,5,11,12,24,48,.500,11,26,.423,5,7,.714,6,23,16,6,4,12,9
W,62,54,17,56,.304,4,22,.182,24,32,.750,13,43,4,7,6,12,23,17,54,.315,4,17,.235,16,26,.615,12,40,6,4,4,14,23
W,71,52,23,58,.397,5,16,.313,20,35,.571,14,51,14,7,5,21,21,16,60,.267,6,29,.207,14,21,.667,9,30,7,10,4,20,29
W,62,58,21,51,.412,4,15,.267,16,25,.640,12,39,7,5,8,18,24,16,65,.246,4,15,.267,22,29,.759,19,40,2,5,6,10,19
L,55,73,23,66,.348,7,15,.467,2,9,.222,15,35,9,7,3,12,21,21,49,.429,9,21,.429,22,26,.846,4,34,12,3,8,16,16
W,66,54,23,67,.343,4,22,.182,16,22,.727,17,41,11,9,7,12,26,17,49,.347,3,10,.300,17,30,.567,11,37,5,7,3,21,24
W,75,66,24,55,.436,4,15,.267,23,38,.605,16,40,10,8,8,18,21,20,64,.313,4,22,.182,22,29,.759,19,44,8,4,3,22,26
L,51,83,16,48,.333,5,16,.313,14,22,.636,8,33,6,4,1,25,26,28,59,.475,5,17,.294,22,37,.595,14,35,9,16,6,9,19
L,54,68,20,61,.328,5,25,.200,9,18,.500,16,37,10,5,1,11,23,22,49,.449,4,12,.333,20,25,.800,7,34,12,5,6,10,16
W,58,56,21,53,.396,5,11,.455,11,17,.647,14,33,12,9,3,17,16,21,52,.404,5,17,.294,9,15,.600,13,34,9,5,5,19,17
W,78,63,26,53,.491,6,18,.333,20,35,.571,9,38,17,13,6,20,32,17,50,.340,4,13,.308,25,38,.658,4,21,6,4,0,20,26
L,61,64,26,64,.406,4,22,.182,5,12,.417,14,32,11,7,7,11,18,24,46,.522,5,10,.500,11,19,.579,5,29,5,6,2,16,15
L,52,59,19,54,.352,1,17,.059,13,19,.684,12,36,4,7,4,17,23,19,41,.463,5,15,.333,16,25,.640,5,25,7,6,1,17,21
L,66,68,23,41,.561,3,10,.300,17,29,.586,5,25,10,12,4,19,30,21,41,.512,4,9,.444,22,35,.629,5,21,12,8,1,16,20
L,56,65,20,55,.364,5,21,.238,11,19,.579,8,32,9,7,3,18,22,22,55,.400,2,8,.250,19,26,.731,9,34,7,9,3,12,20
L,60,63,23,57,.404,5,23,.217,9,17,.529,10,35,9,3,3,10,18,25,59,.424,2,14,.143,11,16,.688,9,34,15,3,5,8,18
L,67,86,23,56,.411,6,17,.353,15,26,.577,10,23,7,8,3,10,14,31,53,.585,13,22,.591,11,18,.611,8,31,24,5,5,15,21
W,64,61,23,52,.442,5,19,.263,13,25,.520,9,31,10,7,5,10,17,20,50,.400,8,16,.500,13,21,.619,7,30,15,8,1,14,19
W (1 OT),73,69,20,58,.345,11,24,.458,22,27,.815,10,36,12,7,7,18,17,27,66,.409,4,14,.286,11,16,.688,11,38,8,7,9,19,20
W,93,65,31,57,.544,9,22,.409,22,35,.629,6,49,15,4,7,11,23,23,71,.324,3,18,.167,16,24,.667,7,31,7,7,1,7,24
L,71,74,21,60,.350,5,16,.313,24,32,.750,15,36,12,6,3,9,22,25,56,.446,7,19,.368,17,21,.810,9,31,7,2,3,14,24
W,68,67,23,54,.426,8,21,.381,14,27,.519,9,37,13,2,11,13,24,22,55,.400,3,16,.188,20,28,.714,4,32,10,6,5,9,22
L,75,85,28,64,.438,5,22,.227,14,19,.737,8,28,10,7,3,7,18,29,58,.500,13,26,.500,14,18,.778,9,35,13,3,3,12,17
L,69,80,23,56,.411,6,25,.240,17,26,.654,11,34,10,5,5,11,22,29,58,.500,5,14,.357,17,26,.654,9,34,12,5,2,8,22
W,91,71,30,54,.556,5,10,.500,26,36,.722,9,35,13,9,3,18,23,24,59,.407,3,10,.300,20,33,.606,12,31,5,1,2,16,30
W,76,71,22,58,.379,12,25,.480,20,37,.541,14,39,12,5,2,13,21,23,56,.411,6,15,.400,19,31,.613,9,33,11,3,1,13,27
W,75,64,20,52,.385,3,15,.200,32,38,.842,10,30,10,4,0,10,22,21,55,.382,3,10,.300,19,26,.731,10,35,9,3,4,10,26
W,82,61,27,63,.429,9,23,.391,19,24,.792,6,25,13,9,1,7,13,23,53,.434,7,22,.318,8,16,.500,5,29,8,2,5,17,17
