W,90,56,29,61,.475,9,21,.429,23,33,.697,15,44,20,9,7,14,14,20,59,.339,4,18,.222,12,17,.706,9,30,10,10,1,16,25
W,87,56,30,56,.536,9,20,.450,18,20,.900,6,42,20,10,4,18,18,18,67,.269,10,27,.370,10,14,.714,10,30,12,9,4,16,16
L,57,71,16,54,.296,4,14,.286,21,28,.750,12,34,11,10,4,14,18,27,59,.458,6,17,.353,11,16,.688,11,39,12,4,7,14,22
L,63,66,22,55,.400,6,21,.286,13,20,.650,10,33,16,6,6,18,16,25,60,.417,3,15,.200,13,19,.684,11,33,17,10,5,14,16
W,72,61,25,61,.410,5,14,.357,17,26,.654,12,35,15,12,2,12,19,19,51,.373,7,27,.259,16,26,.615,9,35,13,5,0,18,19
W,70,49,25,54,.463,5,17,.294,15,19,.789,14,34,16,8,12,13,15,17,61,.279,6,23,.261,9,12,.750,19,32,8,4,1,15,19
W,77,44,31,71,.437,9,30,.300,6,9,.667,12,38,21,10,9,7,11,15,48,.313,4,10,.400,10,14,.714,7,33,10,4,1,19,14
W,60,55,18,55,.327,3,20,.150,21,24,.875,15,39,9,3,6,12,20,19,68,.279,4,23,.174,13,17,.765,17,37,8,5,3,10,22
W,77,47,29,65,.446,7,25,.280,12,15,.800,11,35,20,16,5,11,11,19,57,.333,4,19,.211,5,10,.500,12,37,10,8,5,24,13
W,67,44,24,57,.421,3,19,.158,16,22,.727,13,44,14,3,3,10,12,19,58,.328,0,8,.000,6,11,.545,9,31,7,5,2,10,16
L,75,90,28,71,.394,7,20,.350,12,13,.923,9,36,16,3,6,7,15,34,64,.531,12,27,.444,10,13,.769,6,39,22,4,6,10,16
L,44,56,14,51,.275,3,12,.250,13,18,.722,11,33,8,5,2,13,17,20,44,.455,6,18,.333,10,15,.667,3,27,10,7,6,10,17
W,80,70,23,60,.383,8,20,.400,26,28,.929,12,37,17,11,6,13,15,26,57,.456,12,26,.462,6,7,.857,5,27,17,6,3,20,16
W,71,65,23,50,.460,8,22,.364,17,23,.739,14,36,17,2,4,13,19,24,57,.421,6,24,.250,11,15,.733,10,27,16,8,4,9,17
W,70,59,17,44,.386,5,20,.250,31,38,.816,9,31,11,7,3,9,18,22,48,.458,2,14,.143,13,21,.619,6,25,5,3,3,10,24
L,61,75,22,51,.431,2,12,.167,15,24,.625,7,28,12,4,4,8,14,27,53,.509,12,17,.706,9,12,.750,7,32,19,5,3,10,21
W,77,75,25,48,.521,8,16,.500,19,27,.704,12,31,16,7,9,14,17,27,59,.458,9,25,.360,12,16,.750,11,26,14,6,1,9,19
W,76,67,24,47,.511,3,9,.333,25,35,.714,9,35,8,7,3,9,19,23,60,.383,7,18,.389,14,21,.667,14,30,8,4,3,9,24
L,50,82,20,46,.435,6,15,.400,4,10,.400,5,22,7,0,4,9,16,29,59,.492,9,22,.409,15,19,.789,13,32,16,6,2,0,9
L,63,67,21,64,.328,4,17,.235,17,26,.654,21,41,10,3,2,7,20,25,53,.472,4,20,.200,13,23,.565,8,28,19,3,8,5,17
L,63,74,23,48,.479,4,7,.571,13,20,.650,7,24,11,4,3,8,21,23,52,.442,7,19,.368,21,26,.808,10,29,9,5,1,6,15
W,72,54,32,51,.627,4,11,.364,4,6,.667,8,30,16,2,2,6,10,19,47,.404,7,24,.292,9,11,.818,4,16,8,3,2,6,10
W,71,55,27,42,.643,5,11,.455,12,16,.750,3,24,18,6,2,19,17,18,49,.367,7,23,.304,12,16,.750,7,16,10,9,5,16,19
L,59,64,21,49,.429,4,14,.286,13,16,.813,8,34,14,2,6,15,17,23,57,.404,6,19,.316,12,19,.632,9,26,7,9,4,5,21
L (1 OT),61,66,20,62,.323,8,24,.333,13,20,.650,11,33,15,5,4,4,15,21,50,.420,9,20,.450,15,20,.750,7,35,13,3,12,7,15
W,81,47,30,59,.508,8,17,.471,13,22,.591,10,36,19,13,2,11,11,18,55,.327,5,22,.227,6,13,.462,10,31,10,6,2,19,18
W,74,46,29,58,.500,5,10,.500,11,13,.846,10,36,17,8,4,7,15,17,52,.327,2,18,.111,10,14,.714,8,27,8,7,5,13,14
W,68,60,21,48,.438,6,14,.429,20,30,.667,10,34,14,6,6,12,14,19,57,.333,7,21,.333,15,16,.938,10,33,8,9,1,12,25
W (1 OT),81,77,24,67,.358,8,21,.381,25,27,.926,12,37,14,11,2,10,20,27,69,.391,10,28,.357,13,20,.650,15,42,15,9,7,15,23
W,77,63,25,54,.463,4,12,.333,23,28,.821,9,33,11,8,6,10,15,23,60,.383,10,25,.400,7,11,.636,11,32,12,4,2,12,21
W,69,52,25,60,.417,8,25,.320,11,16,.688,14,38,18,8,4,6,11,16,42,.381,8,20,.400,12,14,.857,1,22,14,6,3,15,16
L,58,67,15,57,.263,3,15,.200,25,31,.806,14,37,9,2,8,12,18,22,56,.393,6,15,.400,17,24,.708,8,30,11,9,3,5,22
