W,107,65,41,73,.562,14,23,.609,11,17,.647,14,45,25,9,5,11,17,21,67,.313,12,30,.400,11,20,.550,12,31,10,6,6,16,18
W,83,66,30,67,.448,9,33,.273,14,22,.636,13,41,16,6,6,14,16,24,67,.358,7,17,.412,11,14,.786,10,31,9,8,0,13,21
W,78,68,26,63,.413,6,18,.333,20,24,.833,13,44,16,4,7,9,16,25,66,.379,11,27,.407,7,13,.538,11,33,10,6,4,11,20
L,63,70,23,59,.390,5,19,.263,12,18,.667,15,36,10,3,2,12,24,21,46,.457,5,13,.385,23,29,.793,6,24,11,3,3,6,16
L,63,77,21,56,.375,9,27,.333,12,13,.923,6,27,14,9,4,20,19,28,56,.500,6,17,.353,15,24,.625,9,35,15,6,4,18,18
W,81,59,29,64,.453,11,26,.423,12,13,.923,7,44,19,5,12,11,21,17,66,.258,4,20,.200,21,29,.724,8,35,6,6,4,9,15
W,94,63,42,80,.525,5,26,.192,5,12,.417,16,57,24,9,7,16,12,27,76,.355,4,18,.222,5,9,.556,7,25,12,6,4,13,14
L,73,79,24,64,.375,8,31,.258,17,23,.739,14,34,15,3,4,8,21,27,65,.415,5,12,.417,20,27,.741,11,40,10,4,2,8,20
W,77,70,30,65,.462,5,12,.417,12,15,.800,9,36,20,2,6,12,18,23,64,.359,7,19,.368,17,20,.850,11,34,17,5,5,9,18
W,79,56,28,64,.438,9,22,.409,14,19,.737,12,39,21,8,5,11,18,19,56,.339,1,7,.143,17,24,.708,8,31,10,5,4,13,19
W,83,70,31,66,.470,10,21,.476,11,15,.733,13,40,18,6,7,12,18,24,63,.381,9,25,.360,13,19,.684,8,29,10,3,2,11,12
W (1 OT),82,78,30,56,.536,8,23,.348,14,17,.824,8,35,17,7,7,17,21,27,65,.415,9,17,.529,15,19,.789,10,27,10,10,2,11,16
W (1 OT),69,67,27,63,.429,6,20,.300,9,13,.692,11,33,18,5,4,18,16,26,62,.419,6,20,.300,9,12,.750,4,26,12,10,3,10,15
W,71,59,23,47,.489,6,13,.462,19,24,.792,8,32,10,7,8,14,20,19,54,.352,4,15,.267,17,23,.739,11,26,9,4,4,12,22
L,62,80,20,56,.357,4,20,.200,18,22,.818,7,25,7,8,7,13,20,27,56,.482,2,11,.182,24,30,.800,10,38,9,7,2,12,21
W,59,56,23,46,.500,3,12,.250,10,14,.714,3,25,10,3,8,15,26,19,47,.404,3,17,.176,15,26,.577,8,28,9,8,0,15,19
L (1 OT),99,108,38,77,.494,9,20,.450,14,21,.667,10,33,14,9,2,9,28,33,56,.589,14,24,.583,28,37,.757,5,33,24,1,4,11,21
L,77,85,30,72,.417,11,30,.367,6,7,.857,12,28,20,5,6,6,21,30,59,.508,8,15,.533,17,30,.567,14,37,11,5,5,11,13
W,75,67,21,58,.362,8,25,.320,25,31,.806,14,42,11,5,5,15,17,25,67,.373,6,19,.316,11,18,.611,13,36,11,8,3,13,23
W,82,64,33,53,.623,9,13,.692,7,10,.700,4,28,16,3,2,10,14,25,61,.410,5,17,.294,9,13,.692,11,26,8,2,1,7,15
L,56,90,19,47,.404,5,16,.313,13,20,.650,2,17,9,5,1,14,14,35,59,.593,6,15,.400,14,17,.824,9,32,16,7,2,10,16
W (1 OT),68,67,26,57,.456,4,12,.333,12,14,.857,5,32,10,3,3,12,16,26,61,.426,8,27,.296,7,15,.467,7,32,12,7,1,14,19
W,78,74,31,58,.534,6,14,.429,10,10,1.000,10,29,11,5,2,11,17,30,53,.566,3,16,.188,11,16,.688,7,21,13,6,0,9,15
W,95,72,35,64,.547,11,25,.440,14,20,.700,8,37,23,6,2,6,17,25,67,.373,9,36,.250,13,16,.813,12,33,16,5,1,12,18
W,80,75,34,59,.576,5,16,.313,7,8,.875,7,34,13,3,3,14,13,31,66,.470,4,18,.222,9,13,.692,11,29,13,5,3,10,12
L,63,72,22,56,.393,11,27,.407,8,14,.571,8,23,15,7,3,5,20,24,48,.500,7,16,.438,17,21,.810,9,35,15,1,5,12,13
W,73,60,24,58,.414,6,18,.333,19,26,.731,11,34,14,8,4,9,19,22,62,.355,2,18,.111,14,23,.609,20,44,6,5,1,16,21
W,69,58,24,54,.444,6,17,.353,15,18,.833,9,31,10,7,2,11,13,19,52,.365,8,29,.276,12,17,.706,9,29,10,7,5,14,17
W,80,69,29,57,.509,5,13,.385,17,20,.850,10,35,7,1,3,8,20,25,56,.446,8,17,.471,11,19,.579,6,23,15,3,3,5,18
W,73,70,27,57,.474,8,20,.400,11,16,.688,4,27,11,4,2,9,21,22,55,.400,4,19,.211,22,31,.710,10,32,9,5,3,9,17
W,65,62,20,55,.364,6,22,.273,19,24,.792,10,35,14,11,2,14,14,24,56,.429,6,18,.333,8,11,.727,9,32,16,9,3,13,18
W,93,85,33,62,.532,6,19,.316,21,26,.808,6,32,11,7,2,8,21,31,66,.470,7,23,.304,16,23,.696,13,34,15,5,1,13,24
W,67,64,25,53,.472,7,19,.368,10,12,.833,5,21,7,7,3,9,19,22,50,.440,8,21,.381,12,19,.632,9,33,11,5,2,12,13
L,52,80,18,45,.400,7,16,.438,9,10,.900,2,18,8,5,1,12,16,30,55,.545,7,19,.368,13,20,.650,11,35,17,7,1,10,17
