L,41,80,14,64,.219,1,16,.063,12,19,.632,12,38,1,4,0,13,14,32,72,.444,8,19,.421,8,15,.533,15,47,17,6,8,9,19
L,76,102,29,60,.483,7,14,.500,11,14,.786,8,23,15,6,5,23,15,40,60,.667,16,27,.593,6,10,.600,5,29,25,14,3,20,15
L,77,80,23,47,.489,5,15,.333,26,35,.743,7,33,7,6,4,14,25,24,58,.414,10,30,.333,22,31,.710,10,32,13,3,1,7,24
L,64,73,23,55,.418,5,17,.294,13,18,.722,6,35,12,5,3,16,20,26,60,.433,8,24,.333,13,19,.684,7,33,15,6,2,12,19
W,91,76,31,49,.633,9,19,.474,20,29,.690,5,25,14,4,2,10,17,24,52,.462,8,18,.444,20,22,.909,9,28,11,1,0,10,24
W,83,55,31,75,.413,7,25,.280,14,22,.636,22,51,17,6,6,5,20,20,54,.370,1,11,.091,14,22,.636,5,28,6,2,2,12,17
W,74,73,27,56,.482,5,14,.357,15,26,.577,15,35,14,6,6,10,14,28,57,.491,9,21,.429,8,12,.667,9,27,15,5,2,12,20
L,48,61,19,55,.345,2,12,.167,8,24,.333,15,37,9,12,1,17,17,20,48,.417,4,14,.286,17,20,.850,5,30,11,10,6,17,20
W,80,71,26,57,.456,7,18,.389,21,27,.778,14,39,15,4,6,12,17,23,60,.383,13,31,.419,12,17,.706,9,28,14,8,3,11,21
L,68,85,22,63,.349,5,16,.313,19,26,.731,16,40,9,3,2,15,24,27,58,.466,12,26,.462,19,29,.655,11,36,14,7,5,13,19
L,70,80,29,72,.403,7,19,.368,5,10,.500,16,38,13,10,2,13,8,31,63,.492,13,38,.342,5,7,.714,6,35,19,6,6,14,10
W,92,84,36,61,.590,8,22,.364,12,19,.632,7,36,21,6,1,16,18,28,63,.444,12,32,.375,16,23,.696,8,27,16,7,4,9,18
W,84,77,26,43,.605,4,7,.571,28,37,.757,6,31,7,7,4,18,18,28,57,.491,10,24,.417,11,16,.688,4,19,14,9,0,13,26
L,70,74,23,57,.404,3,15,.200,21,29,.724,12,34,9,10,1,19,20,26,56,.464,7,19,.368,15,21,.714,10,36,9,14,5,20,23
W,112,61,45,76,.592,7,17,.412,15,22,.682,15,47,31,8,4,5,8,24,67,.358,8,25,.320,5,7,.714,9,27,13,3,4,14,20
L,70,79,23,54,.426,6,20,.300,18,32,.563,9,33,9,5,2,14,25,27,54,.500,6,14,.429,19,28,.679,7,33,14,6,4,13,28
W,73,54,27,49,.551,5,12,.417,14,24,.583,8,41,19,5,4,17,14,20,67,.299,9,29,.310,5,8,.625,14,33,12,8,2,14,20
L,66,72,26,55,.473,6,16,.375,8,18,.444,10,33,17,8,3,9,16,26,48,.542,12,24,.500,8,15,.533,4,28,14,5,2,15,16
L,52,66,19,54,.352,4,18,.222,10,17,.588,7,28,5,8,1,15,17,27,52,.519,4,16,.250,8,17,.471,8,38,8,4,1,16,16
L,58,76,21,61,.344,4,22,.182,12,21,.571,13,32,9,15,3,20,20,27,56,.482,13,32,.406,9,12,.750,11,41,20,9,2,24,20
W (1 OT),90,86,28,69,.406,8,24,.333,26,36,.722,13,36,10,13,3,15,19,28,63,.444,11,27,.407,19,24,.792,10,37,13,10,3,19,23
L (1 OT),86,87,27,63,.429,7,25,.280,25,39,.641,13,37,15,9,1,12,26,31,66,.470,7,25,.280,18,25,.720,16,46,16,6,2,17,28
L,65,75,22,50,.440,8,21,.381,13,17,.765,7,23,13,7,3,16,12,33,60,.550,4,13,.308,5,9,.556,11,29,22,11,4,13,19
W,86,80,29,55,.527,8,18,.444,20,25,.800,6,32,19,8,3,12,15,30,61,.492,8,23,.348,12,17,.706,9,32,21,5,1,13,22
L,77,86,26,57,.456,12,34,.353,13,20,.650,8,27,20,9,3,13,19,26,55,.473,11,19,.579,23,30,.767,11,38,17,9,1,16,17
W,76,73,23,46,.500,7,14,.500,23,30,.767,7,25,16,9,2,13,18,26,58,.448,7,22,.318,14,18,.778,11,29,11,6,0,14,24
W,79,70,26,57,.456,4,16,.250,23,30,.767,15,41,15,6,2,11,11,27,62,.435,9,28,.321,7,8,.875,8,25,18,4,5,9,22
L (1 OT),84,85,26,53,.491,5,19,.263,27,36,.750,9,38,10,5,7,14,21,29,71,.408,9,25,.360,18,26,.692,14,36,13,5,3,8,26
L,60,74,22,44,.500,6,13,.462,10,24,.417,5,24,9,4,2,10,17,25,53,.472,10,24,.417,14,17,.824,8,32,14,5,3,8,23
W,80,75,25,50,.500,5,12,.417,25,33,.758,6,29,11,5,5,13,13,28,65,.431,7,26,.269,12,17,.706,14,35,12,8,8,10,21
W,83,75,31,58,.534,5,13,.385,16,23,.696,10,32,15,8,1,17,18,28,58,.483,5,16,.313,14,19,.737,4,22,10,10,0,16,21
W,92,72,32,59,.542,6,21,.286,22,35,.629,12,43,22,5,2,12,26,24,62,.387,5,29,.172,19,29,.655,9,31,12,7,1,9,27
W,74,72,23,47,.489,7,16,.438,21,38,.553,8,36,15,3,4,15,19,27,62,.435,2,14,.143,16,24,.667,10,36,9,10,4,9,30
W (1 OT),97,96,32,60,.533,8,19,.421,25,29,.862,13,31,11,8,1,16,18,39,68,.574,9,30,.300,9,12,.750,11,28,23,7,1,15,23
W,83,73,28,57,.491,16,31,.516,11,15,.733,10,33,19,5,2,13,11,27,63,.429,9,29,.310,10,14,.714,13,33,10,8,1,9,17
