W (1 OT),92,90,30,69,.435,12,30,.400,20,31,.645,12,32,11,9,2,16,33,26,48,.542,10,20,.500,28,45,.622,8,34,12,11,11,21,30
W,94,55,36,64,.563,12,26,.462,10,17,.588,13,43,25,18,8,23,8,24,65,.369,4,19,.211,3,3,1.000,7,22,12,15,3,25,19
W,81,77,29,58,.500,12,30,.400,11,13,.846,6,30,17,10,8,19,18,30,58,.517,4,13,.308,13,18,.722,7,26,14,6,3,15,17
L,63,83,25,65,.385,5,20,.250,8,11,.727,10,34,12,9,3,13,14,33,66,.500,14,29,.483,3,8,.375,7,33,21,7,5,11,11
W,95,58,36,53,.679,13,23,.565,10,18,.556,2,24,28,8,9,8,14,23,69,.333,6,19,.316,6,8,.750,14,32,11,2,2,16,18
W,62,52,23,54,.426,5,16,.313,11,14,.786,9,31,12,7,7,13,13,20,50,.400,6,18,.333,6,12,.500,8,24,13,5,3,14,13
L,54,64,18,51,.353,9,29,.310,9,15,.600,11,30,11,5,7,12,18,22,53,.415,2,14,.143,18,23,.783,6,28,12,7,3,9,16
W,91,63,30,58,.517,8,24,.333,23,28,.821,4,32,23,12,3,9,11,23,60,.383,7,27,.259,10,13,.769,8,30,18,5,2,17,19
W,61,59,22,55,.400,7,15,.467,10,15,.667,7,30,17,5,3,9,23,21,42,.500,3,13,.231,14,26,.538,4,27,17,3,8,12,15
W,80,69,30,60,.500,12,20,.600,8,10,.800,12,37,13,8,3,14,14,26,54,.481,10,21,.476,7,13,.538,7,25,16,9,4,12,14
W,78,66,29,58,.500,7,18,.389,13,19,.684,13,36,19,6,4,12,13,24,53,.453,6,15,.400,12,14,.857,6,24,14,6,5,12,21
W,77,75,27,59,.458,6,22,.273,17,27,.630,13,35,15,6,6,10,15,29,58,.500,7,14,.500,10,18,.556,7,31,13,4,6,10,22
W,80,56,27,60,.450,8,20,.400,18,24,.750,8,36,14,8,3,8,18,19,58,.328,7,30,.233,11,17,.647,11,34,10,3,3,14,19
W,84,78,30,61,.492,4,16,.250,20,27,.741,15,40,8,6,2,17,18,25,58,.431,13,37,.351,15,20,.750,7,22,17,8,4,17,23
W,74,62,22,56,.393,10,28,.357,20,24,.833,9,29,18,8,9,12,18,22,53,.415,4,18,.222,14,17,.824,8,32,7,7,2,17,18
L,55,70,20,47,.426,6,16,.375,9,19,.474,7,26,9,6,3,20,21,25,50,.500,6,19,.316,14,20,.700,7,29,13,9,8,15,20
W,77,68,27,55,.491,4,15,.267,19,25,.760,9,33,13,9,2,6,11,26,57,.456,13,29,.448,3,5,.600,9,29,19,3,0,13,18
W,77,58,24,49,.490,7,18,.389,22,31,.710,7,37,17,8,3,12,18,21,55,.382,5,17,.294,11,16,.688,5,26,7,9,3,14,24
W,94,84,27,50,.540,11,20,.550,29,36,.806,4,29,19,9,8,8,20,28,64,.438,12,29,.414,16,23,.696,11,29,8,3,4,11,25
W,73,60,23,45,.511,11,22,.500,16,21,.762,4,24,19,8,3,11,14,22,50,.440,7,21,.333,9,12,.750,7,27,9,7,2,15,19
W,63,56,21,59,.356,3,18,.167,18,25,.720,16,41,8,7,2,9,18,22,49,.449,3,14,.214,9,20,.450,6,30,11,4,4,11,22
W,125,85,39,71,.549,10,31,.323,37,47,.787,13,45,22,10,8,6,16,31,84,.369,12,44,.273,11,17,.647,15,37,15,5,3,14,30
W,79,63,28,48,.583,4,14,.286,19,23,.826,4,29,12,4,7,14,16,22,59,.373,8,20,.400,11,13,.846,10,26,14,9,0,9,19
W,62,54,18,45,.400,4,15,.267,22,28,.786,4,27,8,6,3,9,14,18,47,.383,5,19,.263,13,15,.867,6,32,10,4,1,13,23
W (1 OT),72,66,23,63,.365,9,22,.409,17,20,.850,12,34,17,4,3,9,17,25,66,.379,5,18,.278,11,15,.733,19,41,12,5,9,8,18
L,61,67,19,47,.404,7,20,.350,16,24,.667,12,30,10,8,3,26,22,25,50,.500,3,13,.231,14,23,.609,8,29,10,15,5,19,22
W,76,68,22,50,.440,7,18,.389,25,31,.806,11,34,11,12,4,12,20,26,55,.473,4,18,.222,12,19,.632,10,28,9,7,2,12,19
W,85,59,33,59,.559,9,23,.391,10,15,.667,9,41,21,8,4,10,21,19,55,.345,5,19,.263,16,23,.696,5,22,11,6,1,12,15
L,64,79,20,57,.351,6,29,.207,18,23,.783,10,24,11,4,0,8,19,31,46,.674,7,14,.500,10,15,.667,4,26,14,5,1,11,21
W,77,66,24,56,.429,6,19,.316,23,27,.852,11,30,16,7,7,10,18,25,52,.481,5,12,.417,11,15,.733,7,24,12,4,3,15,22
W,67,65,21,65,.323,5,18,.278,20,36,.556,15,40,6,9,6,9,14,24,53,.453,10,24,.417,7,15,.467,5,34,11,2,10,16,21
W,59,54,21,51,.412,5,20,.250,12,18,.667,12,33,13,5,9,15,20,17,51,.333,0,14,.000,20,23,.870,9,28,7,7,4,12,19
W,73,69,25,56,.446,8,16,.500,15,20,.750,12,27,9,13,6,16,14,29,60,.483,3,17,.176,8,9,.889,15,37,8,9,3,19,20
