L (1 OT),89,93,30,77,.390,10,21,.476,19,28,.679,13,36,11,12,2,16,35,31,60,.517,6,18,.333,25,42,.595,10,41,10,4,12,21,21
L,90,103,31,75,.413,4,15,.267,24,38,.632,15,42,11,11,3,9,20,37,72,.514,10,26,.385,19,21,.905,9,41,17,2,9,13,27
L,77,107,29,71,.408,6,19,.316,13,21,.619,7,26,14,7,2,10,16,42,75,.560,11,24,.458,12,18,.667,13,47,23,4,9,12,20
W,94,74,29,65,.446,7,23,.304,29,42,.690,9,31,15,16,7,10,24,26,64,.406,9,26,.346,13,21,.619,12,45,13,6,4,26,30
W,66,63,22,68,.324,2,13,.154,20,37,.541,19,47,7,12,4,9,19,21,60,.350,7,24,.292,14,20,.700,6,40,8,4,4,17,27
W,81,72,27,66,.409,5,18,.278,22,39,.564,16,44,8,13,6,17,23,25,61,.410,3,19,.158,19,26,.731,7,37,5,8,1,21,23
W,87,69,34,64,.531,9,17,.529,10,14,.714,8,39,24,4,9,7,13,26,73,.356,5,18,.278,12,17,.706,13,36,14,3,5,11,14
L,69,71,24,55,.436,8,20,.400,13,16,.813,6,29,15,8,3,15,18,27,58,.466,6,16,.375,11,13,.846,8,29,11,4,5,16,18
W,93,88,32,60,.533,7,17,.412,22,44,.500,10,30,16,8,4,9,21,32,59,.542,9,23,.391,15,21,.714,9,34,18,5,1,23,36
W,108,57,41,75,.547,5,12,.417,21,32,.656,16,49,13,22,2,14,23,18,54,.333,6,15,.400,15,22,.682,3,26,11,4,1,27,23
L,79,84,27,71,.380,9,26,.346,16,26,.615,15,34,9,18,3,15,26,27,55,.491,7,16,.438,23,32,.719,10,41,15,9,6,26,16
W,78,72,27,52,.519,2,7,.286,22,36,.611,9,32,12,3,3,11,20,26,59,.441,7,18,.389,13,20,.650,13,33,12,9,0,13,25
W,86,70,33,70,.471,7,18,.389,13,18,.722,11,32,17,9,6,11,17,25,61,.410,4,18,.222,16,23,.696,12,40,12,5,3,18,20
W,76,68,22,54,.407,9,20,.450,23,37,.622,10,38,8,6,3,8,15,28,60,.467,6,21,.286,6,10,.600,3,29,16,3,2,11,27
W,87,67,30,58,.517,11,21,.524,16,22,.727,4,26,20,10,1,17,19,26,56,.464,4,12,.333,11,18,.611,9,32,13,7,3,23,21
L,93,103,33,81,.407,8,30,.267,19,32,.594,18,45,16,10,4,16,24,32,63,.508,11,20,.550,28,34,.824,6,37,16,13,8,17,24
W,78,76,29,70,.414,4,16,.250,16,20,.800,16,40,19,7,9,14,18,29,63,.460,5,11,.455,13,23,.565,12,33,20,7,9,15,19
L,70,85,23,71,.324,7,24,.292,17,28,.607,15,31,9,11,3,11,28,27,56,.482,5,18,.278,26,36,.722,13,48,15,6,7,19,23
W,99,66,33,64,.516,10,26,.385,23,33,.697,12,45,16,16,7,14,21,21,71,.296,10,28,.357,14,21,.667,18,42,14,7,4,22,21
L,95,111,33,65,.508,10,26,.385,19,26,.731,6,22,16,7,5,12,23,36,63,.571,13,22,.591,26,31,.839,7,35,19,6,3,14,23
W (1 OT),115,108,37,75,.493,8,21,.381,33,49,.673,13,41,17,8,7,14,26,38,78,.487,8,27,.296,24,36,.667,11,37,13,9,8,17,36
L,94,95,38,60,.633,7,16,.438,11,18,.611,4,28,17,5,5,8,25,31,59,.525,10,26,.385,23,33,.697,7,29,22,3,2,8,18
W,85,78,26,54,.481,5,14,.357,28,36,.778,4,30,13,11,6,12,16,30,66,.455,9,27,.333,9,15,.600,11,36,17,2,3,18,21
L,60,79,22,58,.379,5,20,.250,11,18,.611,10,35,7,4,4,18,16,33,63,.524,9,24,.375,4,7,.571,6,36,20,8,3,11,18
W,86,85,31,65,.477,7,23,.304,17,24,.708,12,42,18,7,7,14,20,33,79,.418,8,26,.308,11,18,.611,17,41,14,10,4,11,17
L,93,111,32,76,.421,10,28,.357,19,26,.731,15,36,14,8,3,16,23,35,69,.507,12,30,.400,29,33,.879,12,39,20,11,5,14,26
W,70,68,30,69,.435,6,20,.300,4,7,.571,9,30,17,12,5,6,16,25,56,.446,9,23,.391,9,13,.692,7,36,13,1,3,16,13
W,107,90,43,81,.531,13,31,.419,8,12,.667,17,35,25,11,5,4,10,34,62,.548,12,19,.632,10,12,.833,5,25,23,2,4,14,13
W,78,61,29,57,.509,4,19,.211,16,29,.552,10,34,16,12,4,10,16,22,57,.386,6,20,.300,11,13,.846,6,28,8,6,5,17,18
W,85,69,30,74,.405,9,31,.290,16,21,.762,18,44,17,12,6,17,19,22,55,.400,6,14,.429,19,29,.655,9,31,7,10,6,18,19
L,68,70,25,72,.347,5,21,.238,13,18,.722,16,37,8,5,4,8,14,26,60,.433,10,23,.435,8,13,.615,10,36,13,4,8,13,16
W,65,53,17,47,.362,3,13,.231,28,35,.800,11,31,7,14,3,16,19,17,47,.362,5,12,.417,14,21,.667,9,28,7,6,2,26,24
W,70,61,26,63,.413,6,22,.273,12,19,.632,5,35,9,12,3,7,19,18,59,.305,7,31,.226,18,21,.857,10,38,9,4,5,14,19
