W,87,76,32,62,.516,8,23,.348,15,26,.577,15,35,21,14,5,12,23,23,52,.442,10,23,.435,20,26,.769,11,31,12,4,0,21,22
W,74,63,20,52,.385,9,25,.360,25,37,.676,7,32,10,9,1,12,23,20,52,.385,8,25,.320,15,21,.714,5,28,9,8,4,20,32
W,76,75,29,66,.439,4,19,.211,14,27,.519,8,32,9,8,4,9,25,25,59,.424,2,10,.200,23,26,.885,6,36,5,5,6,14,26
W,99,74,39,59,.661,10,23,.435,11,19,.579,9,38,26,4,5,10,27,20,55,.364,11,27,.407,23,30,.767,6,17,12,6,0,7,18
L,74,82,28,66,.424,7,24,.292,11,19,.579,9,36,12,9,4,12,30,24,59,.407,4,10,.400,30,38,.789,9,37,16,5,5,12,16
W,75,47,26,52,.500,1,11,.091,22,33,.667,11,42,19,13,3,16,8,20,66,.303,5,28,.179,2,4,.500,10,28,7,11,2,14,22
W,86,67,36,74,.486,7,23,.304,7,13,.538,15,42,22,12,0,16,19,22,57,.386,10,33,.303,13,14,.929,4,28,11,6,3,23,17
W,83,71,29,57,.509,3,10,.300,22,36,.611,13,32,13,8,3,12,15,26,55,.473,11,30,.367,8,12,.667,10,30,12,3,2,21,27
W,68,52,25,58,.431,8,27,.296,10,13,.769,9,30,17,10,4,10,18,19,43,.442,6,20,.300,8,11,.727,2,21,9,4,2,18,19
L,81,84,25,55,.455,7,20,.350,24,33,.727,5,28,13,6,6,10,25,26,56,.464,8,17,.471,24,33,.727,6,32,15,6,4,12,21
W,79,67,22,54,.407,10,22,.455,25,34,.735,10,34,10,5,5,11,20,23,55,.418,12,29,.414,9,13,.692,7,30,12,4,2,16,28
W,77,48,31,55,.564,6,21,.286,9,14,.643,10,40,24,7,9,17,15,21,65,.323,1,11,.091,5,9,.556,13,28,6,8,1,14,19
W,94,59,33,75,.440,11,31,.355,17,28,.607,17,43,24,10,4,14,22,17,56,.304,9,18,.500,16,27,.593,5,29,9,8,4,19,23
W,86,73,23,49,.469,6,17,.353,34,42,.810,8,39,14,2,2,11,21,25,59,.424,9,21,.429,14,23,.609,7,25,13,5,0,8,30
W,65,57,24,61,.393,5,25,.200,12,20,.600,9,33,13,9,5,12,15,20,53,.377,5,20,.250,12,14,.857,5,34,10,5,5,19,21
W,80,71,26,56,.464,6,15,.400,22,32,.688,11,35,14,5,7,8,23,22,52,.423,6,17,.353,21,31,.677,8,27,7,3,10,15,25
W (1 OT),86,79,26,60,.433,9,28,.321,25,29,.862,12,29,17,10,0,17,26,22,48,.458,4,15,.267,31,39,.795,8,28,8,6,2,18,29
W,78,62,26,48,.542,10,27,.370,16,19,.842,6,24,17,10,3,9,18,24,47,.511,3,9,.333,11,17,.647,5,18,9,5,0,13,18
L,64,78,19,54,.352,6,25,.240,20,34,.588,8,25,14,10,4,12,19,28,62,.452,8,20,.400,14,20,.700,14,45,13,5,2,15,29
W,76,64,24,53,.453,6,21,.286,22,34,.647,5,35,16,9,1,12,18,25,59,.424,7,26,.269,7,13,.538,6,31,14,7,3,14,23
W,75,60,26,50,.520,6,17,.353,17,24,.708,5,34,15,4,6,11,14,21,63,.333,8,28,.286,10,13,.769,10,29,14,8,3,6,22
W,74,52,25,59,.424,14,30,.467,10,17,.588,8,39,20,9,3,9,17,20,64,.313,4,16,.250,8,12,.667,15,40,10,5,2,13,16
W,76,59,24,61,.393,8,25,.320,20,34,.588,12,45,15,7,6,9,24,19,60,.317,4,20,.200,17,32,.531,14,40,4,4,1,12,28
W,69,63,22,47,.468,6,18,.333,19,22,.864,9,38,12,2,2,20,23,21,56,.375,1,14,.071,20,28,.714,9,25,11,7,1,11,22
W,75,71,25,53,.472,7,19,.368,18,24,.750,10,32,15,6,0,13,21,25,56,.446,3,18,.167,18,26,.692,10,24,19,7,5,11,19
L,71,77,24,63,.381,7,27,.259,16,23,.696,12,29,13,9,3,9,22,21,48,.438,8,20,.400,27,32,.844,9,30,9,4,1,15,22
W,89,78,28,53,.528,4,16,.250,29,37,.784,9,34,16,9,5,22,24,29,68,.426,1,9,.111,19,27,.704,12,30,13,12,2,17,31
W,67,65,23,51,.451,8,26,.308,13,19,.684,5,33,14,5,3,15,17,24,51,.471,8,15,.533,9,16,.563,3,26,14,7,2,11,18
L,72,74,26,61,.426,8,26,.308,12,16,.750,6,31,12,6,5,14,27,22,54,.407,9,21,.429,21,32,.656,10,38,15,6,3,16,19
