W,78,65,28,50,.560,6,17,.353,16,24,.667,12,33,16,6,8,19,21,25,58,.431,1,14,.071,14,22,.636,11,23,4,9,0,14,26
W,87,57,32,69,.464,5,21,.238,18,24,.750,19,51,14,6,9,14,18,17,55,.309,5,19,.263,18,22,.818,7,22,8,5,2,14,21
W,74,63,30,67,.448,3,10,.300,11,18,.611,16,36,15,9,7,8,21,22,54,.407,5,13,.385,14,23,.609,13,34,9,3,8,15,20
W,78,63,25,47,.532,2,10,.200,26,37,.703,6,34,9,5,1,12,17,21,58,.362,6,14,.429,15,17,.882,8,26,8,5,1,12,33
W,82,62,33,64,.516,3,15,.200,13,26,.500,17,44,15,12,5,11,18,20,54,.370,8,24,.333,14,18,.778,5,21,9,6,2,17,22
W,84,63,31,62,.500,6,13,.462,16,19,.842,8,28,16,9,5,8,17,26,56,.464,2,10,.200,9,15,.600,9,25,5,2,4,14,17
W,75,63,22,51,.431,2,12,.167,29,46,.630,12,38,8,6,9,15,19,25,70,.357,5,20,.250,8,10,.800,10,32,8,5,2,16,32
L,77,87,25,66,.379,8,25,.320,19,25,.760,14,35,12,6,2,8,27,28,53,.528,5,11,.455,26,34,.765,9,36,16,5,3,10,18
W,88,67,35,64,.547,4,19,.211,14,20,.700,17,47,18,3,9,17,17,26,65,.400,5,18,.278,10,14,.714,10,24,11,7,1,13,19
W,72,58,24,55,.436,6,21,.286,18,26,.692,10,33,15,6,8,14,20,23,62,.371,4,20,.200,8,15,.533,12,32,6,5,0,17,24
L,67,74,25,63,.397,9,19,.474,8,14,.571,10,33,14,6,5,12,17,26,64,.406,9,18,.500,13,17,.765,11,36,10,9,7,10,16
W,75,73,24,52,.462,11,23,.478,16,25,.640,10,28,12,4,6,13,19,27,63,.429,4,14,.286,15,22,.682,18,35,8,5,1,14,21
W,83,61,33,66,.500,7,25,.280,10,20,.500,17,36,18,13,2,12,25,20,50,.400,3,14,.214,18,26,.692,10,25,7,6,3,15,19
L,67,85,24,58,.414,7,20,.350,12,23,.522,10,30,8,3,1,14,25,30,61,.492,6,14,.429,19,30,.633,16,43,17,8,4,8,16
W,77,61,28,51,.549,2,9,.222,19,30,.633,13,40,12,2,4,10,23,18,52,.346,7,24,.292,18,27,.667,7,23,5,3,7,6,24
W,80,74,28,55,.509,9,23,.391,15,20,.750,9,31,16,7,4,16,21,27,51,.529,6,13,.462,14,16,.875,3,20,8,5,0,19,20
L,70,75,25,72,.347,6,18,.333,14,18,.778,16,42,15,7,7,11,25,21,55,.382,12,26,.462,21,30,.700,4,31,9,2,7,13,13
W,80,66,26,62,.419,5,16,.313,23,30,.767,13,38,9,5,9,6,25,22,55,.400,2,12,.167,20,31,.645,8,28,12,3,5,9,23
W,76,57,33,60,.550,6,19,.316,4,6,.667,6,32,12,6,3,6,19,16,50,.320,5,15,.333,20,25,.800,9,31,8,3,3,11,10
W,88,54,34,65,.523,9,20,.450,11,14,.786,13,44,18,6,11,11,12,18,57,.316,4,14,.286,14,19,.737,6,25,7,4,2,15,15
L (1 OT),84,90,33,62,.532,5,23,.217,13,22,.591,5,29,15,10,6,15,33,26,56,.464,8,17,.471,30,47,.638,12,38,13,5,1,15,20
L,77,84,26,62,.419,7,22,.318,18,23,.783,12,31,15,2,4,11,26,23,56,.411,8,19,.421,30,34,.882,11,34,12,3,3,8,19
W,80,61,30,58,.517,12,20,.600,8,14,.571,8,34,19,2,5,9,18,21,53,.396,6,19,.316,13,20,.650,8,27,10,4,1,10,17
W,82,48,29,56,.518,10,21,.476,14,22,.636,9,33,13,8,7,5,20,11,50,.220,3,11,.273,23,27,.852,14,33,5,0,0,15,20
W,89,62,31,64,.484,11,25,.440,16,21,.762,11,32,17,6,5,12,19,18,55,.327,4,14,.286,22,31,.710,15,34,7,3,8,16,20
W,80,70,26,62,.419,11,24,.458,17,23,.739,14,45,13,2,4,7,19,22,58,.379,5,14,.357,21,30,.700,13,36,7,1,3,6,17
L (1 OT),77,79,27,54,.500,10,20,.500,13,17,.765,5,33,15,3,7,9,21,28,72,.389,9,24,.375,14,24,.583,18,37,18,5,1,7,14
W,78,53,27,59,.458,2,10,.200,22,28,.786,13,37,15,6,5,4,15,17,48,.354,6,15,.400,13,18,.722,6,29,6,0,4,12,23
L,62,74,23,55,.418,6,22,.273,10,23,.435,9,33,10,2,7,5,22,26,62,.419,6,16,.375,16,23,.696,9,34,11,1,3,3,16
W,88,79,29,55,.527,7,10,.700,23,32,.719,8,44,19,3,7,11,27,29,68,.426,5,18,.278,16,37,.432,14,32,15,4,2,5,24
W,94,77,38,72,.528,7,18,.389,11,17,.647,17,43,26,3,6,11,16,28,62,.452,5,20,.250,16,21,.762,8,27,9,8,3,12,17
