W,80,56,33,56,.589,7,18,.389,7,9,.778,7,44,15,5,3,14,13,19,61,.311,10,33,.303,8,11,.727,4,20,10,6,1,7,14
W,75,71,22,48,.458,8,21,.381,23,32,.719,6,26,13,8,2,9,15,27,56,.482,8,19,.421,9,12,.750,10,33,13,3,4,11,25
W,65,58,23,50,.460,5,22,.227,14,22,.636,12,31,8,4,4,11,16,24,51,.471,4,15,.267,6,8,.750,6,24,9,6,2,10,24
W,77,66,28,56,.500,5,22,.227,16,21,.762,6,27,12,11,9,12,18,23,54,.426,7,18,.389,13,20,.650,5,22,7,8,1,16,17
W,86,63,30,50,.600,10,17,.588,16,23,.696,4,31,15,8,9,18,26,20,59,.339,2,15,.133,21,29,.724,12,28,10,7,1,14,18
W,80,63,29,50,.580,7,14,.500,15,18,.833,9,25,22,5,2,10,10,29,55,.527,3,12,.250,2,2,1.000,8,21,9,3,2,8,19
L,81,89,30,59,.508,12,26,.462,9,11,.818,7,28,16,8,6,21,21,33,62,.532,9,13,.692,14,25,.560,9,30,22,13,3,15,12
W,96,55,31,46,.674,9,19,.474,25,29,.862,4,31,22,7,7,10,18,18,62,.290,8,27,.296,11,16,.688,13,26,9,1,1,13,23
W,76,66,25,54,.463,3,14,.214,23,29,.793,10,39,8,4,1,15,14,25,59,.424,7,17,.412,9,12,.750,5,21,7,8,9,8,18
W,77,56,23,45,.511,10,21,.476,21,24,.875,4,23,16,4,5,10,12,23,50,.460,3,17,.176,7,10,.700,6,23,9,5,1,12,20
W,82,61,32,57,.561,12,25,.480,6,9,.667,9,37,20,8,7,13,15,21,52,.404,11,24,.458,8,15,.533,5,24,14,10,4,9,16
W,87,67,34,66,.515,13,27,.481,6,8,.750,9,43,16,4,4,18,12,27,77,.351,6,31,.194,7,9,.778,12,33,13,10,2,13,13
W,70,64,19,57,.333,5,21,.238,27,38,.711,15,35,10,5,4,9,17,23,53,.434,5,19,.263,13,16,.813,6,27,7,2,4,11,26
W,72,59,27,58,.466,11,31,.355,7,12,.583,6,34,21,9,9,11,20,22,59,.373,2,20,.100,13,22,.591,8,32,11,7,2,11,16
W,88,63,30,65,.462,8,25,.320,20,25,.800,14,45,10,5,6,12,15,22,57,.386,7,18,.389,12,17,.706,6,25,11,7,2,10,20
W,63,60,25,48,.521,4,11,.364,9,12,.750,5,33,10,3,6,16,15,24,62,.387,7,21,.333,5,11,.455,9,30,8,8,3,8,15
L,67,70,26,58,.448,6,24,.250,9,11,.818,10,34,8,3,2,12,16,25,53,.472,12,29,.414,8,13,.615,7,27,12,7,4,6,12
W,100,65,37,59,.627,11,21,.524,15,21,.714,6,32,23,7,5,14,20,22,59,.373,3,12,.250,18,25,.720,11,29,7,9,4,13,19
W (1 OT),62,56,21,48,.438,4,17,.235,16,19,.842,3,29,10,6,8,15,14,23,65,.354,5,21,.238,5,12,.417,16,38,10,4,2,12,19
L,65,74,22,57,.386,8,27,.296,13,16,.813,6,32,11,3,6,9,22,22,61,.361,7,23,.304,23,29,.793,16,44,17,6,5,8,17
W,74,68,26,58,.448,6,25,.240,16,23,.696,9,34,16,7,6,9,18,27,63,.429,5,24,.208,9,15,.600,8,33,9,4,2,11,21
W,66,61,21,50,.420,4,16,.250,20,23,.870,9,40,12,3,4,13,20,21,59,.356,5,15,.333,14,24,.583,12,33,7,6,1,7,21
W,70,65,25,49,.510,7,16,.438,13,22,.591,11,40,14,4,13,16,18,21,66,.318,7,23,.304,16,22,.727,13,31,6,9,1,6,18
W,72,61,22,54,.407,4,18,.222,24,27,.889,4,36,11,5,2,8,11,28,69,.406,3,25,.120,2,5,.400,7,35,17,4,1,9,20
W,93,62,28,47,.596,4,13,.308,33,44,.750,9,35,15,8,6,14,16,23,62,.371,5,18,.278,11,16,.688,11,25,8,7,3,15,32
L,57,70,20,50,.400,5,14,.357,12,22,.545,7,27,11,8,9,12,19,23,56,.411,12,26,.462,12,18,.667,12,37,13,5,2,10,18
L,63,68,21,56,.375,7,19,.368,14,19,.737,6,36,10,5,9,15,21,20,60,.333,8,23,.348,20,23,.870,7,34,12,9,4,9,17
W,86,82,31,57,.544,7,16,.438,17,19,.895,8,32,11,7,7,18,12,32,68,.471,13,27,.481,5,8,.625,9,25,22,9,5,15,17
L,79,83,28,61,.459,7,20,.350,16,18,.889,7,20,13,10,7,6,21,31,60,.517,7,17,.412,14,20,.700,17,39,16,3,2,15,17
W,81,55,30,54,.556,14,25,.560,7,10,.700,8,35,21,3,5,14,13,22,57,.386,5,20,.250,6,7,.857,6,24,13,6,3,8,13
L,62,80,24,58,.414,8,24,.333,6,8,.750,11,30,12,4,1,12,18,26,51,.510,8,21,.381,20,25,.800,9,30,12,9,3,9,12
