L,78,82,29,65,.446,6,17,.353,14,18,.778,9,31,12,8,1,13,25,30,57,.526,4,16,.250,18,26,.692,8,31,16,8,6,11,16
L,81,90,24,44,.545,5,14,.357,28,37,.757,6,26,8,4,4,19,26,31,59,.525,7,21,.333,21,26,.808,7,27,19,9,0,8,29
W,84,51,34,69,.493,6,21,.286,10,22,.455,17,49,11,7,3,9,14,18,65,.277,7,31,.226,8,14,.571,9,28,8,2,0,7,18
L,47,75,16,53,.302,6,28,.214,9,19,.474,12,30,8,4,0,19,18,31,63,.492,5,16,.313,8,14,.571,10,38,18,8,2,9,18
W,85,66,27,58,.466,5,11,.455,26,36,.722,9,30,17,1,2,4,21,22,51,.431,2,10,.200,20,26,.769,6,28,14,2,4,8,27
L,61,63,20,52,.385,4,18,.222,17,22,.773,7,33,12,5,2,14,17,24,50,.480,9,25,.360,6,16,.375,4,28,17,4,6,12,19
W,59,48,22,50,.440,2,13,.154,13,18,.722,6,26,14,7,6,21,17,18,47,.383,4,12,.333,8,12,.667,5,25,9,5,6,19,16
W,103,36,40,64,.625,11,28,.393,12,17,.706,4,44,28,14,7,13,13,13,62,.210,4,18,.222,6,11,.545,10,23,5,9,1,18,17
W,80,60,25,52,.481,1,7,.143,29,35,.829,7,40,12,2,4,12,20,19,64,.297,4,27,.148,18,24,.750,9,30,7,8,1,9,26
W,84,64,33,62,.532,7,17,.412,11,17,.647,14,42,19,8,4,15,17,24,51,.471,6,16,.375,10,23,.435,7,24,10,7,0,17,15
W,79,73,26,56,.464,9,19,.474,18,27,.667,7,32,16,8,1,9,20,26,57,.456,4,22,.182,17,27,.630,10,37,19,4,3,11,19
L,81,86,32,69,.464,3,16,.188,14,26,.538,11,37,11,11,5,12,23,30,61,.492,7,25,.280,19,29,.655,8,37,9,3,1,17,25
W,67,65,26,53,.491,7,17,.412,8,12,.667,4,27,10,15,4,14,16,23,54,.426,6,22,.273,13,24,.542,10,30,6,4,1,17,15
W,70,61,23,57,.404,5,23,.217,19,27,.704,10,32,7,16,1,21,16,26,58,.448,5,19,.263,4,7,.571,8,34,13,15,0,26,21
W,76,69,24,58,.414,4,18,.222,24,29,.828,12,38,8,15,3,13,14,23,59,.390,10,29,.345,13,15,.867,10,33,13,5,2,19,19
W,85,84,31,68,.456,7,22,.318,16,25,.640,13,32,13,14,6,11,22,26,47,.553,9,17,.529,23,27,.852,4,27,9,8,5,22,24
W,83,73,29,58,.500,8,19,.421,17,19,.895,7,28,15,8,5,11,13,30,61,.492,7,21,.333,6,7,.857,7,27,13,4,1,15,19
L (1 OT),86,91,30,68,.441,9,21,.429,17,25,.680,9,32,18,11,3,11,15,36,69,.522,5,17,.294,14,16,.875,7,36,19,10,4,16,23
W,75,69,19,52,.365,5,17,.294,32,43,.744,13,40,9,11,3,15,20,24,67,.358,5,22,.227,16,27,.593,16,39,5,10,2,17,27
L,69,73,21,50,.420,6,20,.300,21,27,.778,4,21,7,11,5,18,21,27,63,.429,2,10,.200,17,21,.810,16,39,14,11,4,21,22
W,67,55,23,55,.418,8,24,.333,13,23,.565,10,31,14,13,2,12,10,22,48,.458,7,20,.350,4,7,.571,4,25,9,9,0,21,22
L (1 OT),66,68,28,81,.346,5,28,.179,5,14,.357,17,49,9,8,1,7,13,25,58,.431,7,22,.318,11,16,.688,3,37,10,2,6,13,13
W,88,74,31,59,.525,8,16,.500,18,22,.818,7,34,16,8,1,11,15,28,63,.444,7,20,.350,11,14,.786,7,24,5,7,0,12,19
W,63,55,22,49,.449,7,16,.438,12,19,.632,6,33,9,8,4,15,15,22,58,.379,6,25,.240,5,10,.500,9,32,9,6,2,16,15
W,81,71,23,52,.442,4,12,.333,31,44,.705,11,35,14,16,5,15,23,23,57,.404,4,20,.200,21,27,.778,9,28,12,8,5,19,25
L,59,60,25,48,.521,1,5,.200,8,14,.571,9,26,8,8,3,17,14,24,55,.436,6,18,.333,6,14,.429,15,31,8,7,1,15,15
W,70,61,23,50,.460,5,19,.263,19,27,.704,9,31,12,9,4,13,16,21,53,.396,6,16,.375,13,20,.650,11,30,9,6,1,20,21
L,80,81,30,66,.455,5,14,.357,15,22,.682,11,34,10,9,3,10,20,26,53,.491,10,24,.417,19,26,.731,4,27,13,5,6,15,18
W,73,56,24,56,.429,3,16,.188,22,29,.759,12,38,9,7,2,6,18,20,53,.377,5,18,.278,11,13,.846,3,23,3,5,2,14,21
L,79,81,32,62,.516,8,22,.364,7,14,.500,9,23,15,10,3,13,14,27,51,.529,7,16,.438,20,27,.741,10,31,5,9,0,19,17
W,80,49,31,57,.544,10,19,.526,8,10,.800,6,38,21,13,6,19,15,18,58,.310,6,29,.207,7,7,1.000,4,22,7,12,2,18,12
W,80,69,27,60,.450,5,13,.385,21,27,.778,12,30,13,13,2,10,17,20,54,.370,4,20,.200,25,26,.962,12,35,10,8,2,20,22
W,77,68,27,63,.429,5,16,.313,18,29,.621,11,44,6,5,5,6,17,25,71,.352,5,33,.152,13,17,.765,13,43,11,2,3,12,24
