W,100,62,30,64,.469,6,23,.261,34,51,.667,15,39,14,16,9,9,23,20,59,.339,5,21,.238,17,25,.680,16,39,5,1,1,27,33
W,78,59,29,65,.446,7,25,.280,13,22,.591,14,40,16,8,8,15,29,17,51,.333,3,9,.333,22,35,.629,10,34,5,5,0,19,25
W,80,76,26,67,.388,10,36,.278,18,25,.720,11,32,16,8,2,12,24,27,53,.509,2,8,.250,20,31,.645,9,40,9,6,2,18,21
W,94,73,41,70,.586,7,19,.368,5,10,.500,11,38,15,10,2,13,24,24,52,.462,7,15,.467,18,25,.720,4,23,12,7,4,21,12
W,93,73,33,72,.458,4,15,.267,23,32,.719,14,45,17,18,6,14,22,24,68,.353,8,23,.348,17,27,.630,17,44,5,8,2,25,25
L,82,87,24,65,.369,7,13,.538,27,39,.692,12,38,14,9,1,11,28,24,50,.480,10,19,.526,29,36,.806,5,34,16,4,8,16,27
L,73,78,28,69,.406,3,25,.120,14,21,.667,13,41,15,5,3,10,34,20,44,.455,3,10,.300,35,51,.686,4,35,16,3,1,15,20
L,67,69,26,61,.426,2,13,.154,13,21,.619,11,38,8,5,6,10,14,27,66,.409,6,21,.286,9,10,.900,7,33,9,5,5,8,23
W,102,77,38,77,.494,6,23,.261,20,25,.800,14,46,16,10,4,8,27,25,60,.417,5,20,.250,22,31,.710,7,31,13,1,2,13,17
W,76,56,25,63,.397,8,25,.320,18,22,.818,11,42,18,9,1,9,19,21,52,.404,4,13,.308,10,20,.500,7,32,8,5,3,15,16
W,106,83,39,70,.557,9,18,.500,19,26,.731,11,40,16,7,5,11,29,26,60,.433,6,20,.300,25,38,.658,11,33,7,4,1,15,26
W,75,63,20,43,.465,6,12,.500,29,38,.763,7,28,9,10,11,17,18,22,67,.328,5,13,.385,14,19,.737,21,40,9,7,5,18,25
L,63,65,23,59,.390,9,25,.360,8,13,.615,10,29,11,8,9,7,18,21,52,.404,7,19,.368,16,19,.842,12,36,14,3,2,11,10
L,60,76,20,61,.328,5,22,.227,15,19,.789,8,23,8,4,4,7,23,21,43,.488,5,10,.500,29,36,.806,7,40,16,4,5,16,19
W,85,67,35,66,.530,7,21,.333,8,10,.800,11,32,20,9,6,10,28,18,46,.391,1,8,.125,30,39,.769,9,31,9,1,2,20,13
W,91,82,34,61,.557,11,24,.458,12,20,.600,7,27,16,10,7,12,23,27,58,.466,8,21,.381,20,29,.690,14,34,10,9,3,17,19
W (1 OT),97,94,33,61,.541,13,27,.481,18,25,.720,7,34,14,5,7,16,21,34,69,.493,8,22,.364,18,24,.750,7,31,20,7,3,9,17
W,79,70,24,55,.436,9,26,.346,22,34,.647,8,38,14,3,4,7,25,25,58,.431,2,10,.200,18,28,.643,9,35,7,5,3,8,24
W,77,71,28,62,.452,7,12,.583,14,19,.737,11,38,12,6,2,13,27,23,52,.442,6,16,.375,19,29,.655,6,26,15,5,7,12,22
W,78,73,25,59,.424,4,23,.174,24,35,.686,11,48,13,5,3,9,32,19,52,.365,7,22,.318,28,46,.609,4,31,7,4,5,8,26
W,65,55,21,44,.477,6,17,.353,17,25,.680,10,31,10,7,7,18,14,18,51,.353,6,13,.462,13,14,.929,11,27,9,12,1,18,22
W,70,67,29,72,.403,4,10,.400,8,12,.667,14,39,9,11,2,8,23,19,54,.352,5,22,.227,24,35,.686,16,45,11,5,8,13,13
W,90,73,37,59,.627,9,19,.474,7,12,.583,5,26,24,6,2,13,25,24,48,.500,2,13,.154,23,34,.676,6,24,16,7,1,14,16
W,86,82,28,65,.431,6,17,.353,24,33,.727,14,38,13,6,1,9,26,28,53,.528,5,16,.313,21,27,.778,4,29,9,5,2,11,22
W,78,68,24,61,.393,10,28,.357,20,27,.741,11,35,12,6,3,9,23,23,51,.451,4,10,.400,18,27,.667,8,35,6,4,1,17,23
L,69,87,26,65,.400,9,30,.300,8,11,.727,11,27,19,6,2,10,25,26,53,.491,10,19,.526,25,33,.758,11,36,19,5,4,9,12
W (1 OT),59,55,17,46,.370,4,18,.222,21,27,.778,5,32,5,8,6,16,25,17,59,.288,4,15,.267,17,29,.586,14,37,8,4,3,18,25
L,69,70,29,62,.468,5,15,.333,6,11,.545,7,27,10,8,2,8,25,21,53,.396,5,16,.313,23,32,.719,16,36,4,6,4,15,16
W,74,68,26,53,.491,7,18,.389,15,18,.833,7,25,12,7,3,16,18,27,64,.422,5,16,.313,9,16,.563,18,36,6,6,4,14,20
W,66,64,24,50,.480,7,18,.389,11,19,.579,8,31,11,4,3,15,22,20,48,.417,7,14,.500,17,24,.708,7,27,10,6,1,14,19
W,73,70,26,55,.473,7,19,.368,14,19,.737,9,34,13,1,2,9,24,18,46,.391,6,15,.400,28,38,.737,9,31,10,2,1,9,19
