L,78,84,28,58,.483,11,30,.367,11,13,.846,6,30,16,4,2,11,21,30,62,.484,9,30,.300,15,20,.750,6,32,14,5,2,8,20
W,70,60,23,44,.523,7,17,.412,17,22,.773,2,33,10,2,4,15,16,22,62,.355,6,21,.286,10,10,1.000,7,27,10,6,2,10,24
W,71,67,24,57,.421,11,28,.393,12,19,.632,4,26,10,8,1,6,16,26,58,.448,5,18,.278,10,13,.769,9,38,17,3,3,12,21
W,83,63,30,54,.556,11,24,.458,12,17,.706,5,41,15,2,1,14,9,26,68,.382,9,34,.265,2,2,1.000,6,26,14,10,2,6,17
W,97,51,33,54,.611,12,19,.632,19,26,.731,3,42,20,6,2,9,16,19,64,.297,6,24,.250,7,13,.538,9,31,9,5,2,9,22
W,93,70,30,54,.556,9,20,.450,24,28,.857,8,31,16,8,3,11,17,28,54,.519,9,23,.391,5,10,.500,5,22,15,8,3,15,24
L,67,82,27,57,.474,7,18,.389,6,11,.545,7,28,14,6,1,12,17,30,56,.536,13,25,.520,9,12,.750,5,30,23,7,1,10,15
W,73,65,24,57,.421,10,26,.385,15,20,.750,6,27,11,4,4,4,16,27,70,.386,5,24,.208,6,13,.462,21,45,9,0,5,12,16
L,57,76,22,50,.440,6,25,.240,7,12,.583,6,24,12,6,3,14,19,27,54,.500,6,16,.375,16,23,.696,8,32,15,2,2,12,16
W,81,79,29,50,.580,13,22,.591,10,17,.588,2,18,16,6,2,15,20,32,61,.525,3,17,.176,12,17,.706,10,28,13,9,4,10,18
L,52,68,19,43,.442,6,20,.300,8,11,.727,2,21,9,4,2,18,19,25,58,.431,8,27,.296,10,13,.769,9,30,17,10,4,10,18
W,63,59,20,47,.426,4,15,.267,19,23,.826,3,17,4,11,1,8,10,24,49,.490,7,19,.368,4,5,.800,7,29,11,1,2,16,22
L,76,84,26,65,.400,12,35,.343,12,14,.857,7,25,13,5,3,8,19,28,56,.500,9,21,.429,19,21,.905,9,39,14,6,3,15,17
W,80,44,27,46,.587,8,20,.400,18,29,.621,4,29,18,7,1,6,15,16,48,.333,5,21,.238,7,9,.778,5,24,8,4,1,12,26
L,73,75,27,56,.482,8,24,.333,11,18,.611,6,30,10,5,3,6,15,28,52,.538,13,22,.591,6,15,.400,5,31,10,6,3,10,20
L,58,59,22,55,.400,11,24,.458,3,4,.750,7,26,13,5,3,8,16,24,50,.480,6,19,.316,5,10,.500,8,32,15,4,0,13,9
W,77,44,27,56,.482,7,21,.333,16,18,.889,6,33,11,7,1,6,14,16,45,.356,4,11,.364,8,11,.727,4,27,6,4,3,14,21
L,60,74,20,49,.408,4,18,.222,16,18,.889,5,26,7,2,1,13,17,25,63,.397,12,28,.429,12,13,.923,13,37,11,5,0,10,22
L,41,51,13,48,.271,7,24,.292,8,13,.615,6,28,8,6,4,13,15,20,47,.426,4,13,.308,7,11,.636,7,36,9,7,2,14,16
L,55,74,16,49,.327,8,24,.333,15,17,.882,3,21,12,5,0,8,17,26,46,.565,8,15,.533,14,17,.824,3,33,15,4,4,7,17
L,67,76,26,55,.473,8,25,.320,7,10,.700,5,25,14,4,1,8,16,24,53,.453,12,30,.400,16,19,.842,6,30,16,3,3,10,16
W,68,50,22,46,.478,15,25,.600,9,13,.692,5,25,19,10,5,11,13,17,46,.370,8,18,.444,8,9,.889,8,29,12,7,1,17,16
W,67,58,22,52,.423,3,19,.158,20,30,.667,5,35,6,3,6,7,16,24,62,.387,4,18,.222,6,13,.462,10,36,11,4,3,9,24
W,57,54,18,46,.391,6,13,.462,15,17,.882,1,27,11,3,5,7,12,21,51,.412,4,17,.235,8,14,.571,3,32,13,7,5,9,18
W,82,66,34,55,.618,12,22,.545,2,2,1.000,4,20,20,4,0,6,18,23,48,.479,10,26,.385,10,14,.714,11,26,11,1,1,15,11
W,83,69,27,61,.443,10,23,.435,19,21,.905,6,29,18,6,1,1,11,25,55,.455,11,23,.478,8,9,.889,5,31,16,0,7,12,21
W,53,50,20,49,.408,5,17,.294,8,9,.889,0,25,11,5,4,8,12,20,66,.303,7,31,.226,3,4,.750,17,43,12,4,2,9,15
L,56,59,15,48,.313,8,25,.320,18,23,.783,6,32,9,9,1,12,13,20,48,.417,5,17,.294,14,15,.933,1,28,7,4,0,13,18
W,75,66,27,49,.551,8,19,.421,13,18,.722,3,29,15,4,5,9,12,25,59,.424,11,25,.440,5,6,.833,7,26,15,5,3,8,18
W,66,44,24,53,.453,7,26,.269,11,11,1.000,4,32,13,11,5,8,12,15,55,.273,4,27,.148,10,14,.714,10,34,5,5,4,12,13
W,54,52,18,46,.391,6,15,.400,12,13,.923,3,26,9,7,3,12,11,18,47,.383,5,16,.313,11,13,.846,5,30,13,6,2,12,12
W,66,60,21,44,.477,6,16,.375,18,25,.720,1,20,6,11,3,11,16,23,54,.426,3,18,.167,11,17,.647,12,36,7,5,4,18,23
W (1 OT),57,52,19,52,.365,6,25,.240,13,20,.650,3,31,4,3,2,6,16,20,63,.317,2,24,.083,10,13,.769,9,43,11,4,4,6,20
W,56,54,21,47,.447,6,18,.333,8,12,.667,1,29,6,4,5,6,13,20,54,.370,6,22,.273,8,13,.615,8,32,12,3,4,6,14
