W,82,71,30,64,.469,8,29,.276,14,25,.560,12,36,15,2,6,10,11,28,56,.500,10,19,.526,5,7,.714,3,27,10,3,3,13,23
W,81,76,22,55,.400,10,27,.370,27,36,.750,12,34,12,9,6,9,19,26,61,.426,8,17,.471,16,21,.762,9,34,6,2,7,11,28
W,73,63,23,60,.383,6,24,.250,21,27,.778,13,40,9,5,3,7,18,25,64,.391,3,19,.158,10,18,.556,11,33,9,3,4,9,21
L,66,90,24,48,.500,8,21,.381,10,15,.667,3,21,11,1,1,16,20,31,58,.534,9,17,.529,19,25,.760,8,30,13,8,1,7,17
W,74,68,21,52,.404,6,23,.261,26,34,.765,8,36,11,4,4,9,13,26,66,.394,10,29,.345,6,9,.667,7,28,13,5,0,6,27
W,102,72,36,60,.600,9,19,.474,21,24,.875,9,39,20,9,10,14,18,23,61,.377,10,19,.526,16,19,.842,5,20,13,11,1,16,21
W,83,75,27,60,.450,9,28,.321,20,26,.769,11,37,14,5,7,13,22,27,64,.422,8,21,.381,13,20,.650,10,32,10,6,3,13,24
W,96,79,38,61,.623,7,16,.438,13,23,.565,5,31,22,7,5,10,14,31,69,.449,13,27,.481,4,4,1.000,8,27,15,8,1,11,20
L,50,67,14,34,.412,5,13,.385,17,21,.810,4,26,5,1,3,19,13,26,59,.441,10,25,.400,5,10,.500,5,21,15,7,3,3,17
W,99,53,37,61,.607,11,21,.524,14,19,.737,5,37,30,7,7,11,10,19,59,.322,7,20,.350,8,11,.727,6,25,8,7,0,15,21
W (1 OT),77,75,28,62,.452,3,18,.167,18,23,.783,9,48,16,2,9,18,26,23,77,.299,8,28,.286,21,29,.724,12,30,10,7,5,5,19
W,105,58,37,60,.617,12,23,.522,19,24,.792,10,47,30,4,5,9,9,21,65,.323,8,20,.400,8,12,.667,6,20,8,4,1,8,16
W,115,74,42,67,.627,11,25,.440,20,31,.645,14,52,28,9,6,17,9,26,73,.356,14,39,.359,8,10,.800,6,22,17,9,3,13,22
L (1 OT),68,70,26,57,.456,5,19,.263,11,24,.458,10,37,14,3,4,17,25,26,66,.394,4,17,.235,14,25,.560,11,35,7,6,2,7,25
L,58,71,20,52,.385,2,12,.167,16,19,.842,6,26,12,3,6,9,15,26,59,.441,5,12,.417,14,18,.778,9,34,15,4,4,7,18
W,56,54,21,52,.404,6,16,.375,8,9,.889,3,29,8,8,4,9,11,23,60,.383,5,16,.313,3,4,.750,11,36,12,5,5,12,11
L,59,77,19,56,.339,7,22,.318,14,25,.560,14,27,13,8,2,15,19,28,51,.549,5,12,.417,16,22,.727,10,33,8,9,9,15,23
W,59,53,18,43,.419,5,21,.238,18,24,.750,8,34,11,6,3,11,10,21,50,.420,6,8,.750,5,10,.500,6,28,9,8,2,8,24
W,92,71,35,63,.556,11,22,.500,11,12,.917,8,31,16,5,3,6,15,26,54,.481,9,17,.529,10,12,.833,5,23,12,4,2,12,15
W (1 OT),80,75,29,70,.414,6,24,.250,16,24,.667,14,39,17,4,3,12,19,28,73,.384,6,26,.231,13,16,.813,13,42,9,8,8,11,24
W,73,64,25,52,.481,5,16,.313,18,28,.643,7,32,15,4,3,10,17,23,60,.383,6,17,.353,12,14,.857,8,32,8,7,2,11,24
W,96,74,28,47,.596,8,17,.471,32,42,.762,7,32,13,7,2,15,19,26,65,.400,3,25,.120,19,23,.826,14,29,7,10,1,12,32
L,69,71,24,47,.511,6,18,.333,15,18,.833,8,28,12,3,1,12,13,28,59,.475,7,18,.389,8,12,.667,11,25,16,6,3,9,17
L,66,76,25,50,.500,6,14,.429,10,14,.714,6,29,11,3,3,14,16,30,62,.484,7,21,.333,9,11,.818,7,27,16,6,6,8,17
W,90,82,35,52,.673,10,17,.588,10,17,.588,2,24,26,7,3,17,14,33,69,.478,7,22,.318,9,10,.900,13,32,16,7,6,16,17
W,88,47,33,62,.532,8,17,.471,14,19,.737,9,38,21,11,2,8,18,15,49,.306,4,18,.222,13,18,.722,8,26,10,5,4,20,19
W,75,73,31,62,.500,9,22,.409,4,8,.500,9,34,18,6,2,7,11,29,61,.475,11,23,.478,4,5,.800,7,28,15,2,3,10,11
W,80,69,30,56,.536,9,25,.360,11,15,.733,10,30,23,8,3,11,14,28,60,.467,10,17,.588,3,6,.500,8,21,12,5,3,11,16
W,81,46,28,63,.444,16,40,.400,9,14,.643,14,45,19,6,8,9,15,15,60,.250,5,22,.227,11,16,.688,15,40,9,4,3,15,17
W,70,64,29,59,.492,7,24,.292,5,12,.417,8,34,10,7,6,8,14,26,61,.426,4,17,.235,8,12,.667,9,34,9,5,7,9,15
W,57,55,18,58,.310,4,21,.190,17,24,.708,10,40,10,8,8,9,13,18,59,.305,6,16,.375,13,16,.813,6,33,4,7,10,10,22
