W,70,57,22,58,.379,5,21,.238,21,27,.778,16,42,14,7,1,14,17,20,50,.400,7,21,.333,10,13,.769,4,23,14,6,7,15,26
W,99,77,32,66,.485,9,17,.529,26,37,.703,15,34,21,7,3,7,22,26,49,.531,5,13,.385,20,25,.800,6,27,9,3,2,20,27
W,79,67,26,59,.441,9,21,.429,18,21,.857,15,42,16,3,12,16,21,21,56,.375,6,16,.375,19,25,.760,6,20,13,9,4,9,20
L,69,71,23,52,.442,9,20,.450,14,24,.583,11,29,14,9,6,16,21,28,56,.500,1,9,.111,14,22,.636,12,31,15,10,3,12,19
L,61,80,25,63,.397,4,15,.267,7,12,.583,12,32,16,5,3,12,19,28,58,.483,7,22,.318,17,24,.708,12,36,12,12,7,9,19
L,54,88,19,58,.328,4,20,.200,12,24,.500,13,34,7,2,5,14,24,31,55,.564,9,20,.450,17,24,.708,4,34,23,8,2,7,23
W,79,40,26,61,.426,6,24,.250,21,27,.778,12,46,17,7,5,7,15,15,53,.283,4,21,.190,6,13,.462,5,22,7,3,5,13,24
W,72,54,27,50,.540,6,15,.400,12,22,.545,10,40,15,5,9,19,19,18,59,.305,5,16,.313,13,21,.619,9,25,7,10,2,9,20
L,65,69,25,58,.431,5,18,.278,10,14,.714,16,46,14,2,3,23,16,26,65,.400,8,26,.308,9,11,.818,5,20,12,7,1,5,18
L,56,68,23,55,.418,5,19,.263,5,9,.556,10,24,11,7,0,14,18,23,53,.434,4,13,.308,18,25,.720,11,30,9,9,6,10,12
W,62,42,24,63,.381,2,10,.200,12,18,.667,19,47,8,10,8,13,12,18,53,.340,3,12,.250,3,7,.429,5,24,12,5,9,15,19
W,88,53,32,48,.667,8,14,.571,16,27,.593,8,46,19,5,4,19,15,16,65,.246,7,27,.259,14,16,.875,10,24,8,7,3,9,23
W,83,65,27,57,.474,10,26,.385,19,28,.679,13,30,22,7,1,9,19,21,46,.457,8,21,.381,15,20,.750,7,26,13,3,3,16,24
W,94,53,37,67,.552,8,18,.444,12,21,.571,14,41,18,11,6,10,11,22,58,.379,4,16,.250,5,6,.833,8,27,10,5,1,18,16
W,77,68,24,55,.436,7,15,.467,22,31,.710,13,39,15,11,5,17,22,20,57,.351,10,25,.400,18,22,.818,8,26,13,5,3,18,27
W,90,66,35,62,.565,5,17,.294,15,25,.600,11,35,21,8,4,10,23,23,57,.404,4,15,.267,16,24,.667,13,37,16,4,2,16,23
W,81,58,30,50,.600,4,12,.333,17,33,.515,14,38,14,5,3,14,24,20,50,.400,5,15,.333,13,23,.565,10,23,8,6,2,10,26
W,79,75,28,53,.528,11,19,.579,12,23,.522,6,34,18,6,3,14,21,24,56,.429,11,27,.407,16,22,.727,3,23,12,7,3,13,24
W,86,72,24,39,.615,10,18,.556,28,36,.778,3,32,16,1,3,17,14,26,59,.441,9,31,.290,11,19,.579,6,19,8,11,2,7,30
W,83,52,30,64,.469,12,23,.522,11,14,.786,17,52,21,3,6,11,12,19,56,.339,8,23,.348,6,14,.429,5,18,8,5,6,8,15
W,75,65,23,53,.434,6,15,.400,23,35,.657,11,33,10,5,6,10,18,23,53,.434,7,16,.438,12,19,.632,7,30,13,5,0,15,26
W,67,55,25,56,.446,3,11,.273,14,18,.778,8,33,13,5,1,8,19,21,52,.404,4,16,.250,9,18,.500,9,32,11,5,6,12,19
L,63,75,22,57,.386,1,12,.083,18,22,.818,11,38,7,8,4,16,17,25,54,.463,8,20,.400,17,21,.810,2,25,8,11,3,13,18
W,79,58,29,54,.537,1,6,.167,20,28,.714,10,33,16,4,6,7,20,20,53,.377,3,18,.167,15,22,.682,6,23,12,5,1,11,23
W,59,50,24,53,.453,6,17,.353,5,14,.357,7,35,18,5,1,9,13,20,50,.400,6,15,.400,4,5,.800,2,26,8,4,6,11,16
W (1 OT),76,71,23,56,.411,5,18,.278,25,32,.781,15,35,10,6,9,16,18,25,53,.472,2,11,.182,19,23,.826,8,26,8,8,2,16,25
W,88,64,32,59,.542,11,23,.478,13,21,.619,10,38,18,4,5,11,15,25,58,.431,3,18,.167,11,12,.917,4,24,12,8,4,12,19
W,71,55,27,53,.509,9,20,.450,8,14,.571,7,33,16,5,6,11,12,21,52,.404,8,22,.364,5,10,.500,4,17,10,6,3,9,18
