W,76,61,24,54,.444,10,26,.385,18,26,.692,9,35,18,9,5,11,18,24,58,.414,3,13,.231,10,14,.714,8,30,13,3,0,14,19
W,66,49,25,55,.455,6,12,.500,10,15,.667,13,38,18,5,9,10,14,19,58,.328,3,21,.143,8,11,.727,10,27,11,5,8,10,16
W,81,72,25,48,.521,4,17,.235,27,31,.871,6,27,15,7,6,12,14,26,55,.473,10,19,.526,10,11,.909,6,19,17,1,4,12,25
W,71,63,21,48,.438,2,9,.222,27,33,.818,11,32,8,6,3,16,18,22,47,.468,5,15,.333,14,19,.737,5,20,14,10,4,17,23
W,73,58,30,64,.469,5,16,.313,8,11,.727,8,31,24,5,2,7,8,22,51,.431,7,23,.304,7,9,.778,3,27,17,3,6,12,14
W,66,63,26,49,.531,2,13,.154,12,17,.706,5,27,17,5,6,9,12,25,64,.391,5,18,.278,8,10,.800,14,34,11,4,3,7,19
W,79,45,26,56,.464,13,31,.419,14,20,.700,13,45,18,9,11,16,14,20,71,.282,4,25,.160,1,1,1.000,12,30,12,5,1,15,19
W,76,61,29,61,.475,7,19,.368,11,18,.611,5,30,17,9,7,10,20,18,58,.310,9,28,.321,16,28,.571,15,40,8,5,3,17,19
W,89,59,36,63,.571,8,20,.400,9,17,.529,10,32,22,8,9,10,14,23,56,.411,3,13,.231,10,13,.769,7,27,11,3,4,19,17
W,82,57,24,49,.490,8,24,.333,26,34,.765,12,41,18,3,6,15,19,17,61,.279,8,26,.308,15,17,.882,12,25,6,5,1,8,27
W,107,53,39,66,.591,11,21,.524,18,21,.857,14,44,22,3,3,13,18,21,53,.396,9,25,.360,2,12,.167,6,14,13,7,3,18,21
W,89,63,35,59,.593,8,14,.571,11,15,.733,13,34,21,3,8,8,15,24,61,.393,5,20,.250,10,12,.833,12,25,12,4,1,11,14
W,76,50,30,63,.476,9,20,.450,7,12,.583,16,44,15,7,4,13,21,17,52,.327,8,23,.348,8,15,.533,7,25,12,3,4,13,12
W,65,63,26,59,.441,3,17,.176,10,15,.667,13,43,15,2,3,13,14,24,61,.393,10,22,.455,5,11,.455,6,26,16,7,1,5,16
W,61,57,18,39,.462,3,7,.429,22,30,.733,6,28,13,5,6,13,17,19,55,.345,8,22,.364,11,20,.550,15,28,12,3,0,14,25
L,68,89,25,56,.446,4,14,.286,14,23,.609,13,33,12,6,4,29,21,33,69,.478,9,20,.450,14,23,.609,9,25,20,15,6,12,20
W,77,68,27,56,.482,9,20,.450,14,19,.737,13,31,14,10,1,16,21,22,51,.431,8,23,.348,16,21,.762,7,23,19,5,6,15,19
W,74,64,29,65,.446,4,17,.235,12,18,.667,15,39,13,5,4,12,22,22,53,.415,2,19,.105,18,22,.818,7,29,11,6,3,14,22
W,62,53,23,54,.426,6,20,.300,10,15,.667,10,31,12,4,1,10,18,17,58,.293,6,25,.240,13,19,.684,15,36,12,5,4,5,16
W,65,61,17,48,.354,5,21,.238,26,28,.929,10,32,12,3,7,16,20,24,58,.414,4,18,.222,9,10,.900,7,23,14,5,2,5,22
W,78,75,24,49,.490,11,25,.440,19,26,.731,11,34,15,3,2,16,19,23,57,.404,7,18,.389,22,23,.957,8,24,14,9,6,7,20
L,68,73,28,67,.418,8,22,.364,4,6,.667,16,36,15,10,6,14,21,22,53,.415,9,20,.450,20,27,.741,13,37,11,7,5,15,10
L,54,56,20,52,.385,7,18,.389,7,13,.538,9,31,12,3,2,16,18,23,53,.434,6,17,.353,4,12,.333,6,28,14,7,4,11,18
W,72,69,27,50,.540,8,23,.348,10,14,.714,7,34,19,2,4,14,18,24,56,.429,5,16,.313,16,19,.842,6,24,11,9,0,6,18
W,70,52,30,56,.536,7,18,.389,3,5,.600,9,33,14,5,7,7,12,20,53,.377,5,18,.278,7,10,.700,7,22,10,1,2,7,14
L,78,84,27,60,.450,7,27,.259,17,25,.680,10,28,16,2,3,8,32,24,47,.511,6,15,.400,30,43,.698,7,26,13,2,3,7,21
L,65,67,24,56,.429,8,18,.444,9,11,.818,8,27,17,3,2,16,18,23,55,.418,5,20,.250,16,20,.800,10,27,18,5,8,9,13
W,60,54,21,55,.382,6,23,.261,12,19,.632,14,41,15,3,10,13,18,18,55,.327,5,16,.313,13,19,.684,9,31,8,3,3,9,20
L,69,72,29,61,.475,8,22,.364,3,5,.600,17,33,13,3,2,10,17,26,45,.578,8,15,.533,12,15,.800,2,13,16,4,5,4,9
W,71,62,21,45,.467,3,10,.300,26,34,.765,13,36,11,3,7,18,19,22,59,.373,3,15,.200,15,19,.789,9,23,15,8,3,8,29
W,75,64,27,60,.450,9,20,.450,12,18,.667,14,37,13,6,1,15,15,26,64,.406,6,21,.286,6,8,.750,12,26,13,7,6,12,17
