L,64,78,20,53,.377,9,28,.321,15,27,.556,6,31,15,5,1,17,31,23,57,.404,7,20,.350,25,38,.658,14,46,15,10,1,14,26
W,63,58,23,56,.411,3,9,.333,14,21,.667,7,29,10,2,2,12,22,22,56,.393,5,24,.208,9,12,.750,7,32,11,6,5,17,27
W,89,76,32,59,.542,13,25,.520,12,21,.571,7,34,21,5,4,16,21,27,66,.409,8,32,.250,14,19,.737,8,26,16,4,3,12,20
W,89,75,31,60,.517,7,21,.333,20,31,.645,12,35,20,5,2,13,13,30,64,.469,11,23,.478,4,9,.444,11,34,16,8,3,13,26
W,81,72,29,58,.500,8,16,.500,15,18,.833,8,37,15,3,6,16,18,25,67,.373,7,28,.250,15,17,.882,11,30,10,10,5,9,19
L,58,86,18,47,.383,4,10,.400,18,21,.857,2,22,15,0,2,12,18,31,56,.554,13,25,.520,11,16,.688,6,34,18,6,2,9,16
W,64,58,24,49,.490,9,22,.409,7,13,.538,10,29,16,5,3,18,16,22,50,.440,6,18,.333,8,10,.800,5,18,14,9,3,10,19
L,66,79,25,65,.385,4,18,.222,12,16,.750,12,32,17,7,4,14,19,25,56,.446,10,24,.417,19,26,.731,10,31,17,9,4,13,15
L,66,68,22,56,.393,9,26,.346,13,19,.684,8,27,13,6,3,11,22,27,54,.500,6,18,.333,8,20,.400,8,32,20,5,1,13,16
L,61,86,23,52,.442,6,10,.600,9,18,.500,5,25,14,3,2,21,19,30,53,.566,10,19,.526,16,20,.800,4,27,20,6,3,17,18
L,70,74,23,51,.451,8,23,.348,16,25,.640,9,31,11,3,3,15,23,24,49,.490,8,22,.364,18,29,.621,6,25,13,8,2,12,19
W,87,64,29,56,.518,9,19,.474,20,25,.800,7,36,20,10,1,14,15,23,65,.354,9,31,.290,9,10,.900,8,29,12,9,2,16,19
L,67,77,25,64,.391,4,23,.174,13,16,.813,10,33,10,7,1,11,26,24,49,.490,10,21,.476,19,27,.704,7,37,17,3,2,17,19
W,72,65,27,57,.474,6,21,.286,12,20,.600,10,34,18,6,6,21,19,23,58,.397,8,26,.308,11,18,.611,11,30,16,13,2,18,23
W,83,69,30,62,.484,7,15,.467,16,23,.696,9,35,16,8,1,10,15,25,65,.385,8,23,.348,11,12,.917,11,35,13,6,3,15,17
W,73,47,28,62,.452,8,22,.364,9,14,.643,6,36,18,9,5,10,16,18,58,.310,2,16,.125,9,14,.643,12,34,8,6,3,15,19
W,68,64,23,46,.500,3,12,.250,19,30,.633,5,28,10,4,2,12,17,24,65,.369,9,30,.300,7,13,.538,14,33,11,5,3,8,24
L,55,61,19,65,.292,6,28,.214,11,17,.647,10,32,11,6,3,13,23,21,47,.447,3,13,.231,16,24,.667,2,36,13,5,1,20,21
W,71,68,28,55,.509,4,14,.286,11,15,.733,4,29,13,6,2,19,20,20,49,.408,4,14,.286,24,31,.774,5,28,12,8,2,16,24
W,76,70,24,51,.471,5,14,.357,23,37,.622,7,33,12,2,3,8,24,22,51,.431,4,15,.267,22,31,.710,3,26,14,1,1,10,28
W,74,65,18,45,.400,3,10,.300,35,46,.761,3,26,8,6,1,11,23,25,69,.362,4,15,.267,11,16,.688,16,40,8,4,6,12,31
L,70,74,25,55,.455,4,12,.333,16,21,.762,9,33,9,6,2,13,19,25,55,.455,9,24,.375,15,20,.750,6,23,10,9,8,10,21
W,67,64,21,54,.389,5,15,.333,20,32,.625,14,37,11,3,1,12,15,24,55,.436,7,20,.350,9,13,.692,7,30,16,3,2,13,21
W,74,65,20,44,.455,7,15,.467,27,36,.750,5,24,10,9,4,16,17,23,58,.397,7,21,.333,12,19,.632,10,30,12,8,3,22,25
W,77,63,22,54,.407,7,17,.412,26,34,.765,11,31,17,14,2,16,19,23,51,.451,5,16,.313,12,19,.632,8,28,14,11,6,21,23
L (1 OT),69,78,23,51,.451,6,18,.333,17,32,.531,7,34,7,6,5,18,31,30,66,.455,4,18,.222,14,26,.538,14,39,15,7,2,12,25
L,72,79,25,58,.431,8,18,.444,14,20,.700,5,24,9,8,4,20,24,25,48,.521,6,21,.286,23,33,.697,5,25,10,12,7,16,24
W,96,85,35,57,.614,14,20,.700,12,20,.600,7,32,19,2,5,15,22,29,60,.483,4,14,.286,23,24,.958,5,22,11,9,3,11,16
W (1 OT),75,71,29,65,.446,5,20,.250,12,14,.857,12,38,12,8,6,12,18,24,63,.381,7,20,.350,16,19,.842,13,38,14,4,5,15,18
W,68,59,26,57,.456,8,23,.348,8,17,.471,10,34,13,7,2,10,14,26,59,.441,7,27,.259,0,1,.000,8,29,16,3,2,11,20
L,49,79,20,64,.313,3,15,.200,6,22,.273,12,30,3,7,7,9,14,28,61,.459,14,25,.560,9,13,.692,12,45,11,6,6,14,24
