W,96,59,31,49,.633,12,23,.522,22,35,.629,10,34,21,11,6,15,17,21,47,.447,7,19,.368,10,13,.769,3,17,11,5,1,15,25
W,107,78,41,60,.683,8,21,.381,17,25,.680,6,40,21,7,6,15,22,26,62,.419,12,22,.545,14,25,.560,5,18,12,4,1,12,22
L,59,68,25,56,.446,4,13,.308,5,14,.357,10,34,12,7,3,19,21,27,56,.482,4,19,.211,10,15,.667,7,28,11,6,8,10,16
W,86,62,32,58,.552,6,18,.333,16,27,.593,7,29,19,9,3,11,25,19,46,.413,5,14,.357,19,28,.679,6,29,9,4,2,17,25
W,71,59,23,57,.404,9,27,.333,16,23,.696,11,35,20,11,3,16,24,17,46,.370,8,24,.333,17,23,.739,10,36,14,7,3,20,20
W,72,66,21,45,.467,7,20,.350,23,35,.657,5,30,15,5,1,14,21,23,55,.418,8,20,.400,12,20,.600,11,33,14,7,3,18,30
W,85,80,23,58,.397,6,19,.316,33,44,.750,22,43,12,5,3,14,12,30,65,.462,10,27,.370,10,13,.769,9,26,13,8,4,11,33
W,85,57,31,63,.492,10,22,.455,13,15,.867,13,43,17,4,3,10,16,22,57,.386,7,21,.333,6,14,.429,5,22,9,4,5,8,15
L,61,75,20,55,.364,7,18,.389,14,19,.737,3,29,15,6,2,16,18,30,60,.500,3,18,.167,12,18,.667,8,39,16,7,9,13,15
W,67,65,26,59,.441,7,19,.368,8,14,.571,11,34,5,4,4,12,22,23,55,.418,6,18,.333,13,20,.650,9,31,9,4,5,13,17
W,78,68,26,52,.500,10,19,.526,16,24,.667,4,32,19,6,7,17,21,23,71,.324,5,20,.250,17,21,.810,15,38,14,5,5,10,23
L,68,72,24,64,.375,8,17,.471,12,17,.706,13,31,13,8,5,12,21,24,55,.436,6,19,.316,18,27,.667,14,39,12,6,9,16,18
W,92,71,31,71,.437,14,39,.359,16,27,.593,12,43,24,11,6,10,18,22,59,.373,15,38,.395,12,18,.667,7,35,13,7,0,21,22
W,102,75,34,61,.557,8,20,.400,26,34,.765,11,35,18,14,4,9,19,22,52,.423,10,24,.417,21,22,.955,6,24,10,5,6,19,26
W,115,71,42,77,.545,10,23,.435,21,35,.600,14,50,23,15,5,12,25,21,67,.313,6,33,.182,23,35,.657,12,38,7,5,2,20,26
W,67,58,21,41,.512,6,17,.353,19,28,.679,7,27,10,12,5,18,19,21,54,.389,6,25,.240,10,12,.833,9,27,10,8,2,17,20
L,79,83,25,51,.490,8,18,.444,21,26,.808,5,26,12,9,4,14,19,26,52,.500,13,20,.650,18,22,.818,6,28,10,5,3,17,22
W,75,52,28,49,.571,4,18,.222,15,23,.652,4,30,13,16,6,17,18,17,47,.362,4,12,.333,14,22,.636,8,25,4,9,0,26,21
L,62,75,22,58,.379,3,21,.143,15,22,.682,7,35,12,7,3,20,23,25,53,.472,7,26,.269,18,28,.643,6,35,15,13,2,17,19
W,79,72,30,52,.577,6,17,.353,13,18,.722,9,28,11,7,7,18,17,23,51,.451,9,20,.450,17,19,.895,7,21,11,9,1,17,18
W (2 OT),96,86,31,66,.470,5,20,.250,29,39,.744,11,35,16,7,7,19,24,28,68,.412,6,21,.286,24,32,.750,11,33,10,12,3,20,32
W,76,71,24,55,.436,5,14,.357,23,31,.742,11,39,12,10,7,13,20,24,55,.436,7,20,.350,16,23,.696,6,25,7,7,6,16,23
W,81,71,30,53,.566,9,20,.450,12,22,.545,7,33,10,3,5,14,22,21,60,.350,8,25,.320,21,27,.778,13,34,8,8,4,10,22
L,76,79,28,55,.509,9,18,.500,11,14,.786,9,32,14,5,3,20,24,24,53,.453,13,25,.520,18,24,.750,7,22,14,9,3,12,15
W,90,69,32,66,.485,14,34,.412,12,20,.600,12,46,18,10,7,19,19,24,71,.338,15,40,.375,6,9,.667,7,34,15,8,2,18,20
W,88,71,31,58,.534,12,25,.480,14,20,.700,10,35,15,6,4,10,20,23,45,.511,6,16,.375,19,27,.704,3,23,9,4,3,10,17
W,79,77,27,54,.500,6,22,.273,19,25,.760,12,29,15,9,5,16,20,23,46,.500,8,17,.471,23,28,.821,6,25,15,10,2,17,18
W,65,51,25,47,.532,7,15,.467,8,12,.667,3,27,15,14,2,17,18,19,45,.422,6,20,.300,7,12,.583,5,24,8,6,3,19,12
W (1 OT),93,81,31,51,.608,9,18,.500,22,26,.846,5,26,19,9,4,10,21,27,55,.491,12,27,.444,15,19,.789,8,25,10,3,3,15,27
W,68,52,21,46,.457,3,14,.214,23,28,.821,5,29,14,10,4,17,16,22,56,.393,2,10,.200,6,11,.545,8,30,9,9,2,18,20
L,66,72,24,59,.407,3,14,.214,15,20,.750,9,31,8,10,2,13,20,23,58,.397,10,23,.435,16,24,.667,12,37,12,7,6,14,16
W,73,66,25,54,.463,4,13,.308,19,28,.679,6,31,11,4,11,7,19,22,61,.361,8,23,.348,14,14,1.000,6,30,10,4,4,7,21
W,81,72,22,52,.423,13,23,.565,24,31,.774,4,28,15,11,6,15,19,26,64,.406,6,20,.300,14,18,.778,8,29,11,10,3,13,23
