L,78,99,25,67,.373,9,31,.290,19,24,.792,10,27,12,10,3,13,27,34,59,.576,4,17,.235,27,40,.675,12,43,10,7,4,19,21
L,76,91,29,71,.408,6,29,.207,12,18,.667,12,39,13,5,0,10,27,30,60,.500,7,18,.389,24,34,.706,9,41,18,7,6,8,17
W,64,53,24,56,.429,12,35,.343,4,6,.667,5,21,20,13,6,11,18,18,43,.419,6,10,.600,11,17,.647,7,26,14,2,1,19,11
W,76,54,27,60,.450,13,25,.520,9,13,.692,9,34,14,6,2,6,22,17,45,.378,5,17,.294,15,25,.600,8,32,12,1,2,14,10
W,75,73,27,58,.466,13,27,.481,8,12,.667,3,29,18,3,0,13,21,24,65,.369,8,28,.286,17,23,.739,13,40,18,5,6,8,12
W,79,65,29,55,.527,10,24,.417,11,14,.786,3,35,13,7,4,12,18,23,70,.329,10,33,.303,9,16,.563,12,37,11,7,1,9,16
L,58,74,19,56,.339,7,26,.269,13,17,.765,10,31,11,2,2,11,13,29,66,.439,9,23,.391,7,11,.636,14,42,14,4,2,11,18
W,90,73,33,64,.516,10,24,.417,14,15,.933,9,41,21,4,3,11,22,25,70,.357,6,26,.231,17,23,.739,13,34,13,3,2,6,14
W,79,75,28,60,.467,9,19,.474,14,19,.737,7,34,19,5,3,10,16,29,65,.446,7,21,.333,10,15,.667,8,33,13,6,0,10,18
W,94,80,29,64,.453,10,25,.400,26,29,.897,10,38,19,11,2,17,24,27,71,.380,11,40,.275,15,22,.682,14,38,19,9,2,17,22
W,73,57,24,57,.421,10,32,.313,15,20,.750,11,36,16,8,4,13,19,21,62,.339,5,14,.357,10,22,.455,15,35,9,2,2,18,19
L,69,76,26,64,.406,9,28,.321,8,11,.727,6,31,8,5,3,11,21,25,58,.431,5,16,.313,21,30,.700,12,42,11,5,1,13,13
L,54,63,20,58,.345,7,27,.259,7,12,.583,7,30,14,7,5,14,18,21,52,.404,6,16,.375,15,21,.714,8,38,14,3,4,13,13
W,93,80,34,61,.557,7,16,.438,18,22,.818,6,26,21,6,3,4,14,27,56,.482,15,25,.600,11,14,.786,9,31,18,0,2,15,19
L,87,93,32,64,.500,7,18,.389,16,24,.667,4,33,9,3,1,12,17,35,69,.507,14,34,.412,9,11,.818,4,34,24,4,1,11,19
L,74,92,21,61,.344,11,26,.423,21,25,.840,12,37,11,5,6,16,19,32,62,.516,8,17,.471,20,27,.741,6,34,17,8,3,9,20
W,98,75,37,60,.617,15,25,.600,9,14,.643,7,30,22,8,3,13,13,29,71,.408,7,31,.226,10,10,1.000,15,32,16,5,0,13,17
L (1 OT),91,97,33,79,.418,7,23,.304,18,24,.750,14,43,19,4,5,12,22,35,81,.432,10,26,.385,17,26,.654,16,47,21,5,9,8,17
W,82,67,28,66,.424,11,23,.478,15,20,.750,11,32,15,12,2,10,20,23,50,.460,6,16,.375,15,19,.789,7,32,9,4,4,18,20
W,96,89,33,58,.569,10,24,.417,20,23,.870,5,32,20,8,1,11,18,35,69,.507,12,25,.480,7,11,.636,7,28,14,6,1,11,20
W,84,74,25,61,.410,10,24,.417,24,28,.857,12,46,13,5,5,20,19,26,71,.366,7,25,.280,15,23,.652,10,32,12,6,3,11,20
W,77,66,28,60,.467,10,23,.435,11,12,.917,8,32,13,5,2,9,18,26,63,.413,3,19,.158,11,21,.524,13,35,14,3,4,10,15
W (1 OT),69,66,24,49,.490,13,23,.565,8,10,.800,9,29,19,4,1,18,13,24,55,.436,10,23,.435,8,11,.727,8,25,12,7,4,13,14
W,95,76,35,63,.556,13,22,.591,12,21,.571,11,34,18,9,6,12,14,30,77,.390,3,16,.188,13,16,.813,19,40,17,5,4,12,16
L,79,81,28,61,.459,6,22,.273,17,22,.773,5,28,15,7,5,11,17,28,68,.412,7,17,.412,18,19,.947,11,38,15,3,3,15,18
W,90,76,32,67,.478,13,25,.520,13,17,.765,11,45,18,8,3,13,19,26,68,.382,12,35,.343,12,15,.800,9,36,16,5,5,13,15
L,83,89,30,60,.500,9,25,.360,14,17,.824,8,33,16,7,3,13,22,29,61,.475,16,28,.571,15,19,.789,9,29,19,4,1,14,18
W,95,88,31,67,.463,10,21,.476,23,30,.767,10,38,17,4,1,8,22,27,60,.450,10,23,.435,24,32,.750,6,36,16,4,4,9,27
L,85,103,28,69,.406,7,24,.292,22,27,.815,13,37,15,9,2,15,19,40,67,.597,9,18,.500,14,25,.560,9,38,24,7,3,14,22
W,72,51,25,52,.481,12,28,.429,10,17,.588,7,29,17,13,0,15,17,19,44,.432,2,10,.200,11,15,.733,4,25,10,7,0,22,16
L,73,79,27,67,.403,8,22,.364,11,21,.524,10,37,13,7,2,8,23,24,51,.471,9,23,.391,22,30,.733,5,37,11,4,3,15,18
W,88,70,27,64,.422,11,24,.458,23,26,.885,8,31,17,9,6,12,22,25,65,.385,7,18,.389,13,24,.542,18,44,9,6,5,18,19
W,73,65,23,49,.469,8,23,.348,19,21,.905,3,21,14,6,2,7,16,24,54,.444,6,18,.333,11,11,1.000,9,30,11,2,1,13,16
