W,113,71,47,85,.553,8,26,.308,11,20,.550,15,60,31,11,4,20,16,25,76,.329,13,48,.271,8,16,.500,10,33,20,12,2,22,20
W,73,55,30,67,.448,4,16,.250,9,14,.643,10,48,14,5,3,11,17,17,64,.266,8,20,.400,13,16,.813,8,36,8,2,2,13,15
W,130,63,52,86,.605,8,22,.364,18,26,.692,15,63,31,12,2,8,15,21,77,.273,15,45,.333,6,10,.600,7,29,16,6,2,17,24
W,73,71,25,73,.342,8,25,.320,15,29,.517,16,40,5,10,2,10,13,27,57,.474,9,22,.409,8,14,.571,7,41,13,4,9,20,26
W,73,56,25,61,.410,8,19,.421,15,18,.833,8,33,10,10,1,10,21,18,50,.360,2,16,.125,18,22,.818,8,35,6,7,2,19,18
L,71,73,29,66,.439,8,24,.333,5,8,.625,12,33,13,2,4,5,15,27,55,.491,13,25,.520,6,12,.500,8,33,18,1,1,11,11
L (1 OT),54,55,22,60,.367,5,21,.238,5,11,.455,10,31,5,6,3,6,13,22,62,.355,3,21,.143,8,10,.800,15,45,9,4,5,12,13
W,91,47,33,65,.508,15,29,.517,10,14,.714,9,39,22,11,7,11,13,19,67,.284,5,22,.227,4,8,.500,15,38,10,6,4,19,10
L,64,78,25,70,.357,8,30,.267,6,9,.667,11,35,9,7,1,11,25,26,55,.473,9,22,.409,17,24,.708,7,41,13,5,3,13,15
W,97,80,34,77,.442,14,32,.438,15,24,.625,16,45,20,4,5,5,13,31,74,.419,10,24,.417,8,9,.889,11,42,14,1,3,10,21
W,88,60,32,56,.571,13,26,.500,11,16,.688,7,38,21,5,3,15,12,23,66,.348,5,18,.278,9,14,.643,12,27,6,8,2,10,15
W,63,56,21,53,.396,6,21,.286,15,18,.833,7,27,10,2,1,6,12,22,57,.386,6,21,.286,6,8,.750,14,41,12,2,4,13,17
L,63,65,24,61,.393,10,22,.455,5,11,.455,6,26,16,7,1,5,16,26,59,.441,3,17,.176,10,15,.667,13,43,15,2,3,13,14
W,79,70,32,65,.492,10,24,.417,5,12,.417,7,26,19,12,2,11,11,27,51,.529,8,16,.500,8,16,.500,6,33,12,2,6,19,14
W,96,86,36,69,.522,10,26,.385,14,18,.778,9,28,18,13,5,9,17,34,64,.531,7,20,.350,11,13,.846,11,34,17,3,5,16,19
L,77,84,30,65,.462,9,22,.409,8,9,.889,6,21,16,10,2,9,13,37,65,.569,8,24,.333,2,5,.400,11,34,27,5,8,15,12
L,72,76,28,63,.444,9,27,.333,7,10,.700,6,21,15,11,5,10,12,34,62,.548,6,15,.400,2,5,.400,14,39,18,4,5,18,14
W (2 OT),92,87,32,75,.427,10,35,.286,18,27,.667,12,37,14,18,4,16,19,29,72,.403,9,20,.450,20,26,.769,13,45,13,5,5,25,22
W,70,65,24,52,.462,11,23,.478,11,20,.550,3,31,16,6,8,14,13,24,60,.400,7,23,.304,10,16,.625,8,35,12,8,1,12,14
L,78,84,30,61,.492,9,28,.321,9,12,.750,3,26,11,8,5,6,18,25,52,.481,13,30,.433,21,26,.808,5,31,17,2,2,12,12
L,72,85,23,58,.397,10,26,.385,16,19,.842,12,32,17,8,2,15,20,29,60,.483,10,21,.476,17,20,.850,10,31,13,7,4,14,16
W (1 OT),92,89,32,64,.500,18,34,.529,10,14,.714,6,24,14,12,3,9,21,30,60,.500,10,22,.455,19,27,.704,13,42,14,6,2,20,16
L,65,67,23,56,.411,9,25,.360,10,13,.769,5,31,12,7,4,10,20,24,55,.436,3,14,.214,16,27,.593,11,37,11,4,1,13,14
W,80,64,30,65,.462,12,26,.462,8,12,.667,4,29,17,7,7,4,16,24,61,.393,3,13,.231,13,18,.722,14,44,7,2,5,14,14
W,87,79,29,56,.518,7,15,.467,22,26,.846,9,31,18,6,2,12,18,30,66,.455,4,19,.211,15,21,.714,9,29,13,8,2,8,23
W,84,71,27,53,.509,12,25,.480,18,21,.857,5,27,19,7,0,10,14,29,55,.527,8,18,.444,5,8,.625,7,27,14,3,2,19,19
W (1 OT),82,80,26,56,.464,12,24,.500,18,25,.720,7,31,13,5,4,11,22,26,66,.394,7,21,.333,21,27,.778,11,34,11,5,2,6,19
W,72,69,26,45,.578,8,15,.533,12,15,.800,2,13,16,4,5,4,9,29,61,.475,8,22,.364,3,5,.600,17,33,13,3,2,10,17
W,86,83,28,59,.475,15,31,.484,15,21,.714,4,25,21,8,3,7,13,29,59,.492,13,26,.500,12,14,.857,8,38,14,2,2,12,17
L,76,87,23,60,.383,13,31,.419,17,21,.810,5,24,14,8,4,13,21,29,67,.433,8,19,.421,21,26,.808,17,47,21,9,7,14,18
