W,84,73,30,54,.556,9,23,.391,15,20,.750,8,28,12,5,3,16,24,23,58,.397,10,28,.357,17,29,.586,15,31,11,2,1,15,21
L,65,91,22,40,.550,5,13,.385,16,23,.696,3,24,15,3,3,24,20,30,64,.469,15,31,.484,16,17,.941,10,28,16,13,1,10,23
L,67,74,27,65,.415,8,22,.364,5,6,.833,7,28,11,6,2,7,17,26,54,.481,9,18,.500,13,16,.813,8,34,12,4,3,11,10
L,60,79,21,48,.438,9,21,.429,9,14,.643,6,24,15,3,1,14,19,28,56,.500,11,21,.524,12,19,.632,11,32,16,8,4,8,15
W,81,50,25,50,.500,10,16,.625,21,28,.750,8,42,16,7,3,18,16,16,59,.271,5,17,.294,13,19,.684,10,27,8,13,6,12,20
W,61,38,20,50,.400,8,24,.333,13,18,.722,10,36,10,7,4,12,20,10,39,.256,4,15,.267,14,20,.700,4,23,3,4,0,14,21
W,76,63,29,63,.460,6,16,.375,12,15,.800,13,44,19,4,3,12,7,23,66,.348,11,32,.344,6,7,.857,9,27,19,7,2,8,13
W,72,69,26,58,.448,10,22,.455,10,19,.526,11,32,13,4,3,15,20,28,68,.412,5,15,.333,8,12,.667,15,39,6,3,5,12,18
L,77,81,29,47,.617,11,20,.550,8,15,.533,7,30,21,2,1,18,19,28,52,.538,6,14,.429,19,23,.826,3,20,20,7,0,6,17
L (1 OT),83,88,29,62,.468,11,26,.423,14,20,.700,7,33,13,6,3,9,28,26,53,.491,9,17,.529,27,38,.711,9,35,15,4,0,10,14
L,66,92,24,54,.444,6,17,.353,12,18,.667,9,27,7,5,3,15,22,27,47,.574,11,17,.647,27,35,.771,6,28,16,7,3,12,20
W,72,59,27,54,.500,13,22,.591,5,7,.714,8,32,17,4,4,10,19,21,50,.420,5,16,.313,12,19,.632,7,25,4,4,3,9,10
W,67,66,28,62,.452,6,22,.273,5,9,.556,11,30,16,5,0,8,19,23,50,.460,9,19,.474,11,17,.647,10,30,18,5,5,13,13
L,57,73,23,51,.451,4,11,.364,7,11,.636,6,28,10,9,5,17,14,28,58,.483,9,19,.474,8,10,.800,8,31,12,9,8,14,14
W,90,72,35,65,.538,10,22,.455,10,13,.769,13,36,19,4,3,8,14,26,60,.433,10,26,.385,10,14,.714,4,23,15,3,3,9,14
W,57,56,23,56,.411,2,18,.111,9,17,.529,12,42,11,6,4,15,19,22,62,.355,6,18,.333,6,10,.600,10,34,9,7,3,11,18
L,63,76,20,46,.435,5,16,.313,18,29,.621,5,26,11,3,8,9,20,23,55,.418,13,18,.722,17,22,.773,12,33,10,4,2,8,21
W,71,68,23,52,.442,5,17,.294,20,22,.909,9,31,11,7,1,12,17,25,50,.500,8,19,.421,10,18,.556,4,22,8,3,4,13,24
W,81,69,27,61,.443,8,23,.348,19,32,.594,18,46,21,4,6,11,16,25,68,.368,7,22,.318,12,16,.750,13,34,10,5,1,12,25
W,74,59,28,63,.444,3,11,.273,15,20,.750,17,46,13,8,1,14,15,18,51,.353,7,25,.280,16,24,.667,7,24,12,7,4,13,19
L,60,77,22,60,.367,3,16,.188,13,22,.591,9,33,11,1,4,9,16,26,59,.441,12,34,.353,13,16,.813,7,40,14,3,7,7,18
W,86,79,24,39,.615,11,15,.733,27,33,.818,6,24,16,4,7,15,22,27,61,.443,7,17,.412,18,23,.783,12,22,17,5,0,12,26
L,52,57,18,60,.300,4,19,.211,12,16,.750,15,34,13,5,3,18,21,19,48,.396,2,15,.133,17,25,.680,8,36,9,2,13,21,17
L,69,72,24,53,.453,7,19,.368,14,20,.700,8,27,16,4,8,13,21,24,52,.462,5,12,.417,19,22,.864,11,31,11,11,1,14,19
W,74,62,25,50,.500,7,21,.333,17,22,.773,11,39,18,3,9,16,16,22,57,.386,11,24,.458,7,11,.636,8,22,12,7,0,10,21
W,72,61,22,54,.407,4,16,.250,24,33,.727,11,41,13,7,5,13,22,21,57,.368,4,13,.308,15,22,.682,8,32,8,4,2,14,27
L,53,66,23,52,.442,7,20,.350,0,1,.000,4,27,16,4,4,13,17,23,53,.434,10,29,.345,10,13,.769,6,27,11,6,0,8,12
W,63,57,15,38,.395,8,27,.296,25,33,.758,5,38,12,2,3,14,20,18,54,.333,4,20,.200,17,27,.630,6,24,5,8,0,4,25
L (1 OT),78,79,25,57,.439,9,27,.333,19,26,.731,8,32,21,3,6,14,20,27,57,.474,7,20,.350,18,23,.783,6,27,9,6,4,13,22
L,65,68,23,64,.359,6,22,.273,13,17,.765,17,40,16,6,2,12,22,21,44,.477,6,16,.375,20,27,.741,1,24,12,8,7,8,18
W,70,61,24,46,.522,7,19,.368,15,20,.750,4,27,7,4,3,13,19,21,57,.368,7,19,.368,12,22,.545,12,28,11,7,2,9,16
W,74,51,27,52,.519,12,27,.444,8,10,.800,6,36,19,4,7,8,5,19,58,.328,7,22,.318,6,7,.857,8,26,12,3,0,7,9
W,65,59,25,48,.521,6,11,.545,9,12,.750,7,32,10,2,3,10,11,22,60,.367,8,38,.211,7,8,.875,8,25,8,5,2,6,15
W,66,55,21,49,.429,8,25,.320,16,18,.889,10,26,10,5,1,13,17,19,54,.352,3,15,.200,14,18,.778,18,32,7,9,5,14,19
