W (1 OT),79,74,27,65,.415,6,25,.240,19,28,.679,14,36,10,7,3,13,23,21,49,.429,12,30,.400,20,29,.690,8,23,15,4,4,16,25
W,93,63,33,74,.446,12,30,.400,15,20,.750,21,50,22,9,5,13,20,20,52,.385,7,12,.583,16,23,.696,2,18,12,3,4,15,20
W,111,55,38,79,.481,11,27,.407,24,32,.750,23,51,22,14,10,15,13,23,69,.333,7,30,.233,2,2,1.000,8,24,12,9,2,26,30
L,77,80,26,68,.382,6,22,.273,19,25,.760,11,33,9,8,5,9,19,27,64,.422,8,22,.364,18,24,.750,13,43,16,2,2,16,23
L,75,79,26,59,.441,7,23,.304,16,22,.727,13,32,11,6,4,11,15,31,65,.477,7,16,.438,10,14,.714,14,34,15,8,0,13,18
W,66,59,20,57,.351,5,19,.263,21,29,.724,10,36,8,7,1,5,11,21,56,.375,13,31,.419,4,5,.800,4,29,17,5,1,12,20
L,70,73,25,54,.463,6,18,.333,14,18,.778,8,28,11,6,2,14,26,23,47,.489,6,17,.353,21,32,.656,5,27,13,7,2,16,16
W,86,57,34,65,.523,10,24,.417,8,15,.533,14,52,19,1,7,16,14,25,81,.309,6,23,.261,1,6,.167,15,30,12,9,2,6,17
W,100,72,39,78,.500,10,23,.435,12,13,.923,14,42,17,3,5,4,26,22,61,.361,5,12,.417,23,33,.697,12,34,8,1,3,9,19
W,87,71,32,64,.500,10,23,.435,13,13,1.000,13,35,17,5,3,21,20,26,66,.394,6,29,.207,13,19,.684,14,29,12,10,1,18,14
L,63,68,22,64,.344,6,26,.231,13,19,.684,14,36,6,6,5,12,12,25,56,.446,12,25,.480,6,8,.750,9,36,14,7,1,17,19
L,50,69,21,76,.276,1,24,.042,7,18,.389,30,44,10,14,1,16,19,25,46,.543,8,15,.533,11,17,.647,9,35,16,8,6,24,19
W,63,58,26,69,.377,3,17,.176,8,13,.615,20,47,10,8,2,21,23,21,58,.362,2,18,.111,14,24,.583,11,32,7,10,6,18,19
W,100,90,30,72,.417,9,19,.474,31,31,1.000,16,37,12,6,1,13,22,30,63,.476,8,23,.348,22,26,.846,11,28,19,7,2,16,26
L,67,85,26,71,.366,7,24,.292,8,18,.444,20,45,11,8,3,21,20,31,58,.534,9,28,.321,14,23,.609,6,32,20,15,3,18,19
L (1 OT),70,74,24,60,.400,10,23,.435,12,13,.923,10,31,15,7,6,23,25,25,67,.373,3,14,.214,21,31,.677,17,38,9,11,1,18,20
L,88,92,33,53,.623,9,18,.500,13,17,.765,4,26,16,4,2,13,17,34,63,.540,9,19,.474,15,23,.652,9,21,20,6,2,8,12
L,69,82,26,64,.406,5,17,.294,12,24,.500,15,41,9,4,2,19,20,32,65,.492,8,24,.333,10,21,.476,10,36,16,8,4,12,21
W,85,61,34,59,.576,6,17,.353,11,16,.688,8,32,14,5,7,7,23,18,49,.367,5,22,.227,20,27,.741,5,20,13,1,1,10,17
W,73,66,25,56,.446,9,21,.429,14,22,.636,11,37,12,5,6,13,20,24,52,.462,5,15,.333,13,21,.619,7,27,10,4,2,11,19
L (1 OT),98,105,34,76,.447,8,36,.222,22,30,.733,17,40,17,5,1,12,22,34,70,.486,14,36,.389,23,28,.821,9,33,11,4,0,14,21
W,70,64,20,57,.351,3,14,.214,27,36,.750,23,45,8,8,3,22,24,21,57,.368,6,15,.400,16,24,.667,15,30,14,11,7,17,30
W,66,62,23,63,.365,8,25,.320,12,23,.522,14,36,11,10,7,14,20,20,53,.377,4,14,.286,18,22,.818,11,38,9,5,7,18,19
L (1 OT),83,84,30,64,.469,8,21,.381,15,18,.833,11,42,13,4,7,19,22,30,69,.435,11,28,.393,13,21,.619,8,28,16,8,2,12,18
L,58,78,24,59,.407,5,21,.238,5,5,1.000,10,21,14,7,2,12,14,30,46,.652,8,18,.444,10,11,.909,4,25,24,6,2,15,10
W,76,72,26,63,.413,6,24,.250,18,20,.900,12,30,12,10,3,10,19,26,56,.464,5,16,.313,15,18,.833,10,36,13,4,3,14,20
W,70,67,25,58,.431,7,19,.368,13,21,.619,7,31,11,6,3,5,21,22,53,.415,5,22,.227,18,23,.783,8,32,13,3,0,9,18
W,77,69,28,62,.452,6,23,.261,15,22,.682,7,35,10,8,4,11,21,25,61,.410,5,21,.238,14,18,.778,7,36,11,7,1,14,24
W,70,67,22,60,.367,5,27,.185,21,27,.778,10,44,11,3,3,10,12,28,70,.400,6,19,.316,5,7,.714,7,32,10,8,1,8,21
W,74,67,28,60,.467,9,24,.375,9,12,.750,6,32,14,6,3,8,15,25,58,.431,5,19,.263,12,17,.706,8,35,11,3,1,11,15
L,56,66,20,60,.333,3,22,.136,13,20,.650,14,35,9,6,2,10,18,25,61,.410,8,23,.348,8,12,.667,15,37,9,6,4,12,19
