W,95,71,39,74,.527,13,31,.419,4,5,.800,9,36,22,13,4,11,23,23,58,.397,8,24,.333,17,26,.654,10,35,13,4,5,19,10
W,81,49,29,57,.509,9,21,.429,14,18,.778,8,37,22,8,3,11,22,17,56,.304,4,15,.267,11,21,.524,11,32,10,6,1,14,19
L,61,79,22,54,.407,4,15,.267,13,18,.722,3,23,12,9,4,15,19,27,53,.509,9,23,.391,16,20,.800,5,33,15,3,5,17,17
L,75,78,26,65,.400,7,25,.280,16,19,.842,6,31,12,6,4,11,23,28,57,.491,4,17,.235,18,26,.692,6,35,15,6,6,10,19
W,104,79,36,63,.571,9,23,.391,23,26,.885,9,37,22,9,4,13,24,28,68,.412,6,20,.300,17,25,.680,13,29,16,7,0,14,20
W,101,79,37,66,.561,10,28,.357,17,20,.850,10,41,25,8,4,11,18,29,67,.433,10,21,.476,11,18,.611,10,29,22,6,2,12,13
W,90,44,32,58,.552,13,27,.481,13,18,.722,5,30,19,14,3,10,15,14,50,.280,7,25,.280,9,16,.563,6,28,9,4,0,19,16
W,89,79,31,66,.470,13,29,.448,14,17,.824,11,37,15,9,2,9,18,29,59,.492,7,21,.333,14,20,.700,8,28,21,8,6,12,16
W,84,81,26,49,.531,9,21,.429,23,29,.793,4,25,15,6,2,12,15,30,56,.536,9,16,.563,12,17,.706,3,25,24,7,4,11,23
L,84,93,27,58,.466,10,22,.455,20,23,.870,6,24,8,5,2,12,25,32,55,.582,8,18,.444,21,29,.724,6,30,20,9,6,9,18
W,78,65,27,60,.450,13,30,.433,11,15,.733,8,35,18,6,6,15,14,23,60,.383,10,20,.500,9,11,.818,6,29,17,10,2,17,14
W,89,56,32,60,.533,6,16,.375,19,22,.864,8,28,17,13,4,11,17,20,50,.400,1,9,.111,15,23,.652,9,30,10,4,3,21,20
W,76,66,26,59,.441,10,23,.435,14,17,.824,7,28,19,12,3,9,14,25,59,.424,9,21,.429,7,11,.636,10,31,13,5,7,15,18
L,66,69,26,62,.419,9,24,.375,5,6,.833,11,29,12,13,1,16,15,29,56,.518,4,14,.286,7,11,.636,9,34,14,10,2,17,10
L,81,93,26,63,.413,14,31,.452,15,17,.882,16,26,15,9,0,12,20,32,49,.653,14,23,.609,15,22,.682,7,25,24,8,4,13,16
W (1 OT),89,86,30,63,.476,9,20,.450,20,28,.714,9,29,20,9,4,12,27,28,71,.394,9,27,.333,21,34,.618,25,52,15,9,3,19,23
W,83,58,30,48,.625,13,27,.481,10,14,.714,5,30,22,4,3,10,19,19,50,.380,6,14,.429,14,20,.700,4,16,13,4,1,9,13
L,80,88,28,58,.483,10,26,.385,14,18,.778,5,23,11,3,2,7,24,30,57,.526,5,13,.385,23,30,.767,9,31,10,3,4,4,15
W,102,94,36,60,.600,12,24,.500,18,24,.750,6,34,14,6,7,14,17,33,68,.485,11,24,.458,17,21,.810,9,28,17,6,2,11,19
W,74,72,26,52,.500,9,19,.474,13,22,.591,7,31,17,3,3,12,17,27,67,.403,6,34,.176,12,16,.750,16,34,13,10,5,8,20
L,78,79,25,58,.431,10,25,.400,18,23,.783,6,30,14,2,3,8,23,26,53,.491,11,20,.550,16,28,.571,6,32,13,2,3,10,20
L,72,86,23,62,.371,13,32,.406,13,20,.650,12,34,14,5,3,17,16,32,66,.485,10,24,.417,12,14,.857,11,37,17,9,7,12,15
W,92,79,30,52,.577,14,22,.636,18,21,.857,6,31,22,2,8,11,15,29,62,.468,8,22,.364,13,15,.867,9,27,19,7,3,7,17
L,65,68,26,60,.433,8,21,.381,5,9,.556,10,31,15,9,4,14,15,25,51,.490,9,21,.429,9,14,.643,6,30,15,9,7,11,14
L,62,80,23,55,.418,3,14,.214,13,20,.650,6,27,9,5,4,10,20,29,54,.537,6,12,.500,16,25,.640,8,39,17,5,2,8,17
W,83,61,26,64,.406,13,36,.361,18,20,.900,10,35,19,6,6,9,23,23,55,.418,2,17,.118,13,19,.684,11,34,17,4,4,13,18
W,93,71,34,60,.567,12,24,.500,13,18,.722,6,38,22,6,1,14,21,24,60,.400,6,22,.273,17,26,.654,7,28,13,11,4,11,24
L,69,73,25,52,.481,11,20,.550,8,10,.800,4,23,12,8,4,15,23,25,52,.481,5,16,.313,18,31,.581,12,34,15,7,5,12,16
W,95,84,33,54,.611,12,21,.571,17,20,.850,3,26,19,6,5,9,26,27,55,.491,9,20,.450,21,26,.808,8,28,18,3,3,14,18
W,91,83,33,62,.532,14,28,.500,11,17,.647,8,31,21,10,4,13,14,33,68,.485,8,28,.286,9,10,.900,9,35,23,8,2,15,21
