W,86,74,27,53,.509,10,25,.400,22,32,.688,8,36,17,6,5,19,26,22,69,.319,7,21,.333,23,30,.767,14,34,10,11,2,14,25
W,84,67,25,60,.417,4,23,.174,30,40,.750,15,45,14,7,6,8,19,22,56,.393,10,26,.385,13,22,.591,6,29,12,3,3,15,29
W,80,56,31,54,.574,4,15,.267,14,23,.609,7,43,19,3,5,16,17,22,63,.349,7,27,.259,5,12,.417,5,24,9,4,2,11,18
W,92,86,31,71,.437,7,17,.412,23,29,.793,10,40,18,4,11,6,19,29,79,.367,11,27,.407,17,24,.708,17,47,9,4,6,11,24
W,85,71,29,56,.518,9,15,.600,18,25,.720,9,27,17,7,8,14,19,26,61,.426,1,8,.125,18,20,.900,13,34,8,8,4,20,24
W,57,45,21,55,.382,3,16,.188,12,22,.545,11,39,13,4,5,10,9,19,61,.311,2,17,.118,5,8,.625,6,30,14,4,5,9,18
L,67,75,19,59,.322,7,21,.333,22,36,.611,10,31,8,5,4,17,28,23,54,.426,2,16,.125,27,40,.675,9,38,10,5,4,15,25
W,56,52,23,59,.390,3,9,.333,7,15,.467,8,38,15,7,8,9,7,19,63,.302,8,25,.320,6,9,.667,11,41,12,4,4,12,13
W,74,68,21,51,.412,9,21,.429,23,29,.793,6,43,11,2,10,14,17,25,73,.342,8,32,.250,10,14,.714,8,31,11,5,1,7,24
W,86,49,32,73,.438,12,34,.353,10,16,.625,15,48,23,10,9,9,13,18,60,.300,6,29,.207,7,13,.538,8,33,13,8,2,15,18
W,77,57,24,58,.414,4,15,.267,25,30,.833,13,42,17,9,4,14,16,22,59,.373,2,11,.182,11,15,.733,5,25,10,10,3,12,23
W,76,66,29,63,.460,8,21,.381,10,13,.769,9,27,20,7,5,10,12,26,57,.456,9,21,.429,5,7,.714,11,34,13,2,5,18,16
W,82,75,26,49,.531,7,14,.500,23,35,.657,2,22,19,11,1,15,18,27,54,.500,7,21,.333,14,17,.824,5,30,13,8,1,20,29
L (1 OT),74,75,20,53,.377,3,13,.231,31,45,.689,9,43,11,5,8,15,20,30,66,.455,5,18,.278,10,22,.455,7,35,17,9,7,11,31
W (1 OT),91,82,35,71,.493,8,21,.381,13,19,.684,5,34,17,9,8,6,18,30,75,.400,9,28,.321,13,15,.867,14,41,17,1,0,14,16
W,70,66,25,57,.439,6,19,.316,14,22,.636,10,37,16,5,5,8,10,24,63,.381,6,26,.231,12,13,.923,7,30,13,5,5,8,16
W,78,68,25,61,.410,9,24,.375,19,27,.704,8,33,20,7,12,11,17,26,64,.406,5,14,.357,11,21,.524,10,39,17,5,4,14,26
L,47,65,19,57,.333,3,16,.188,6,7,.857,5,26,6,4,4,12,16,23,54,.426,5,14,.357,14,17,.824,9,38,15,6,7,13,14
L,50,52,20,53,.377,2,7,.286,8,11,.727,5,31,8,8,5,19,15,17,56,.304,2,14,.143,16,20,.800,12,37,8,9,5,17,11
L (1 OT),76,78,30,64,.469,9,17,.529,7,10,.700,6,29,19,6,7,9,13,31,62,.500,7,14,.500,9,13,.692,7,34,19,5,6,12,13
L,72,78,25,61,.410,8,24,.333,14,20,.700,8,28,12,7,4,12,23,24,48,.500,7,17,.412,23,30,.767,6,29,12,5,5,15,19
L,78,85,25,60,.417,9,17,.529,19,24,.792,12,38,21,1,10,10,18,30,59,.508,11,18,.611,14,22,.636,8,30,19,5,2,7,18
W,68,59,24,64,.375,7,19,.368,13,18,.722,12,36,10,2,4,5,15,24,63,.381,4,22,.182,7,11,.636,8,36,14,2,0,9,21
W (2 OT),101,89,36,82,.439,8,24,.333,21,31,.677,17,47,20,10,14,12,21,30,75,.400,9,26,.346,20,28,.714,12,41,20,9,6,18,26
W,72,63,28,60,.467,3,17,.176,13,15,.867,11,35,16,6,5,11,18,25,60,.417,3,14,.214,10,22,.455,11,30,11,7,4,9,18
W,75,74,24,62,.387,6,18,.333,21,28,.750,13,39,14,5,9,12,16,26,75,.347,7,27,.259,15,18,.833,16,46,11,6,5,14,24
W (1 OT),83,78,25,57,.439,5,13,.385,28,41,.683,12,43,14,3,3,11,17,30,60,.500,9,26,.346,9,18,.500,2,30,17,6,1,8,27
W,89,75,32,64,.500,8,22,.364,17,20,.850,6,35,8,4,8,5,15,30,73,.411,7,27,.259,8,13,.615,11,34,22,2,0,10,18
W,81,71,29,65,.446,7,20,.350,16,23,.696,8,44,20,2,15,10,15,27,76,.355,7,21,.333,10,15,.667,9,34,16,8,6,5,17
W,88,73,33,59,.559,5,14,.357,17,25,.680,5,30,21,9,11,16,16,29,77,.377,6,21,.286,9,12,.750,17,40,10,6,5,16,18
L,49,66,18,56,.321,3,13,.231,10,17,.588,10,36,7,7,5,11,19,25,57,.439,10,18,.556,6,16,.375,10,37,14,7,5,10,14
