W,96,56,38,59,.644,6,21,.286,14,22,.636,10,38,23,7,6,20,17,21,60,.350,8,26,.308,6,12,.500,6,19,11,6,0,18,19
L,64,79,21,57,.368,9,30,.300,13,23,.565,13,41,9,3,3,17,28,26,59,.441,7,19,.368,20,30,.667,10,31,10,5,4,8,23
L,69,77,28,70,.400,3,21,.143,10,18,.556,16,41,15,8,3,15,22,25,52,.481,9,18,.500,18,26,.692,4,31,9,3,2,12,19
W,74,53,25,62,.403,8,27,.296,16,25,.640,15,47,15,4,3,11,20,16,53,.302,3,16,.188,18,25,.720,8,35,5,4,7,16,23
W,79,70,24,53,.453,9,21,.429,22,29,.759,6,33,13,6,3,15,23,24,57,.421,5,19,.263,17,24,.708,8,29,5,6,7,14,23
L,74,82,26,63,.413,12,32,.375,10,21,.476,13,35,14,6,5,8,17,33,65,.508,6,15,.400,10,12,.833,4,36,12,3,2,7,20
W,84,79,28,54,.519,8,19,.421,20,31,.645,9,32,13,5,2,14,12,32,63,.508,9,14,.643,6,9,.667,5,24,19,4,3,11,21
W,72,61,23,55,.418,12,26,.462,14,20,.700,9,33,14,3,4,12,18,25,64,.391,4,18,.222,7,15,.467,12,34,7,5,10,9,15
W,80,70,28,56,.500,8,25,.320,16,22,.727,13,36,12,5,4,11,12,26,58,.448,8,19,.421,10,14,.714,9,25,8,6,1,9,20
W,80,66,25,51,.490,13,28,.464,17,24,.708,7,35,14,6,0,20,25,22,50,.440,3,13,.231,19,35,.543,6,23,7,11,3,13,21
W,70,48,26,58,.448,11,26,.423,7,9,.778,9,35,22,4,1,11,15,19,58,.328,4,21,.190,6,10,.600,11,32,9,4,5,14,13
W,97,73,37,76,.487,6,31,.194,17,24,.708,17,47,23,8,6,12,15,28,63,.444,6,15,.400,11,17,.647,6,28,12,5,3,15,19
L,61,92,19,48,.396,2,16,.125,21,32,.656,11,36,4,3,1,25,27,32,62,.516,4,17,.235,24,36,.667,10,33,13,17,8,8,24
W,81,70,26,61,.426,14,30,.467,15,23,.652,16,39,12,5,5,10,17,27,60,.450,6,17,.353,10,13,.769,8,27,11,6,10,10,16
L,65,76,26,61,.426,6,19,.316,7,12,.583,10,28,11,3,1,11,16,27,67,.403,6,23,.261,16,18,.889,14,38,17,2,6,7,10
W,83,70,32,62,.516,9,26,.346,10,17,.588,7,39,17,7,3,18,21,26,65,.400,2,15,.133,16,21,.762,5,30,14,5,1,13,17
W,83,75,27,52,.519,10,24,.417,19,23,.826,9,32,18,4,3,11,17,29,60,.483,7,18,.389,10,16,.625,9,25,10,4,3,7,19
L,71,80,25,60,.417,11,23,.478,10,14,.714,8,36,12,6,2,16,15,32,65,.492,8,20,.400,8,12,.667,5,27,16,12,10,7,16
L,58,68,20,48,.417,7,21,.333,11,16,.688,7,27,11,7,2,14,14,25,56,.446,8,22,.364,10,13,.769,8,28,16,5,1,10,15
L,70,79,25,63,.397,8,28,.286,12,22,.545,10,32,11,9,3,13,21,30,58,.517,3,14,.214,16,22,.727,8,37,9,10,6,13,17
W,101,87,30,51,.588,6,10,.600,35,42,.833,10,36,14,6,4,21,23,30,69,.435,7,25,.280,20,21,.952,11,24,11,11,4,13,32
W,79,62,28,68,.412,9,25,.360,14,21,.667,12,41,14,11,3,14,20,22,61,.361,7,26,.269,11,17,.647,11,38,15,5,6,23,18
L,58,65,23,58,.397,10,31,.323,2,8,.250,7,25,12,7,3,9,20,22,55,.400,9,27,.333,12,15,.800,11,39,14,4,4,13,13
W,83,79,28,57,.491,9,25,.360,18,27,.667,9,29,15,5,4,14,16,29,57,.509,10,25,.400,11,15,.733,7,27,15,2,2,15,21
W,69,67,27,56,.482,10,25,.400,5,16,.313,4,22,18,7,1,9,18,24,50,.480,3,16,.188,16,19,.842,7,35,13,7,6,15,15
W,69,63,24,52,.462,8,21,.381,13,21,.619,9,29,10,8,2,10,15,24,46,.522,9,24,.375,6,10,.600,5,23,13,3,5,16,19
W,62,60,20,52,.385,8,26,.308,14,21,.667,8,37,16,3,1,10,14,20,55,.364,8,22,.364,12,16,.750,7,28,7,5,4,8,16
L,77,81,28,69,.406,5,30,.167,16,21,.762,11,42,12,5,2,12,16,33,68,.485,5,17,.294,10,19,.526,5,32,19,7,3,6,14
W,83,76,29,54,.537,10,24,.417,15,19,.789,9,31,16,5,3,13,17,26,63,.413,7,24,.292,17,18,.944,12,28,17,5,3,11,18
W,90,82,29,63,.460,9,23,.391,23,27,.852,7,32,14,4,0,11,11,35,67,.522,8,20,.400,4,8,.500,7,32,11,8,2,14,19
W,82,78,26,45,.578,8,19,.421,22,26,.846,3,25,16,7,4,13,14,25,57,.439,12,30,.400,16,20,.800,10,25,13,8,2,11,20
W,82,77,28,55,.509,9,26,.346,17,29,.586,4,28,13,8,2,8,18,26,60,.433,11,31,.355,14,19,.737,7,33,14,4,1,13,26
